Admit_TermID,CRMID,Last_Name,First_Name,Middle_Name,Admit_Descr,Admit_Type,Admit_Type_Descr,Acad_Career,Acad_Prog,Acad_Prog_Descr,Acad_Plan,Acad_Plan_Descr,Appl_Source,Gender,Age_By_Years,Address1,Address2,City,State,Postal,Current_Program,Current_Program_Descr,Current_Plan,Current_Plan_Descr
7103892,2054,,,,Spring 2005                   ,TRN,Transfer,UGRD,A&SU,Undergraduate Arts & Sciences,MNSCBS,BS in Management Science,HARD COPY,FEMALE,27,,,Detroit,MI,48206-1977,MNSU,Undergraduate Business,MNSCBS,BS in Management Science
7104064,2054,,,,Spring 2005                   ,NOD,Non-Degree Undergraduate,UGRD,NODEU,Undergrad Non-Degree,NODEGU,Non-Degree Undergraduate,HARD COPY,FEMALE,33,,,Owings Mills,MD,21117-2681,NODEU,Undergrad Non-Degree,NODEGU,Non-Degree Undergraduate
7105620,2054,,,,Spring 2005                   ,FTS,First-time Undergraduate,UGRD,NURU,Undergraduate Nursing,PRE-NUR,Pre-Nursing,HARD COPY,FEMALE,42,,,Baltimore,MD,21244-1484,NURU,Undergraduate Nursing,PRE-NUR,Pre-Nursing
7105704,2054,,,,Spring 2005                   ,TRN,Transfer,UGRD,A&SU,Undergraduate Arts & Sciences,MNSCBS,BS in Management Science,HARD COPY,MALE,29,,,Bowie,MD,20720-3372,NULL,NULL,NULL,NULL
7105969,2054,,,,Spring 2005                   ,FTS,First-time Undergraduate,UGRD,NURU,Undergraduate Nursing,PRE-NUR,Pre-Nursing,HARD COPY,MALE,31,,,Baltimore,MD,21216-3135,A&SU,Undergraduate Arts & Sciences,UAPRBS,BS in Urban Arts
7105992,2054,,,,Spring 2005                   ,FTS,First-time Undergraduate,UGRD,NURU,Undergraduate Nursing,PRE-NUR,Pre-Nursing,HARD COPY,FEMALE,35,,,Baltimore,MD,21206-7090,A&SU,Undergraduate Arts & Sciences,UAPRBS,BS in Urban Arts
7106084,2054,,,,Spring 2005                   ,FTS,First-time Undergraduate,UGRD,NURU,Undergraduate Nursing,PRE-NUR,Pre-Nursing,HARD COPY,FEMALE,28,,,Baltimore,MD,21218-2527,NURU,Undergraduate Nursing,PRE-NUR,Pre-Nursing
7106320,2054,,,,Spring 2005                   ,REA,Readmit,UGRD,EDU,Undergraduate Education,ECEDBS,BS in Early Childhood Educ,HARD COPY,FEMALE,37,,,Baltimore,MD,21218-1645,EDU,Undergraduate Education,ECEDBS,BS in Early Childhood Educ
7106342,2054,,,,Spring 2005                   ,REA,Readmit,UGRD,EDU,Undergraduate Education,ELEDBS,BS in Elementary Education,HARD COPY,FEMALE,56,,,Pikesville,MD,21208-2331,EDU,Undergraduate Education,ELEDBS,BS in Elementary Education
7106365,2054,,,,Spring 2005                   ,REA,Readmit,UGRD,A&SU2,2nd Bachelors Arts & Sciences,APPLBS2,BS in Applied Psychology,HARD COPY,FEMALE,38,,,Randallstown,MD,21133-4221,NULL,NULL,NULL,NULL
7106376,2054,,,,Spring 2005                   ,REA,Readmit,UGRD,EDU,Undergraduate Education,SPEDBS,BS in Special Education,HARD COPY,MALE,32,,,Baltimore,MD,21239-3612,EDU,Undergraduate Education,SPEDBS,BS in Special Education
7106484,2054,,,,Spring 2005                   ,REA,Readmit,UGRD,A&SU,Undergraduate Arts & Sciences,BIOLBS,BS in Biology,HARD COPY,FEMALE,38,,,Baltimore,MD,21214-1004,A&SU,Undergraduate Arts & Sciences,BIOLBS,BS in Biology
7106485,2054,,,,Spring 2005                   ,NOD,Non-Degree Undergraduate,UGRD,NODEU,Undergrad Non-Degree,NODEGU,Non-Degree Undergraduate,HARD COPY,FEMALE,40,,,Baltimore,MD,21215-5838,NURU,Undergraduate Nursing,PRE-NUR,Pre-Nursing
7106935,2054,,,,Spring 2005                   ,FTS,First-time Undergraduate,UGRD,EDU,Undergraduate Education,ELEDBS,BS in Elementary Education,HARD COPY,FEMALE,27,,, , , ,EDU,Undergraduate Education,PRE-ELED,Pre-Elementary Education
7107325,2054,,,,Spring 2005                   ,FTS,First-time Undergraduate,UGRD,A&SU,Undergraduate Arts & Sciences,CRJUBS,BS in Criminal Justice,HARD COPY,MALE,27,,,Plainfield,NJ,07060-2046,PSU,Undergrad Professional Studies,CRJUBS,BS in Criminal Justice
7107337,2054,,,,Spring 2005                   ,FTS,First-time Undergraduate,UGRD,NURU,Undergraduate Nursing,PRE-NUR,Pre-Nursing,HARD COPY,FEMALE,27,,,Ellicott City,MD,21043-4133,PSU,Undergrad Professional Studies,POSCBS,BS in Political Science
7107531,2054,,,,Spring 2005                   ,TRN,Transfer,UGRD,NURU,Undergraduate Nursing,PRE-NUR,Pre-Nursing,HARD COPY,FEMALE,47,,,Baltimore,MD,21216-1723,NULL,NULL,NULL,NULL
7107662,2054,,,,Spring 2005                   ,NOD,Non-Degree Undergraduate,UGRD,NODEU,Undergrad Non-Degree,NODEGU,Non-Degree Undergraduate,HARD COPY,MALE,27,,,Baltimore,MD,21214-1509,NODEU,Undergrad Non-Degree,NODEGU,Non-Degree Undergraduate
7107662,2054,,,,Spring 2005                   ,TRN,Transfer,UGRD,A&SU,Undergraduate Arts & Sciences,UNKNASU,Ugrad Deg Seek Unknown AS,HARD COPY,FEMALE,32,,,Nottingham,MD,21236-4916,NULL,NULL,NULL,NULL
7107692,2054,,,,Spring 2005                   ,TRN,Transfer,UGRD,A&SU,Undergraduate Arts & Sciences,UNKNASU,Ugrad Deg Seek Unknown AS,HARD COPY,FEMALE,27,,,Pittsburgh,PA,15210-1183,NULL,NULL,NULL,NULL
7107730,2054,,,,Spring 2005                   ,TRN,Transfer,UGRD,A&SU,Undergraduate Arts & Sciences,CRJUBS,BS in Criminal Justice,HARD COPY,FEMALE,34,,, , , ,PSU,Undergrad Professional Studies,CRJUBS,BS in Criminal Justice
7107731,2054,,,,Spring 2005                   ,FTS,First-time Undergraduate,UGRD,A&SU,Undergraduate Arts & Sciences,SOWKBS,Social Work,HARD COPY,MALE,31,,,Baltimore,MD,21217-2601,SOWK,Social Work,SOWKBSW,Social Work
7107931,2054,,,,Spring 2005                   ,FTS,First-time Undergraduate,UGRD,NURU,Undergraduate Nursing,PRE-NUR,Pre-Nursing,HARD COPY,FEMALE,45,,,Baltimore,MD,21234-6004,NURU,Undergraduate Nursing,PRE-NUR,Pre-Nursing
7108282,2054,,,,Spring 2005                   ,REA,Readmit,UGRD,NURU,Undergraduate Nursing,PRE-NUR,Pre-Nursing,HARD COPY,FEMALE,29,,,Baltimore,MD,21215-6543,A&SU,Undergraduate Arts & Sciences,GNSCBS,General Science
7108295,2054,,,,Spring 2005                   ,REA,Readmit,UGRD,A&SU,Undergraduate Arts & Sciences,CRJUBS,BS in Criminal Justice,HARD COPY,FEMALE,36,,,Herndon,VA,20171-4516,PSU,Undergrad Professional Studies,CRJUBS,BS in Criminal Justice
7108295,2054,,,,Spring 2005                   ,REA,Readmit,UGRD,A&SU,Undergraduate Arts & Sciences,MNSCBS,BS in Management Science,HARD COPY,FEMALE,41,,,Baltimore,MD,21215-6420,A&SU,Undergraduate Arts & Sciences,UNKNASU,Ugrad Deg Seek Unknown AS
7108367,2054,,,,Spring 2005                   ,FTS,First-time Undergraduate,UGRD,NURU,Undergraduate Nursing,PRE-NUR,Pre-Nursing,HARD COPY,FEMALE,27,,,Baltimore,MD,21239-1801,A&SU,Undergraduate Arts & Sciences,UNKNASU,Ugrad Deg Seek Unknown AS
7108406,2054,,,,Spring 2005                   ,FTS,First-time Undergraduate,UGRD,A&SU,Undergraduate Arts & Sciences,BIOLBS,BS in Biology,HARD COPY,MALE,28,,,Baltimore,MD,21229-3559,A&SU,Undergraduate Arts & Sciences,BIOLBS,BS in Biology
7108412,2054,,,,Spring 2005                   ,FTS,First-time Undergraduate,UGRD,A&SU,Undergraduate Arts & Sciences,GNSCBS,General Science,HARD COPY,FEMALE,30,,,Philadelphia,PA,19151-3537,A&SU,Undergraduate Arts & Sciences,GNSCBS,General Science
7108441,2054,,,,Spring 2005                   ,TRN,Transfer,UGRD,NURU,Undergraduate Nursing,PRE-NUR,Pre-Nursing,HARD COPY,FEMALE,33,,,Baltimore,MD,21206-6624,NULL,NULL,NULL,NULL
7108441,2054,,,,Spring 2005                   ,TRN,Transfer,UGRD,A&SU,Undergraduate Arts & Sciences,APPLBS,BS in Applied Psychology,HARD COPY,FEMALE,40,,,Baltimore,MD,21217-1112,SOWK,Social Work,SOWKBSW,Social Work
7108498,2054,,,,Spring 2005                   ,TRN,Transfer,UGRD,A&SU,Undergraduate Arts & Sciences,APPLBS,BS in Applied Psychology,HARD COPY,MALE,36,,,Olney,MD,20832-1833,PSU,Undergrad Professional Studies,APPLBS,BS in Applied Psychology
7108542,2054,,,,Spring 2005                   ,NOD,Non-Degree Undergraduate,UGRD,NODEU,Undergrad Non-Degree,NODEGU,Non-Degree Undergraduate,HARD COPY,FEMALE,40,,,Baltimore,MD,21215-7035,NODEU,Undergrad Non-Degree,NODEGU,Non-Degree Undergraduate
7108594,2054,,,,Spring 2005                   ,USB,Second Bachelor,UGRD,A&SU2,2nd Bachelors Arts & Sciences,APPLBS2,BS in Applied Psychology,HARD COPY,FEMALE,68,,, , , ,PSU,Undergrad Professional Studies,APPLBS,BS in Applied Psychology
7108666,2054,,,,Spring 2005                   ,TRN,Transfer,UGRD,EDU,Undergraduate Education,ELEDBS,BS in Elementary Education,HARD COPY,FEMALE,38,,,Baltimore,MD,21215-4503,EDU,Undergraduate Education,ECEDBS,BS in Early Childhood Educ
7108735,2054,,,,Spring 2005                   ,NOD,Non-Degree Undergraduate,UGRD,NODEU,Undergrad Non-Degree,NODEGU,Non-Degree Undergraduate,HARD COPY,MALE,48,,,Baltimore,MD,21206-2343,NODEU,Undergrad Non-Degree,NODEGU,Non-Degree Undergraduate
7108751,2054,,,,Spring 2005                   ,FTS,First-time Undergraduate,UGRD,NURU,Undergraduate Nursing,PRE-NUR,Pre-Nursing,HARD COPY,FEMALE,39,,,Baltimore,MD,21213-1936,NURU,Undergraduate Nursing,PRE-NUR,Pre-Nursing
7108753,2054,,,,Spring 2005                   ,REA,Readmit,UGRD,A&SU,Undergraduate Arts & Sciences,ENGLBS,BS in English,HARD COPY,MALE,33,,,Baltimore,MD,21239-3148,A&SU,Undergraduate Arts & Sciences,ENGLBA,BA in English
7108782,2054,,,,Spring 2005                   ,TRN,Transfer,UGRD,A&SU,Undergraduate Arts & Sciences,UNKNASU,Ugrad Deg Seek Unknown AS,HARD COPY,FEMALE,55,,,Baltimore,MD,21216-4844,A&SU,Undergraduate Arts & Sciences,UNKNASU,Ugrad Deg Seek Unknown AS
7108786,2054,,,,Spring 2005                   ,FTS,First-time Undergraduate,UGRD,A&SU,Undergraduate Arts & Sciences,UNKNASU,Ugrad Deg Seek Unknown AS,HARD COPY,FEMALE,29,,,Harrisburg,PA,17110-3044,NULL,NULL,NULL,NULL
7108794,2054,,,,Spring 2005                   ,TRN,Transfer,UGRD,NURU,Undergraduate Nursing,PRE-NUR,Pre-Nursing,HARD COPY,FEMALE,31,,,Brier,WA,98036-8243,NURU,Undergraduate Nursing,PRE-NUR,Pre-Nursing
7108838,2054,,,,Spring 2005                   ,FTS,First-time Undergraduate,UGRD,EDU,Undergraduate Education,ELEDBS,BS in Elementary Education,HARD COPY,FEMALE,27,,,Severn,MD,21144-3111,EDU,Undergraduate Education,PRE-ED,Pre-Education
7108853,2054,,,,Spring 2005                   ,FTS,First-time Undergraduate,UGRD,A&SU,Undergraduate Arts & Sciences,ENGLBS,BS in English,HARD COPY,MALE,41,,,Baltimore,MD,21229-2027,NULL,NULL,NULL,NULL
7109721,2054,,,,Spring 2005                   ,TRN,Transfer,UGRD,A&SU,Undergraduate Arts & Sciences,APPLBS,BS in Applied Psychology,HARD COPY,FEMALE,46,,,Baltimore,MD,21213-1815,PSU,Undergrad Professional Studies,APPLBS,BS in Applied Psychology
7116553,2054,,,,Spring 2005                   ,REA,Readmit,UGRD,EDU,Undergraduate Education,SPEDBS,BS in Special Education,HARD COPY,MALE,45,,,Hyattsville,MD,20783-5151,EDU,Undergraduate Education,SPEDBS,BS in Special Education
7116735,2054,,,,Spring 2005                   ,REA,Readmit,UGRD,NURU,Undergraduate Nursing,PRE-NUR,Pre-Nursing,HARD COPY,FEMALE,31,,,Randallstown,MD,21133-4347,PSU,Undergrad Professional Studies,IDSBS,Interdisciplinary Studies
7116814,2054,,,,Spring 2005                   ,TRN,Transfer,UGRD,A&SU,Undergraduate Arts & Sciences,COSCBS,BS in Computer Science,HARD COPY,MALE,30,,,Germantown,MD,20874-6192,A&SU,Undergraduate Arts & Sciences,COSCBS,BS in Computer Science
7116888,2054,,,,Spring 2005                   ,FTS,First-time Undergraduate,UGRD,A&SU,Undergraduate Arts & Sciences,MNSCBS,BS in Management Science,HARD COPY,MALE,35,,,Nairobi, , ,NULL,NULL,NULL,NULL
7116930,2054,,,,Spring 2005                   ,REA,Readmit,UGRD,EDU,Undergraduate Education,ECEDBS,BS in Early Childhood Educ,HARD COPY,FEMALE,33,,,Baltimore,MD,21213-1825,EDU,Undergraduate Education,ECEDBS,BS in Early Childhood Educ
7117006,2054,,,,Spring 2005                   ,REA,Readmit,UGRD,NURU,Undergraduate Nursing,PRE-NUR,Pre-Nursing,HARD COPY,FEMALE,35,,,Parkville,MD,21234-6615,NURU,Undergraduate Nursing,NURSBSN,BS in Nursing Generic
7117130,2054,,,,Spring 2005                   ,REA,Readmit,UGRD,EDU,Undergraduate Education,ELEDBS,BS in Elementary Education,HARD COPY,MALE,39,,,Baltimore,MD,21218-3015,PSU,Undergrad Professional Studies,IDSBS,Interdisciplinary Studies
7117130,2054,,,,Spring 2005                   ,REA,Readmit,UGRD,A&SU,Undergraduate Arts & Sciences,CRJUBS,BS in Criminal Justice,HARD COPY,FEMALE,70,,,Baltimore,MD,21229-1822,PSU,Undergrad Professional Studies,CRJUBS,BS in Criminal Justice
7117295,2054,,,,Spring 2005                   ,REA,Readmit,UGRD,A&SU,Undergraduate Arts & Sciences,SOSCBS,BS in Social Science,HARD COPY,FEMALE,58,,,Baltimore,MD,21215-7610,PSU,Undergrad Professional Studies,SOSCBS,BS in Social Science
7117694,2054,,,,Spring 2005                   ,USB,Second Bachelor,UGRD,NURU2,2nd Undergraduate Nursing,NURSBS2,2nd BS in Nursing,HARD COPY,FEMALE,49,,,Essex,MD,21221-3052,NURU,Undergraduate Nursing,PRE-NUR,Pre-Nursing
7117694,2054,,,,Spring 2005                   ,FTS,First-time Undergraduate,UGRD,A&SU,Undergraduate Arts & Sciences,MNSCBS,BS in Management Science,HARD COPY,FEMALE,27,,,Capitol Heights,MD,20743-5742,A&SU,Undergraduate Arts & Sciences,HISTBS,BS in History
7117694,2054,,,,Spring 2005                   ,REA,Readmit,UGRD,NURU,Undergraduate Nursing,PRE-NUR,Pre-Nursing,HARD COPY,FEMALE,28,,,Parkville,MD,21234-8104,PSU,Undergrad Professional Studies,SOSCBS,BS in Social Science
7118152,2054,,,,Spring 2005                   ,TRN,Transfer,UGRD,NURU,Undergraduate Nursing,PRE-NUR,Pre-Nursing,HARD COPY,FEMALE,27,,,Baltimore,MD,21239-1928,NURU,Undergraduate Nursing,PRE-NUR,Pre-Nursing
7118456,2054,,,,Spring 2005                   ,NOD,Non-Degree Undergraduate,UGRD,NODEU,Undergrad Non-Degree,NODEGU,Non-Degree Undergraduate,HARD COPY,FEMALE,36,,,Baltimore,MD,21229-1827,NODEU,Undergrad Non-Degree,NODEGU,Non-Degree Undergraduate
7118458,2054,,,,Spring 2005                   ,TRN,Transfer,UGRD,A&SU,Undergraduate Arts & Sciences,UNKNASU,Ugrad Deg Seek Unknown AS,HARD COPY,FEMALE,46,,,Baltimore,MD,21213-2347,EDU,Undergraduate Education,ECEDBS,BS in Early Childhood Educ
7118466,2054,,,,Spring 2005                   ,TRN,Transfer,UGRD,A&SU,Undergraduate Arts & Sciences,MNSCBS,BS in Management Science,HARD COPY,FEMALE,32,,,Baltimore,MD,21218-1512,MNSU,Undergraduate Business,MNSCBS,BS in Management Science
7118473,2054,,,,Spring 2005                   ,NOD,Non-Degree Undergraduate,UGRD,NODEU,Undergrad Non-Degree,NODEGU,Non-Degree Undergraduate,HARD COPY,FEMALE,75,,, , , ,NODEU,Undergrad Non-Degree,NODEGU,Non-Degree Undergraduate
7118494,2054,,,,Spring 2005                   ,FTS,First-time Undergraduate,UGRD,A&SU,Undergraduate Arts & Sciences,MNSCBS,BS in Management Science,HARD COPY,FEMALE,27,,,Baltimore,MD,21206-4109,NULL,NULL,NULL,NULL
7118496,2054,,,,Spring 2005                   ,TRN,Transfer,UGRD,A&SU,Undergraduate Arts & Sciences,BIOLBS,BS in Biology,HARD COPY,FEMALE,31,,,Baltimore,MD,21217-1647,SOWK,Social Work,SOWKBSW,Social Work
7118501,2054,,,,Spring 2005                   ,TRN,Transfer,UGRD,NURU,Undergraduate Nursing,PRE-NUR,Pre-Nursing,HARD COPY,FEMALE,39,,,Baltimore,MD,21215,PSU,Undergrad Professional Studies,CRJUBS,BS in Criminal Justice
7118781,2054,,,,Spring 2005                   ,REA,Readmit,UGRD,A&SU,Undergraduate Arts & Sciences,UNKNASU,Ugrad Deg Seek Unknown AS,HARD COPY,FEMALE,59,,,Baltimore,MD,21229-3928,A&SU,Undergraduate Arts & Sciences,UNKNASU,Ugrad Deg Seek Unknown AS
7118994,2054,,,,Spring 2005                   ,REA,Readmit,UGRD,A&SU,Undergraduate Arts & Sciences,MNSCBS,BS in Management Science,HARD COPY,FEMALE,34,,,Baltimore,MD,21206-4002,NULL,NULL,NULL,NULL
7119025,2054,,,,Spring 2005                   ,TRN,Transfer,UGRD,A&SU,Undergraduate Arts & Sciences,CRJUBS,BS in Criminal Justice,HARD COPY,MALE,28,,,Baltimore,MD,21218-4933,PSU,Undergrad Professional Studies,CRJUBS,BS in Criminal Justice
7119052,2054,,,,Spring 2005                   ,REA,Readmit,UGRD,A&SU,Undergraduate Arts & Sciences,BIOLBS,BS in Biology,HARD COPY,FEMALE,29,,,Clinton,MD,20735-1115,PSU,Undergrad Professional Studies,APPLBS,BS in Applied Psychology
