Id,Date,Amount,ExpectedDeliveryDate,DeliveryLocation,CustomerId,Status,StatusDate,Quantity,QuantityProuced,ExpectedCompletionDate,ProductId
1,23-03-2019,132733,05-05-2019,,1,0,,4577,0,,39
2,14-02-2019,263655,24-02-2019,,1,0,,9765,0,,3
3,28-09-2019,1184,02-11-2019,,1,0,,658,0,,16
4,05-08-2019,274140,14-09-2019,,1,0,,9138,0,,48
5,06-11-2019,241263,07-12-2019,,1,0,,7311,0,,41
6,06-03-2019,11770,29-03-2019,,1,0,,5231,0,,8
7,21-01-2019,8225,24-02-2019,,1,0,,329,0,,26
8,17-07-2019,22726,05-08-2019,,1,0,,1033,0,,24
9,22-08-2019,269638,19-09-2019,,1,0,,8698,0,,19
10,20-12-2019,64317,20-01-2020,,1,0,,1949,0,,41
11,16-10-2019,20837,23-11-2019,,1,0,,9261,0,,8
12,06-06-2019,2351,16-06-2019,,1,0,,2044,0,,12
13,05-03-2019,64320,28-03-2019,,1,0,,3216,0,,29
14,19-11-2019,244107,02-12-2019,,1,0,,9041,0,,45
15,19-01-2019,31500,17-02-2019,,1,0,,1050,0,,32
16,07-05-2019,154466,25-05-2019,,1,0,,5941,0,,5
17,28-01-2019,12155,02-03-2019,,1,0,,6753,0,,16
18,07-02-2019,8301,13-03-2019,,1,0,,5534,0,,4
19,30-03-2019,70608,20-04-2019,,1,0,,2942,0,,52
20,07-08-2019,205551,16-09-2019,,1,0,,7613,0,,47
21,09-12-2019,59466,18-01-2020,,1,0,,1802,0,,27
22,19-12-2019,65184,06-01-2020,,1,0,,2328,0,,9
23,12-08-2019,155793,19-09-2019,,1,0,,4721,0,,41
24,15-08-2019,80550,24-09-2019,,1,0,,3222,0,,35
25,27-02-2019,240210,12-04-2019,,1,0,,7065,0,,49
26,04-01-2019,165531,09-02-2019,,1,0,,7197,0,,20
27,03-06-2019,256029,03-07-2019,,1,0,,8259,0,,19
28,29-08-2019,35167,01-10-2019,,1,0,,1529,0,,7
29,20-10-2019,147522,04-11-2019,,1,0,,6414,0,,7
30,29-11-2019,195468,09-12-2019,,1,0,,7518,0,,21
31,06-04-2019,61479,18-05-2019,,2,0,,2277,0,,34
32,24-11-2019,15417,04-01-2020,,2,0,,571,0,,3
33,18-10-2019,172952,27-11-2019,,2,0,,6652,0,,5
34,02-01-2019,298452,11-02-2019,,2,0,,9044,0,,27
35,14-05-2019,14602,28-05-2019,,2,0,,8112,0,,16
36,02-09-2019,60330,23-09-2019,,2,0,,2011,0,,48
37,19-09-2019,22240,26-10-2019,,2,0,,1112,0,,29
38,02-02-2019,139675,24-02-2019,,2,0,,5587,0,,35
39,10-06-2019,61175,20-06-2019,,2,0,,2447,0,,26
40,18-03-2019,144232,27-04-2019,,2,0,,6556,0,,24
41,12-09-2019,268257,05-10-2019,,2,0,,8129,0,,41
42,01-05-2019,269439,13-06-2019,,2,0,,9291,0,,1
43,19-01-2019,15833,26-02-2019,,2,0,,7612,0,,6
44,10-02-2019,276640,05-03-2019,,2,0,,8645,0,,43
45,28-04-2019,73392,11-06-2019,,2,0,,3058,0,,11
46,06-11-2019,228063,30-11-2019,,2,0,,6911,0,,53
47,04-05-2019,58112,22-05-2019,,2,0,,1816,0,,38
48,03-12-2019,161205,19-12-2019,,2,0,,4885,0,,41
49,18-11-2019,205689,17-12-2019,,2,0,,8943,0,,7
50,19-12-2019,2040,15-01-2020,,2,0,,1360,0,,4
51,19-02-2019,139920,03-03-2019,,2,0,,5830,0,,52
52,10-03-2019,258600,03-04-2019,,2,0,,8620,0,,48
53,21-02-2019,8940,05-04-2019,,2,0,,447,0,,29
54,14-03-2019,199422,07-04-2019,,2,0,,7386,0,,47
55,16-06-2019,238308,21-07-2019,,2,0,,8511,0,,30
56,16-03-2019,14500,02-04-2019,,3,0,,500,0,,1
57,01-05-2019,3495,09-06-2019,,3,0,,3039,0,,10
58,08-01-2019,189700,08-02-2019,,3,0,,7588,0,,35
59,04-12-2019,234775,06-01-2020,,3,0,,9391,0,,26
60,24-05-2019,44022,07-06-2019,,3,0,,1334,0,,41
61,04-05-2019,221754,22-05-2019,,3,0,,8529,0,,21
62,10-06-2019,287463,11-07-2019,,3,0,,8711,0,,41
63,07-02-2019,21150,03-03-2019,,3,0,,846,0,,25
64,18-06-2019,72780,26-07-2019,,3,0,,3639,0,,29
65,08-03-2019,301120,09-04-2019,,3,0,,9410,0,,38
66,18-02-2019,162702,02-04-2019,,3,0,,7074,0,,33
67,07-10-2019,2668,28-10-2019,,3,0,,2320,0,,12
68,16-02-2019,89112,27-03-2019,,3,0,,3713,0,,40
69,20-05-2019,11349,22-06-2019,,3,0,,5044,0,,8
70,07-07-2019,45792,09-08-2019,,3,0,,1908,0,,51
71,26-08-2019,177000,30-09-2019,,3,0,,7375,0,,52
72,06-03-2019,51544,27-03-2019,,3,0,,1516,0,,23
73,03-10-2019,3368,21-10-2019,,3,0,,1347,0,,14
74,25-10-2019,122892,16-11-2019,,4,0,,5586,0,,24
75,19-08-2019,44594,29-08-2019,,4,0,,2027,0,,24
76,30-07-2019,198628,06-09-2019,,4,0,,5842,0,,23
77,25-05-2019,39540,19-06-2019,,4,0,,1977,0,,29
78,29-03-2019,226620,23-04-2019,,4,0,,7554,0,,32
79,16-05-2019,11232,25-06-2019,,4,0,,7488,0,,4
80,07-09-2019,83384,20-09-2019,,4,0,,2978,0,,30
81,03-11-2019,220920,09-12-2019,,4,0,,7364,0,,48
82,07-12-2019,199254,15-01-2020,,4,0,,6038,0,,41
83,12-08-2019,96800,02-09-2019,,4,0,,3872,0,,25
84,05-07-2019,60237,13-08-2019,,4,0,,2619,0,,20
85,21-05-2019,61479,01-07-2019,,4,0,,2673,0,,15
86,30-08-2019,252261,21-09-2019,,4,0,,9343,0,,47
87,13-01-2019,4442,20-02-2019,,4,0,,1777,0,,14
88,14-01-2019,119616,29-01-2019,,4,0,,5696,0,,44
89,30-07-2019,12658,05-09-2019,,4,0,,5063,0,,14
90,03-11-2019,83491,25-11-2019,,4,0,,2879,0,,13
