Date,Accessories_count,Entertainment_count,Gaming,Kids,Mens,Phone_and_GPS,Womens,
11/1/2015,36,22,2,21,1,1,38,
11/2/2015,33,41,5,25,12,7,34,
11/3/2015,28,60,9,18,43,3,7,
11/4/2015,43,81,5,30,32,1,20,
11/5/2015,17,53,0,3,30,0,35,
11/6/2015,48,44,0,20,18,2,45,
11/7/2015,49,18,7,24,39,7,42,
11/8/2015,24,3,0,9,19,1,5,
11/9/2015,32,25,2,12,25,3,25,
11/10/2015,38,54,4,18,31,4,32,
11/11/2015,44,64,6,20,39,2,39,
11/12/2015,52,95,8,25,40,3,42,
11/13/2015,45,98,5,21,35,5,32,
11/14/2015,46,103,6,20,38,2,35,
11/15/2015,47,108,7,22,39,1,41,
