FactoryName,FactoryLocation,AreaName,FloorName,Score,P_Incident,Risk Category,Location
Factory 1,Kyoto,AREA_1_FLOOR_1,FLOOR_F_1_1,100,1,Low,Kyoto
Factory 1,Kyoto,AREA_26_FLOOR_1,FLOOR_F_1_1,80,21,Medium,Kyoto
Factory 1,Kyoto,AREA_51_FLOOR_1,FLOOR_F_1_1,90,11,Low,Kyoto
Factory 1,Kyoto,AREA_76_FLOOR_1,FLOOR_F_1_1,80,21,Medium,Kyoto
Factory 2,San Diego,AREA_2_FLOOR_2,FLOOR_F_2_2,80,21,Medium,San Diego
Factory 2,San Diego,AREA_27_FLOOR_2,FLOOR_F_2_2,65,36,Medium,San Diego
Factory 2,San Diego,AREA_52_FLOOR_2,FLOOR_F_2_2,75,26,Medium,San Diego
Factory 2,San Diego,AREA_77_FLOOR_2,FLOOR_F_2_2,65,36,Medium,San Diego
Factory 3,Sturrgart,AREA_3_FLOOR_3,FLOOR_F_3_3,80,21,Medium,Sturrgart
Factory 3,Sturrgart,AREA_28_FLOOR_3,FLOOR_F_3_3,60,41,High,Sturrgart
Factory 3,Sturrgart,AREA_53_FLOOR_3,FLOOR_F_3_3,55,46,High,Sturrgart
Factory 3,Sturrgart,AREA_78_FLOOR_3,FLOOR_F_3_3,50,51,High,Sturrgart
Factory 4,Miami,AREA_4_FLOOR_4,FLOOR_F_4_4,60,41,High,Miami Beach
Factory 4,Miami,AREA_29_FLOOR_4,FLOOR_F_4_4,65,36,Medium,Miami Beach
Factory 4,Miami,AREA_54_FLOOR_4,FLOOR_F_4_4,55,46,High,Miami Beach
Factory 4,Miami,AREA_79_FLOOR_4,FLOOR_F_4_4,55,46,High,Miami Beach
Factory 5,Rio de Janeiro,AREA_5_FLOOR_5,FLOOR_F_5_5,60,41,High,CopaCabana
Factory 5,Rio de Janeiro,AREA_30_FLOOR_5,FLOOR_F_5_5,55,46,High,CopaCabana
Factory 5,Rio de Janeiro,AREA_55_FLOOR_5,FLOOR_F_5_5,50,51,High,CopaCabana
Factory 5,Rio de Janeiro,AREA_80_FLOOR_5,FLOOR_F_5_5,40,61,High,CopaCabana
Factory 1,Kyoto,AREA_6_FLOOR_6,FLOOR_F_1_6,100,1,Low,Kyoto
Factory 1,Kyoto,AREA_31_FLOOR_6,FLOOR_F_1_6,80,21,Medium,Kyoto
Factory 1,Kyoto,AREA_56_FLOOR_6,FLOOR_F_1_6,85,16,Low,Kyoto
Factory 1,Kyoto,AREA_81_FLOOR_6,FLOOR_F_1_6,95,6,Low,Kyoto
Factory 2,San Diego,AREA_7_FLOOR_7,FLOOR_F_2_7,80,21,Medium,San Diego
Factory 2,San Diego,AREA_32_FLOOR_7,FLOOR_F_2_7,60,41,High,San Diego
Factory 2,San Diego,AREA_57_FLOOR_7,FLOOR_F_2_7,55,46,High,San Diego
Factory 2,San Diego,AREA_82_FLOOR_7,FLOOR_F_2_7,75,26,Medium,San Diego
