ID,CampaignName,CampaignTactic,CampaignStartDate,Expense,MarketingCost,Profit,LocationID,Revenue,RevenueTarget,ROI,Status,ProductID,Sentiment,Response
6350,Get Sporty,Event,5/21/2020 0:00,"$271,796.",37791,-83793,31,"$1,504,024.",324003,"$24,462",Intent,1349,Positive,232
6950,Get Sporty,Media Placements,9/16/2019 0:00,"$35,921.",118881,155006,13,"$1,527,416.",317373,"$2,874",Inquiries,1349,Positive,657
7370,Get Sporty,Social,9/8/2019 0:00,"$77,809.",64447,94112,8,"$1,375,368.",169592,"-$5,058",Inquiries,1349,Positive,241
6830,Get Sporty,Media Placements,4/21/2020 0:00,"$235,875.",109480,-91970,14,"$1,151,240.",130118,"$8,256",Consideration,1349,Positive,1062
7490,Get Sporty,Social,5/6/2020 0:00,"$272,085.",26418,-107729,10,"$1,314,848.",249186,"$19,046",Consideration,1349,Positive,227
7010,Get Sporty,Media Placements,2/3/2020 0:00,"$266,271.",85391,18530,44,"$2,278,408.",235467,"$19,970",Consideration,1349,Positive,72
8570,Get Sporty,TV,8/13/2019 0:00,"$146,030.",86700,88604,10,"$1,877,072.",91460,"-$5,841",Consideration,1349,Positive,47
6110,Get Sporty,Event,1/20/2020 0:00,"$94,520.",93568,109191,23,"$1,629,688.",167025,"$6,144",Purchase,1349,Positive,333
8510,Get Sporty,TV,9/9/2019 0:00,"$483,157.",95217,-396117,22,"$696,320.",283084,"-$33,821",Consideration,1349,Positive,954
5570,Get Sporty,Email,2/2/2020 0:00,"$141,916.",76364,152031,10,"$2,351,576.",216223,"$5,677",Purchase,1349,Positive,494
5810,Get Sporty,Event,11/15/2019 0:00,"$126,888.",55913,28016,10,"$1,239,232.",202810,"$10,785",Awareness,1349,Positive,358
7370,Get Sporty,Social,9/8/2019 0:00,"$77,809.",64447,94112,8,"$1,375,368.",169592,"-$5,058",Inquiries,1349,Positive,241
7910,Get Sporty,Social,8/27/2019 0:00,"$43,588.",88536,122349,18,"$1,327,496.",235127,"-$1,961",Inquiries,1349,Positive,467
5870,Get Sporty,Event,3/24/2020 0:00,"$118,575.",89913,176953,9,"$2,364,224.",136306,"$8,893",Inquiries,1349,Positive,240
6470,Get Sporty,Event,3/25/2020 0:00,"$79,781.",29954,143327,8,"$1,784,864.",254235,$0,Inquiries,1349,Positive,163
7370,Get Sporty,Social,9/8/2019 0:00,"$77,809.",64447,94112,8,"$1,375,368.",169592,"-$5,058",Inquiries,1349,Positive,241
6470,Get Sporty,Event,3/25/2020 0:00,"$79,781.",29954,143327,8,"$1,784,864.",254235,$0,Inquiries,1349,Positive,163
6590,Get Sporty,Media Placements,10/25/2019 0:00,"$62,373.",71451,224077,0,"$2,291,600.",267801,-$936,Awareness,1349,Positive,6
5810,Get Sporty,Event,11/15/2019 0:00,"$126,888.",55913,28016,21,"$1,239,232.",202810,"$10,785",Awareness,1349,Positive,358
6050,Get Sporty,Event,6/17/2019 0:00,"$77,435.",76007,97597,16,"$1,400,256.",124321,"$6,969",Awareness,1349,Positive,1024
7970,Get Sporty,Social,3/2/2020 0:00,"$68,629.",85918,231438,18,"$2,400,536.",143293,"$3,088",Awareness,1349,Positive,1098
7010,Get Sporty,Media Placements,2/3/2020 0:00,"$266,271.",85391,18530,44,"$2,278,408.",235467,"$19,970",Consideration,1349,Positive,72
5930,Get Sporty,Event,5/10/2020 0:00,"$257,686.",117793,-66521,14,"$1,529,320.",306697,"$5,154",Awareness,1349,Positive,693
8210,Get Sporty,TV,10/12/2019 0:00,"$73,559.",36023,212211,10,"$2,286,160.",173026,"$3,310",Inquiries,1349,Positive,420
7010,Get Sporty,Media Placements,2/3/2020 0:00,"$266,271.",85391,18530,10,"$2,278,408.",235467,"$19,970",Consideration,1349,Positive,72
8030,Get Sporty,TV,11/2/2019 0:00,"$110,160.",41956,-10149,47,"$800,088.",175797,"$1,102",Awareness,1349,Positive,1091
6650,Get Sporty,Media Placements,2/12/2020 0:00,"$168,929.",24905,106590,8,"$2,204,152.",239037,"$12,670",Purchase,1349,Positive,194
5990,Get Sporty,Event,1/25/2020 0:00,"$271,609.",91749,10778,22,"$2,259,096.",134589,"$8,148",Intent,1349,Positive,832
8330,Get Sporty,TV,5/1/2020 0:00,"$59,381.",35088,101881,21,"$1,290,096.",151147,"$2,969",Inquiries,1349,Positive,642
7070,Get Sporty,Media Placements,4/18/2020 0:00,"$28,900.",90185,56474,23,"$682,992.",134640,$867,Consideration,1349,Positive,436
7130,Get Sporty,Media Placements,2/23/2020 0:00,"$247,146.",45509,14433,10,"$2,092,632.",118337,"$11,122",Awareness,1349,Positive,807
7790,Get Sporty,Social,8/12/2019 0:00,"$45,883.",82229,164339,20,"$1,681,776.",190179,"$1,376",Inquiries,1349,Positive,417
8090,Get Sporty,TV,10/29/2019 0:00,"$128,197.",118847,40868,12,"$1,352,520.",231608,"$12,179",Awareness,1349,Positive,1111
5690,Get Sporty,Email,1/27/2020 0:00,"$145,299.",73185,105927,48,"$2,009,808.",223074,"$5,085",Awareness,1349,Positive,554
8570,Get Sporty,TV,8/13/2019 0:00,"$146,030.",86700,88604,21,"$1,877,072.",91460,"-$5,841",Consideration,1349,Positive,47
6770,Get Sporty,Media Placements,6/26/2019 0:00,"$244,698.",78846,-96628,9,"$1,184,560.",165121,"-$7,341",Intent,1349,Positive,996
7130,Get Sporty,Media Placements,2/23/2020 0:00,"$247,146.",45509,14433,21,"$2,092,632.",118337,"$11,122",Awareness,1349,Positive,807
7010,Get Sporty,Media Placements,2/3/2020 0:00,"$266,271.",85391,18530,19,"$2,278,408.",235467,"$19,970",Consideration,1349,Positive,72
8390,Get Sporty,TV,3/18/2020 0:00,"$268,141.",63682,-96475,13,"$1,373,328.",96271,"$1,341",Awareness,1349,Positive,1031
6890,Get Sporty,Media Placements,5/16/2020 0:00,"$137,921.",20060,-44693,16,"$745,824.",194973,"$9,654",Inquiries,1349,Positive,498
6350,Get Sporty,Event,5/21/2020 0:00,"$271,796.",37791,-83793,17,"$1,504,024.",324003,"$24,462",Intent,1349,Positive,232
6170,Get Sporty,Event,1/12/2020 0:00,"$186,881.",116654,42891,22,"$1,838,176.",151147,$934,Consideration,1349,Positive,417
7430,Get Sporty,Social,10/24/2019 0:00,"$97,342.",50609,48110,12,"$1,163,616.",311984,$0,Inquiries,1349,Positive,657
8270,Get Sporty,TV,1/21/2020 0:00,"$101,371.",117351,-7939,23,"$747,456.",260117,"$1,521",Intent,1349,Positive,162
8450,Get Sporty,TV,1/8/2020 0:00,"$73,355.",70924,69139,18,"$1,139,952.",326553,"$6,235",Awareness,1349,Positive,711
6530,Get Sporty,Event,2/10/2020 0:00,"$213,911.",89845,-100164,20,"$909,976.",120190,"$4,278",Consideration,1349,Positive,835
6290,Get Sporty,Event,6/17/2019 0:00,"$85,867.",80019,26214,16,"$896,648.",290632,"-$4,723",Consideration,1349,Positive,250
8030,Get Sporty,TV,11/2/2019 0:00,"$110,160.",41956,-10149,14,"$800,088.",175797,"$1,102",Awareness,1349,Positive,1091
