"Nick Name","Name","Definition","Status","Related Terms","Synonyms","Acronym","Experts","Stewards","Resources","Parent Term Name"
"Email","Email","","Approved","","","","","","",""
"VisitorsCount","VisitorsCount","","Draft","","","","","","",""
"Address","Customer_Gender_Address","","Approved","","","","","","","Customer_Gender"
"ZipCode","Customer_Gender_Address_Region_City_ZipCode","","Approved","","","","","","","Customer_Gender_Address_Region_City"
"CardType","CreditCard_CardType","","Approved","","","","","","","CreditCard"
"BatteryLevel","BatteryLevel","","Approved","","","","","","",""
"Budget","Budget","","Approved","","","","","","",""
"Gender","Customer_Gender","","Approved","","","","","","","Customer"
"Temperature","Temperature","","Approved","","","","","","",""
"City","Customer_Gender_Address_Region_City","","Approved","","","","","","","Customer_Gender_Address_Region"
"Item","Item","","Draft","","","","","","",""
"WWI","Contoso_WWI","","Approved","","","","","","","Contoso"
"Contoso","Contoso","","Approved","","","","","","",""
"CustomerSegment","CustomerSegment","","Approved","","","","","","",""
"Customer","Customer","","Approved","","","","","","",""
"Region","Customer_Gender_Address_Region","","Approved","","","","","","","Customer_Gender_Address"
"MagentoData","MagentoData","","Approved","","","","","","",""
"Hashtag","Hashtag","","Approved","","","","","","",""
"ContactNumber","ContactNumber","","Approved","","","","","","",""
"CreditCard","CreditCard","","Approved","","","","","","",""
"Channel","Channel","","Approved","","","","","","",""
