NAME,TYPE,Required,status,remarks
RetailPool (synretailprod/RetailPool),Apache Spark pool,y,Done,
RetailSparkPool (synretailprod/RetailSparkPool),Apache Spark pool,,,
app-edgarretail-prod001,App Service,,,
app-iotfoottraffic-prod,App Service,y,Done,will need build
app-retaildemo-prod,App Service,y,Done,will need build
app-retailsearch-prod,App Service,,,
app-srch-retail-backendprod001,App Service,y,,
qnamaker-retail2-prod001,App Service,y,Done,python script required for bot
retail-mediasearch-app-prod,App Service,y,Done,will need build
retail2-realtime-kpi-prod,App Service,,,
RetailBotApp,App Service,y,,
RetailBotAppv01,App Service,,,
adx-thermostat-realtime,App Service,y,Done,will need build and config replacments
ASP-Retail20Prod-aedf,App Service plan,,,
EastUSPlan,App Service plan,,,
appsvc_windows_centralus,App Service plan,,,
asp-retail-livestream,App Service plan,,,
qnamaker-retail2-prod001,App Service plan,,,
realtime,App Service plan,,,
RetailBotService,App Service plan,,,
RetailBotServicev01,App Service plan,,,
app-retailsearch-prod,Application Insights,,,
mlwretaildemop9363717582,Application Insights,,,
cosmosdb-retail2-prod,Azure Cosmos DB account,y,Done,
purviewretailprod,Azure Purview account,y,,
bingsearchspellcheckretailprod001,Bing Resource,,,
RetailBotv01,Bot Channels Registration,y,Done,
cogretailprod001,Cognitive services multi-service account,y,Done,
customvision_retail,Cognitive services multi-service account,,,
peoplecountretail,Cognitive services multi-service account,,,
retailspatialanalysisprod001,Cognitive services multi-service account,,,
cogvisionretailprod001,Computer vision,y,,
retail-semantic-serverprod001,Container instances,,,
acrretailspatialprod001,Container registry,,,
retaildataexplorer (synretailprod/retaildataexplorer),Data Explorer pool (preview),y,,
RetailDW (synretailprod/RetailDW),Dedicated SQL pool,y,Done,
vm-dreamdemoretail2.0prod-GPU_OsDisk_1_ce6c891532f242ada344c4ee234099f1,Disk,,,
retailmedia-77c7093e-9215-4718-af05-85e1b3b36ace,Event Grid System Topic,y,,
aaretailspatialanalyticseventhubprod001,Event Hubs Namespace,y,Done,
adx-thermostat-occupancy,Event Hubs Namespace,,,
formrecogretailprod001,Form recognizer,y,,
func-retail-livestream,Function App,,,
func-retail-livestreaming,Function App,y,,
iothubspatialanalyticsprod001,IoT Hub,y,,
retail2-iothub-foottraffic-prod,IoT Hub,,,
mlwretaildemop0076732019,Key vault,y,,
retaillangresourceprod001,Language,y,,
logicapp-retail2-prod001,Logic app,y,,
mlw-retaildemo-prod,Machine learning,y,,
retailmedia,Managed Identity,,,
retailmedia,Media service,y,,
Failure Anomalies - app-retailsearch-prod,microsoft.alertsmanagement/smartdetectoralertrules,,,
Failure Anomalies - mlwretaildemop9363717582,microsoft.alertsmanagement/smartdetectoralertrules,,,
NvidiaGpuDriverLinux (vm-dreamdemoretail2.0prod-GPU/NvidiaGpuDriverLinux),microsoft.compute/virtualmachines/extensions,,,
iothubspatialanalyticsprod001,microsoft.security/iotsecuritysolutions,,,
retail2-iothub-foottraffic-prod,microsoft.security/iotsecuritysolutions,,,
vm-dreamdemoretai784,Network interface,,,
vm-dreamdemoretail2.0prod-GPU-nsg,Network security group,,,
vm-dreamdemoretailprodGPU-nsg,Network security group,,,
vm-dreamdemoretail2.0prod-GPU-ip,Public IP address,,,
vm-dreamdemoretailprodGPU-ip,Public IP address,,,
qnamaker-retail2-prod001,QnA maker,y,Done,
qnamakerretail2prod001-asj3xfcvlylg3ns,Search service,,,
srch-retail-prod-product,Search service,,,
srchincidentprod001,Search service,y,,
srcretailedgarsearchprod001,Search service,,,
retailspeechapp-prod,Speech service,y,,
productsearchwebapp,Static Web App,y,,
stapp-retail-productsearch,Static Web App,y,,
funcretaillivestreamings,Storage account,,,
funcretaillivestreamstor,Storage account,,,
mlwretaildemop0116006797,Storage account,,,
retailmedia,Storage account,,,
stretailprod,Storage account,,,
asa-ioteventprocessor-prod,Stream Analytics job,,,
spatialanalyticsretailprod001,Stream Analytics job,,,
default (retailmedia/default),Streaming Endpoint,,,
synretailprod,Synapse workspace,y,Done,
translator-retail2-prod0001,Translator,y,Done,
translator-retail2-prod001,Translator,,,
RetailMedia,Video Analyzer for Media,y,,
vm-dreamdemoretail2.0prod-GPU,Virtual machine,,,
Retail2.0-Prod-vnet,Virtual network,,,
