Used In,Used By,Server name,Database Name,Database Table Name,Power BI Collection Name
SAP HANA TO ADLS pipeline ,SourceDataset_d89,52.184.162.251:31015,N/A Connection Fails,FactInternetSalesS,
SAP HANA TO ADLS pipeline ,DelimitedText1,https://labworkspace123654.dfs.core.windows.net,,,
SAP HANA TO ADLS pipeline ,AzureSynapseAnalyticsTable9,cdpvisionworkspace.sql.azuresynapse.net,azuresynapsedw,AggregatedSales_SAPHANANew,
SAP HANA TO ADLS pipeline ,AzureSynapseAnalyticsTable8,cdpvisionworkspace.sql.azuresynapse.net,azuresynapsedw,AggregatedSales_SAPHANANew,
SAP HANA TO ADLS pipeline ,AzureDataLakeStorage5,https://labworkspace123654.dfs.core.windows.net,,,
MarketingDBMigration pipeline,TeradataMarketingDB,192.168.222.160,N/A Connection Fails,FactOrders,
MarketingDBMigration pipeline,MarketingDB_Stage,https://labworkspace123654.dfs.core.windows.net,,,
MarketingDBMigration pipeline,Synapse,cdpvisionworkspace.sql.azuresynapse.net,azuresynapsedw,OracleSalesData,
MarketingDBMigration pipeline,Notebook 3 Campaings Analytics Data Prep,labworkspace123654.dfs.core.windows.net/CampaignAnalytics.csv,,,
SalesDBMigration Pipeline,OracleSalesDB,DemoSVR.soft.COM,N/A Connection Fails,,
SalesDBMigration Pipeline,Synapse,cdpvisionworkspace.sql.azuresynapse.net,azuresynapsedw,OracleSalesData,
TwitterDataMigration Pipeline,Parquet1,https://labworkspace123654.dfs.core.windows.net,,,
TwitterDataMigration Pipeline,Parquet2,https://labworkspace123654.dfs.core.windows.net,,,
TwitterDataMigration Pipeline,Parquet3,https://labworkspace123654.dfs.core.windows.net,,,
TwitterDataMigration Pipeline,AzureSynapseAnalyticsTable1,cdpvisionworkspace.sql.azuresynapse.net,azuresynapsedw,TwitterAnalytics,
8 External Data to Synapse Via Copy Into T-SQL,,,AzureSynapseDW,Twitter,
1 SQL Query with Synapse T-SQL,,,AzureSynapseDW,dbo.Sales,
1 SQL Query with Synapse T-SQL,,,AzureSynapseDW,dbo.Products,
1 SQL Query with Synapse T-SQL,,,AzureSynapseDW,[Dim_Customer],
1 SQL Query with Synapse T-SQL,,,AzureSynapseDW,dbo.[TwitterAnalytics],
1 SQL Query with Synapse T-SQL,,,AzureSynapseDW,dbo.[MillennialCustomers],
2 JSON Extractor T-SQL,,,AzureSynapseDW,TwitterRawData,
1 Product Recommendations Notebook,,,AzureSynapseDW,Customer_SalesLatest,
2 AutoML Customer Forecasting,,,AzureSynapseDW,department_visit_customer,
3 Campaings Analytics Data Prep,,labworkspace123654.dfs.core.windows.net/CampaignAnalytics.csv,,,
1.CDP Vision Demo Power BI,,,AzureSynapseDW,BookConsumption,=
1.CDP Vision Demo Power BI,,,AzureSynapseDW,BookList,=
1.CDP Vision Demo Power BI,,,AzureSynapseDW,Books,=
1.CDP Vision Demo Power BI,,,AzureSynapseDW,BrandAwareness,=
1.CDP Vision Demo Power BI,,,AzureSynapseDW,Campaign_Analytics,=
1.CDP Vision Demo Power BI,,,AzureSynapseDW,CampaignNew4,=
1.CDP Vision Demo Power BI,,,AzureSynapseDW,Campaigns,=
2.Billion Rows Demo Power BI,,,AzureSynapseDW,Category,=
1.CDP Vision Demo Power BI,,,AzureSynapseDW,ConflictofInterest,=
1.CDP Vision Demo Power BI,,,AzureSynapseDW,Country,=
1.CDP Vision Demo Power BI,,,AzureSynapseDW,CustomerVisitF,=
1.CDP Vision Demo Power BI,,,AzureSynapseDW,DimDate,=
1.CDP Vision Demo Power BI,,,AzureSynapseDW,EmailAnalytics,=
1.CDP Vision Demo Power BI,,,AzureSynapseDW,FinalRevenue,=
1.CDP Vision Demo Power BI,,,AzureSynapseDW,FinanceSales,=
1.CDP Vision Demo Power BI,,,AzureSynapseDW,FPA,=
1.CDP Vision Demo Power BI,,,AzureSynapseDW,LocationAnalytics,=
1.CDP Vision Demo Power BI,,,AzureSynapseDW,OperatingExpenses,=
1.CDP Vision Demo Power BI,,,AzureSynapseDW,Popularity,=
2.Billion Rows Demo Power BI,,,AzureSynapseDW,ProdChamp,=
1.CDP Vision Demo Power BI,,,AzureSynapseDW,ProductLink,ProductLinks
1.CDP Vision Demo Power BI,,,AzureSynapseDW,ProductLink2,ProductLink22
1.CDP Vision Demo Power BI,,,AzureSynapseDW,ProductRecommendations,=
2.Billion Rows Demo Power BI,,,AzureSynapseDW,Products,=
1.CDP Vision Demo Power BI,,,AzureSynapseDW,Sales,=
1.CDP Vision Demo Power BI,,,AzureSynapseDW,SalesMaster,=
1.CDP Vision Demo Power BI,,,AzureSynapseDW,SalesVsExpense,=
2.Billion Rows Demo Power BI,,,AzureSynapseDW,SaleTransactions,wwi Sales
,,,AzureSynapseDW,SiteSecurity,=
,,,AzureSynapseDW,WebsiteSocialAnalytics,=
