date,MonthName,CityName,WeekNumber,BedOccupancied
2020-04-24,Apr,Los Angeles,17,0
2019-04-28,Apr,Los Angeles,18,6560
2020-04-12,Apr,Los Angeles,16,0
2020-08-06,Aug,Los Angeles,32,6790
2020-07-25,Jul,Los Angeles,30,6650
2019-04-03,Apr,Los Angeles,14,6470
2020-04-02,Apr,Los Angeles,14,0
2019-04-04,Apr,Los Angeles,14,7110
2019-04-11,Apr,Los Angeles,15,7070
2020-08-09,Aug,Los Angeles,33,6430
2019-04-07,Apr,Los Angeles,15,7190
2019-04-21,Apr,Los Angeles,17,6130
2020-02-17,Feb,Los Angeles,8,0
2019-08-24,Aug,Los Angeles,34,7130
2019-04-26,Apr,Los Angeles,17,6960
2019-04-14,Apr,Los Angeles,16,6140
2019-08-04,Aug,Los Angeles,32,6660
2020-04-09,Apr,Los Angeles,15,0
2020-04-26,Apr,Los Angeles,18,0
2020-08-10,Aug,Los Angeles,33,6650
2020-04-11,Apr,Los Angeles,15,0
2019-04-10,Apr,Los Angeles,15,6720
2019-02-15,Feb,Los Angeles,7,6540
2019-04-27,Apr,Los Angeles,17,6550
2020-04-06,Apr,Los Angeles,15,0
2019-10-21,Oct,Los Angeles,43,6930
2020-04-04,Apr,Los Angeles,14,0
2019-02-11,Feb,Los Angeles,7,6400
2020-04-14,Apr,Los Angeles,16,0
2019-08-26,Aug,Los Angeles,35,7040
2020-04-28,Apr,Los Angeles,18,0
2019-04-05,Apr,Los Angeles,14,6680
2020-04-03,Apr,Los Angeles,14,0
2020-04-05,Apr,Los Angeles,15,0
2020-04-18,Apr,Los Angeles,16,0
2019-04-20,Apr,Los Angeles,16,7590
2020-04-17,Apr,Los Angeles,16,0
2019-04-01,Apr,Los Angeles,14,5310
2019-12-03,Dec,Los Angeles,49,7450
2019-04-25,Apr,Los Angeles,17,7870
2019-04-13,Apr,Los Angeles,15,6650
2020-08-04,Aug,Los Angeles,32,6630
2020-08-01,Aug,Los Angeles,31,7070
