Date,GrossRevenue,NetRevenue,GrossProfit
2019-01-06,1000,872,523
2020-12-01,500,440,264
2020-02-10,1000,840,504
2020-03-12,750,675,405
2020-01-23,750,654,392
2020-06-28,1000,840,504
2020-07-01,1280,1064,638
2020-02-09,1250,1110,666
2020-05-11,500,450,270
2020-08-23,750,645,387
2020-08-01,180,152,91
2020-05-20,750,624,374
2019-08-22,750,636,382
2020-02-24,1250,1025,615
2020-01-21,750,645,387
2020-02-06,1000,900,540
2019-06-10,1000,832,499
2020-04-13,1000,888,533
2019-10-28,750,645,387
2020-01-28,1000,848,509
2020-03-22,1000,840,504
2020-02-06,1250,1060,636
2020-01-17,250,220,132
2020-01-20,750,675,405
2020-04-03,1000,888,533
2020-02-20,750,660,396
2020-01-14,1000,848,509
2019-05-01,750,660,396
2020-05-03,180,152,91
2020-04-21,1000,872,523
2019-01-21,1000,808,485
2020-10-18,191,159,95
2020-04-19,1000,808,485
2020-03-25,1250,1050,630
2019-11-27,250,202,121
2020-01-18,1000,880,528
2020-05-27,750,615,369
2020-04-30,750,606,364
2019-01-29,1000,880,528
2020-04-12,750,624,374
2019-04-18,750,666,400
2020-03-26,1000,880,528
2020-06-16,750,645,387
2020-02-05,1000,872,523
2020-11-27,382,320,192
2020-04-11,750,654,392
2020-03-10,750,630,378
2020-01-03,1000,860,516
2020-05-28,1250,1075,645
2020-02-04,1000,860,516
2019-05-10,750,660,396
2020-03-06,1000,848,509
2020-01-30,1000,872,523
2020-06-11,750,630,378
2019-04-02,1000,888,533
2020-06-09,750,606,364
2020-12-30,1160,964,578
2019-06-03,1000,832,499
2020-06-12,750,636,382
2020-03-27,500,444,266
2019-10-31,1000,872,523
2019-01-18,500,440,264
2020-01-13,1000,840,504
2020-06-02,750,675,405
2020-01-15,750,654,392
2019-01-30,1000,840,504
2019-10-24,1280,1064,638
2020-01-12,1250,1110,666
2019-09-19,500,450,270
2019-04-08,750,645,387
2020-04-13,180,152,91
2020-01-06,750,624,374
2019-11-03,750,636,382
2019-10-03,1250,1025,615
2020-01-17,750,645,387
2019-09-19,1000,900,540
2020-07-18,1000,832,499
2020-03-28,1000,888,533
2020-09-19,750,645,387
2020-05-16,1000,848,509
2020-01-25,1000,840,504
2020-04-20,1250,1060,636
2020-06-13,250,220,132
2020-03-15,750,675,405
2020-03-10,1000,888,533
2019-03-09,750,660,396
2020-02-07,1000,848,509
2020-01-16,750,660,396
2020-04-09,180,152,91
2020-02-24,1000,872,523
2019-07-01,1000,808,485
2019-09-18,191,159,95
2020-01-11,1000,808,485
2020-06-13,1250,1050,630
2020-11-10,250,202,121
2020-02-16,1000,880,528
2020-02-13,750,615,369
2020-04-24,750,606,364
2019-08-12,1000,880,528
2020-05-20,750,624,374
2020-08-30,750,666,400
2020-01-23,1000,880,528
2020-03-03,750,645,387
2020-01-22,1000,872,523
2020-11-02,382,320,192
2020-06-25,750,654,392
2020-08-16,750,630,378
2019-06-30,1000,860,516
2020-01-25,1250,1075,645
2020-06-17,1000,860,516
2019-01-03,750,660,396
2020-05-22,1000,848,509
2020-01-22,1000,872,523
2020-01-23,750,630,378
2020-08-30,1000,888,533
2019-04-16,750,606,364
2020-07-03,1160,964,578
2019-03-25,1000,832,499
2020-02-14,750,636,382
2020-01-20,500,444,266
2019-05-28,1000,872,523
2020-03-12,500,440,264
2020-02-09,1000,840,504
2020-06-01,750,675,405
2020-03-08,750,654,392
2020-06-19,1000,840,504
2020-07-23,1280,1064,638
2020-03-01,1250,1110,666
2019-05-11,500,450,270
2019-01-27,750,645,387
2019-05-20,180,152,91
2020-05-22,750,624,374
2020-04-02,750,636,382
2020-11-25,1250,1025,615
2020-05-13,750,645,387
2020-09-19,1000,900,540
2020-09-10,1000,832,499
2020-06-13,1000,888,533
2019-03-04,750,645,387
2020-05-29,1000,848,509
2020-05-28,1000,840,504
2020-05-09,1250,1060,636
2020-04-29,250,220,132
2020-03-06,750,675,405
2020-06-08,1000,888,533
2019-03-27,750,660,396
2020-05-05,1000,848,509
2020-06-11,750,660,396
2020-02-03,180,152,91
2020-01-17,1000,872,523
2019-07-12,1000,808,485
2019-11-01,191,159,95
2020-02-20,1000,808,485
2020-05-16,1250,1050,630
2019-09-11,250,202,121
2020-06-20,1000,880,528
2019-07-05,750,615,369
2020-02-22,750,606,364
2019-06-02,1000,880,528
2020-02-28,750,624,374
2019-09-20,750,666,400
2020-06-20,1000,880,528
2020-03-17,750,645,387
2020-04-14,1000,872,523
2019-08-05,382,320,192
2020-06-19,750,654,392
2020-11-20,750,630,378
2019-06-30,1000,860,516
2020-06-22,1250,1075,645
2020-04-12,1000,860,516
2019-12-08,750,660,396
2020-04-11,1000,848,509
2020-03-14,1000,872,523
2020-05-20,750,630,378
2020-02-14,1000,888,533
2019-03-15,750,606,364
2019-07-31,1160,964,578
2019-03-17,1000,832,499
2020-06-05,750,636,382
2020-01-27,500,444,266
2020-03-04,1000,872,523
2020-01-11,500,440,264
2020-03-09,1000,840,504
2020-02-10,750,675,405
2020-01-17,750,654,392
2020-05-27,1000,840,504
2019-08-21,1280,1064,638
2020-06-07,1250,1110,666
2019-05-12,500,450,270
2019-10-20,750,645,387
2020-11-09,180,152,91
2020-03-30,750,624,374
2019-04-11,750,636,382
2020-11-04,1250,1025,615
2020-06-21,750,645,387
2020-07-09,1000,900,540
2020-09-27,1000,832,499
2020-01-03,1000,888,533
2020-12-05,750,645,387
