date,MonthName,CityName,WeekNumber,BedOccupancied
2020-02-11,Feb,Los Angeles,7,1
2019-04-28,Apr,Los Angeles,18,2200
2020-02-13,Feb,Los Angeles,7,0
2020-02-15,Feb,Los Angeles,7,0
2020-02-09,Feb,Los Angeles,7,0
2019-04-03,Apr,Los Angeles,14,800
2020-02-12,Feb,Los Angeles,7,0
2019-04-04,Apr,Los Angeles,14,0
2019-04-11,Apr,Los Angeles,15,0
2020-02-10,Feb,Los Angeles,7,0
2019-04-07,Apr,Los Angeles,15,1300
2019-04-21,Apr,Los Angeles,17,0
2020-02-14,Feb,Los Angeles,7,0
2019-08-24,Aug,Los Angeles,34,14567
2019-04-26,Apr,Los Angeles,17,0
2019-04-14,Apr,Los Angeles,16,1800
2019-08-04,Aug,Los Angeles,32,11785
2020-02-12,Feb,Chicago,7,0
2020-02-13,Feb,Chicago,7,0
2020-02-10,Feb,Chicago,7,0
2020-02-11,Feb,Chicago,7,0
2019-04-10,Apr,Los Angeles,15,0
2019-02-15,Feb,Los Angeles,7,6540
2019-04-27,Apr,Los Angeles,17,0
2020-02-15,Feb,Chicago,7,0
2019-10-21,Oct,Los Angeles,43,18976
2020-02-09,Feb,Chicago,7,0
2019-02-11,Feb,Los Angeles,7,6400
2020-02-14,Feb,Chicago,7,0
2019-08-26,Aug,Los Angeles,35,15245
2020-02-12,Feb,Honolulu,7,0
2019-04-05,Apr,Los Angeles,14,0
2020-02-10,Feb,Honolulu,7,0
2020-02-13,Feb,Honolulu,7,0
2020-02-15,Feb,Honolulu,7,0
2019-04-20,Apr,Los Angeles,16,0
2020-02-11,Feb,Honolulu,7,0
2019-04-01,Apr,Los Angeles,14,0
2019-04-25,Apr,Los Angeles,17,0
2019-04-13,Apr,Los Angeles,15,0
2020-02-12,Feb,Miami,7,0
2020-02-09,Feb,Honolulu,7,0
2020-02-14,Feb,Honolulu,7,0
2019-04-19,Apr,Los Angeles,16,0
2020-02-10,Feb,Miami,7,0
2019-08-07,Aug,Los Angeles,32,0
2019-04-22,Apr,Los Angeles,17,0
2020-02-13,Feb,Miami,7,0
2020-02-12,Feb,Anchorage,7,0
2019-04-02,Apr,Los Angeles,14,0
2020-02-10,Feb,Anchorage,7,0
2020-02-15,Feb,Miami,7,0
2019-04-18,Apr,Los Angeles,16,0
2020-02-11,Feb,Miami,7,0
2019-04-17,Apr,Los Angeles,16,0
2019-04-06,Apr,Los Angeles,14,0
2019-04-24,Apr,Los Angeles,17,0
2020-02-14,Feb,Miami,7,0
2019-08-05,Aug,Los Angeles,32,0
2020-02-09,Feb,Miami,7,0
2019-03-18,Mar,Los Angeles,12,20
2020-02-13,Feb,Anchorage,7,0
2020-02-15,Feb,Anchorage,7,0
2019-04-09,Apr,Los Angeles,15,0
2019-08-13,Aug,Los Angeles,33,13456
2020-02-11,Feb,Anchorage,7,0
