Sale Key,City Key,Customer Key,Bill To Customer Key,Stock Item Key,Invoice Date Key,Delivery Date Key,Salesperson Key,WWI Invoice ID,Description,Package,Quantity,Unit Price,Tax Rate,Total Excluding Tax,Tax Amount,Profit,Total Including Tax,Total Dry Items,Total Chiller Items,Lineage Key
1,58731,376,202,130,2015-07-16,2015-07-17,15,488,"""The Gu"" red shirt XML tag t-shirt (Black) XXS",Each,60,18.00,15.000,1080.00,162.00,660.00,1242.00,60,0,11
2,55406,0,0,1,2015-01-01,2015-01-02,12,265,Void fill 400 L bag (White) 400L,Each,30,50.00,15.000,1500.00,225.00,720.00,1725.00,30,0,11
3,41081,380,202,213,2015-09-16,2015-09-17,21,263,USB food flash drive - pizza slice,Each,4,32.00,15.000,128.00,19.20,80.00,147.20,4,0,11
4,69386,140,1,27,2015-01-01,2015-01-02,11,106,Black and orange glass with care despatch tape 48mmx75m,Each,24,3.70,15.000,88.80,13.32,50.40,102.12,24,0,11
5,74510,8,1,94,2015-04-13,2015-04-14,15,665,Plush shark slippers (Gray) S,Each,6,32.00,15.000,192.00,28.80,144.00,220.80,6,0,11
6,45901,0,0,170,2015-01-01,2015-01-02,19,245,Developer joke mug - old C developers never die (White),Each,8,13.00,15.000,104.00,15.60,68.00,119.60,8,0,11
7,65982,0,0,150,2015-01-10,2015-01-11,21,186,Ride on toy sedan car (Green) 1/12 scale,Each,7,230.00,15.000,1610.00,241.50,595.00,1851.50,7,0,11
8,44863,264,202,110,2015-03-14,2015-03-15,12,43,Superhero action jacket (Blue) S,Each,2,25.00,15.000,50.00,7.50,12.00,57.50,2,0,11
9,48409,387,202,167,2015-07-15,2015-07-16,12,382,IT joke mug - keyboard not found … press F1 to continue (Black),Each,8,13.00,15.000,104.00,15.60,68.00,119.60,8,0,11
10,42362,290,202,109,2015-07-03,2015-07-04,7,184,Superhero action jacket (Blue) M,Each,2,30.00,15.000,60.00,9.00,16.00,69.00,2,0,11
11,69146,224,202,105,2015-01-01,2015-01-02,15,42,Superhero action jacket (Blue) 3XL,Each,6,34.00,15.000,204.00,30.60,60.00,234.60,6,0,11
12,51708,0,0,161,2015-01-01,2015-01-02,21,126,RC toy sedan car with remote control (Red) 1/50 scale,Each,5,25.00,15.000,125.00,18.75,62.50,143.75,5,0,11
13,56738,389,202,11,2015-08-29,2015-08-30,12,384,Packing knife with metal insert blade (Yellow) 9mm,Each,5,1.89,15.000,9.45,1.42,4.95,10.87,5,0,11
14,65852,393,202,8,2015-01-01,2015-01-02,11,385,Large  replacement blades 18mm,Each,50,4.30,15.000,215.00,32.25,112.50,247.25,50,0,11
15,64360,68,1,13,2015-03-12,2015-03-13,12,107,Permanent marker blue 5mm nib (Blue) 5mm,Each,48,2.70,15.000,129.60,19.44,48.00,149.04,48,0,11
16,57335,350,202,5,2015-01-01,2015-01-02,19,486,Air cushion machine (Blue),Each,8,1899.00,15.000,15192.00,2278.80,6072.00,17470.80,8,0,11
68843957,42573,0,0,208,2016-11-09,2016-11-10,12,842,USB food flash drive - donut,Each,4,32.00,15.000,128.00,19.20,80.00,147.20,4,0,11
18,48409,387,202,2,2015-01-07,2015-01-08,11,383,Void fill 300 L bag (White) 300L,Each,10,37.50,15.000,375.00,56.25,195.00,431.25,10,0,11
19,73281,39,1,139,2015-02-17,2015-02-18,11,314,"""The Gu"" red shirt XML tag t-shirt (White) L",Each,60,18.00,15.000,1080.00,162.00,660.00,1242.00,60,0,11
20,39667,322,202,60,2015-01-01,2015-01-02,11,810,20 mm Double sided bubble wrap 20m,Each,90,33.00,15.000,2970.00,445.50,1620.00,3415.50,90,0,11
21,61956,137,1,107,2015-01-02,2015-01-03,21,335,Superhero action jacket (Blue) XL,Each,9,30.00,15.000,270.00,40.50,72.00,310.50,9,0,11
22,53360,0,0,39,2015-01-01,2015-01-02,15,403,Shipping carton (Brown) 356x229x229mm,Each,250,1.14,15.000,285.00,42.75,145.00,327.75,250,0,11
23,48988,49,1,117,2015-01-01,2015-01-02,8,127,Alien officer hoodie (Black) XXL,Each,6,35.00,15.000,210.00,31.50,108.00,241.50,6,0,11
24,71742,0,0,20,2015-01-01,2015-01-02,9,588,Black and yellow heavy despatch tape 48mmx100m,Each,168,4.10,15.000,688.80,103.32,285.60,792.12,168,0,11
25,57592,216,202,108,2015-11-28,2015-11-29,8,41,Superhero action jacket (Blue) L,Each,3,30.00,15.000,90.00,13.50,24.00,103.50,3,0,11
26,41238,288,202,190,2015-04-05,2015-04-06,4,82,Developer joke mug - Oct 31 = Dec 25 (White),Each,9,13.00,15.000,117.00,17.55,76.50,134.55,9,0,11
27,40971,0,0,124,2015-01-04,2015-01-05,4,210,"""The Gu"" red shirt XML tag t-shirt (Black) XXL",Each,108,18.00,15.000,1944.00,291.60,1134.00,2235.60,108,0,11
28,41568,0,0,110,2015-06-29,2015-06-30,9,187,Superhero action jacket (Blue) S,Each,1,25.00,15.000,25.00,3.75,6.00,28.75,1,0,11
29,38135,279,202,192,2015-06-28,2015-06-29,23,358,DBA joke mug - two types of DBAs (White),Each,8,13.00,15.000,104.00,15.60,68.00,119.60,8,0,11
30,65852,393,202,7,2015-07-03,2015-07-04,7,101,Air cushion film 200mmx100mm 325m,Each,5,87.00,15.000,435.00,65.25,260.00,500.25,5,0,11
31,41628,344,202,6,2015-08-21,2015-08-22,11,80,Air cushion film 200mmx200mm 325m,Each,10,90.00,15.000,900.00,135.00,360.00,1035.00,10,0,11
32,62500,298,202,169,2015-06-26,2015-06-27,15,995,Developer joke mug - old C developers never die (Black),Each,1,13.00,15.000,13.00,1.95,8.50,14.95,1,0,11
33,75213,0,0,136,2015-01-12,2015-01-13,8,104,"""The Gu"" red shirt XML tag t-shirt (White) 3XL",Each,108,18.00,15.000,1944.00,291.60,1080.00,2235.60,108,0,11
34,67391,356,202,100,2015-02-19,2015-02-20,7,208,Dinosaur battery-powered slippers (Green) L,Each,1,32.00,15.000,32.00,4.80,24.00,36.80,1,0,11
35,43830,268,202,149,2015-01-01,2015-01-02,15,44,Ride on toy sedan car (Yellow) 1/12 scale,Each,10,230.00,15.000,2300.00,345.00,850.00,2645.00,10,0,11
36,67024,0,0,178,2015-01-01,2015-01-02,12,663,Developer joke mug - understanding recursion requires understanding recursion (White),Each,9,13.00,15.000,117.00,17.55,76.50,134.55,9,0,11
37,69686,124,1,80,2015-01-01,2015-01-02,9,425,Furry animal socks (Pink) L,Pair,84,5.00,15.000,420.00,63.00,294.00,483.00,84,0,11
38,61143,141,1,70,2015-01-01,2015-01-02,12,336,Pack of 12 action figures (variety),Packet,4,16.00,15.000,64.00,9.60,42.00,73.60,4,0,11
39,43529,0,0,214,2015-02-19,2015-02-20,30,896,USB food flash drive - hot dog,Each,6,32.00,15.000,192.00,28.80,120.00,220.80,6,0,11
40,58830,257,202,100,2015-01-01,2015-01-02,12,81,Dinosaur battery-powered slippers (Green) L,Each,8,32.00,15.000,256.00,38.40,192.00,294.40,8,0,11
41,61111,38,1,59,2015-07-22,2015-07-23,7,313,20 mm Double sided bubble wrap 50m,Each,100,108.00,15.000,10800.00,1620.00,9200.00,12420.00,100,0,11
42,64723,0,0,14,2015-07-22,2015-07-23,19,105,Permanent marker black 5mm nib (Black) 5mm,Each,72,2.70,15.000,194.40,29.16,72.00,223.56,72,0,11
43,57498,77,1,162,2015-07-24,2015-07-25,4,9,RC toy sedan car with remote control (Black) 1/50 scale,Each,2,25.00,15.000,50.00,7.50,25.00,57.50,2,0,11
44,39209,0,0,188,2015-06-28,2015-06-29,4,8,Developer joke mug - that's a hardware problem (White),Each,9,13.00,15.000,117.00,17.55,76.50,134.55,9,0,11
45,54587,89,1,33,2015-01-01,2015-01-02,12,244,Express post box 5kg (White) 350x280x130mm,Each,75,0.95,15.000,71.25,10.69,37.50,81.94,75,0,11
