ID,UpdateOn,ValueAddedTax,TargetValueAddedTax,IncomeTax,TargetIncomeTax,CorporationTax,TargetCorporationTax,location,Industries
902,2020-10-01,5091255.57,5596022.36,28476522.7,31905611.77,773520.13,871260.53,Location-1,Retails
903,2020-10-01,5091360.76,5595825.05,28473745.22,31901598.79,773832.17,866640.14,Location-2,Retails
904,2020-10-01,5091414.94,5592309.42,28468732.18,31902156.86,772565.19,879174.84,Location-3,Retails
905,2020-10-01,5091677.47,5596268.57,28473419.52,31898483.5,773403.38,881582.17,Location-4,Retails
906,2020-10-01,5092370.64,5595122.18,28492921.94,31923342.87,809573.16,882750.63,Location-5,Retails
907,2020-10-01,2825537.14,3136117.88,28210609.77,31343913.93,797346.25,890272.91,Location-1,Manufacturing
908,2020-10-01,2825975.58,3147116.22,28210528.47,31342126.85,799359.8,886146.76,Location-2,Manufacturing
909,2020-10-01,2826553.16,3132852.58,28212377.98,31338487.41,809669.65,895789.07,Location-3,Manufacturing
910,2020-10-01,2826861.64,3135904.32,28205590.89,31337406.99,801866.11,886120.6,Location-4,Manufacturing
911,2020-10-01,2827408.03,3131754.58,28220647.54,31363282.59,821516.51,907594.37,Location-5,Manufacturing
912,2020-10-01,3083559.29,3367527.53,30806200.72,338688744.4,955319.1,1057667.24,Location-1,Finance
913,2020-10-01,3077868.01,3378451.14,30807909.01,338688046,962387.09,1060426.83,Location-2,Finance
914,2020-10-01,3070160.83,3366459.07,30815753.28,338681902.9,962325.66,1059281.95,Location-3,Finance
915,2020-10-01,3070089.46,3367230.09,30813565.93,338691632.1,962521.29,1055064.17,Location-4,Finance
916,2020-10-01,3069282.39,3372569.99,30818881.49,338697265.7,980611.3,1071423.15,Location-5,Finance
917,2020-10-02,5092567.03,5598346.49,28471960.22,31899704.93,774616.31,869275.94,Location-1,Retails
918,2020-10-02,5092671.39,5589211.72,28473788.17,31900923.04,774399.3,870880.32,Location-2,Retails
919,2020-10-02,5093511.13,5597622.16,28474974.5,31900390.95,773201.88,878214.59,Location-3,Retails
920,2020-10-02,5093621.34,5594403.32,28467615.85,31901323.74,785996.78,874861.19,Location-4,Retails
921,2020-10-02,5093623.38,5604794.22,28497070.41,31932144.94,792003.82,891813.29,Location-5,Retails
922,2020-10-02,2827778.64,3129903.19,28205922.27,31342057.27,797678.1,893206.96,Location-1,Manufacturing
923,2020-10-02,2828941.24,3141184.66,28203050.03,31344518.12,797343.17,885852.57,Location-2,Manufacturing
924,2020-10-02,2829179.94,3140280.45,28209865.48,31343304.16,800400.3,892339.27,Location-3,Manufacturing
925,2020-10-02,2829582.74,3135002.13,28215660.25,31336587.72,803010.71,894352.56,Location-4,Manufacturing
926,2020-10-02,2829830.25,3150409.2,28222145.82,31357793.75,826985.19,903402.65,Location-5,Manufacturing
927,2020-10-02,3069135.45,3367187.76,30805885.17,338687542.5,960236.42,1055932.57,Location-1,Finance
928,2020-10-02,3067164.55,3363793.73,30805213.93,338681676.3,960253.01,1051865.87,Location-2,Finance
929,2020-10-02,3061991.96,3377324.32,30812513.67,338690066.6,961067.41,1057623.19,Location-3,Finance
930,2020-10-02,3059935.54,3354102.9,30806991.29,338691912.6,961986.18,1061539,Location-4,Finance
931,2020-10-02,3059201.84,3356763.75,30828087.88,338698430.1,983151.26,1076637.73,Location-5,Finance
932,2020-10-03,5093635.48,5598949.1,28472017.13,31904999.88,771672.93,871663.75,Location-1,Retails
933,2020-10-03,5093651.92,5602987.42,28468561.8,31904267.38,771328.73,870820.37,Location-2,Retails
934,2020-10-03,5093733.94,5597570.72,28471195.61,31903421.15,782879.15,870663.39,Location-3,Retails
935,2020-10-03,5093888.35,5594635.81,28466716.93,31897016.92,778121.22,882295.09,Location-4,Retails
936,2020-10-03,5094088.18,5586935.75,28500776.15,31924626.43,793936.05,884832.94,Location-5,Retails
937,2020-10-03,2829986.25,3150047.84,28201443.38,31340151.46,795932.59,890024.37,Location-1,Manufacturing
938,2020-10-03,2831030.12,3142388.2,28207612.88,31340999.45,804247.3,884024.8,Location-2,Manufacturing
939,2020-10-03,2831144.07,3132605.39,28210127.38,31338316.92,802730.29,896538.57,Location-3,Manufacturing
940,2020-10-03,2831830.53,3138263.82,28216531.63,31337857.93,803228.46,886518.41,Location-4,Manufacturing
941,2020-10-03,2832893.64,3151649.66,28219899.51,31366033.93,822052.23,911936.83,Location-5,Manufacturing
942,2020-10-03,3057301.3,3350454.64,30801166.44,338682329.3,956634.45,1051363.5,Location-1,Finance
943,2020-10-03,3056819.96,3351889.49,30810344.27,338683547.7,958234.49,1056806.97,Location-2,Finance
944,2020-10-03,3056033.46,3359763.6,30812195.7,338683267,965786.89,1051078.84,Location-3,Finance
945,2020-10-03,3055627.97,3358582.46,30804252.92,338700603.2,970277.53,1061002.16,Location-4,Finance
946,2020-10-03,3055503.69,3355011.16,30827075.39,338705154.9,974829.39,1081512.53,Location-5,Finance
947,2020-10-04,5094102.22,5596755.46,28471303.21,31898638.32,772463.31,870521.83,Location-1,Retails
948,2020-10-04,5094148.68,5587963.2,28469407.89,31900517.35,771196.76,876976.56,Location-2,Retails
949,2020-10-04,5094222.49,5596690.17,28468820.93,31901264.69,773485.03,873107.62,Location-3,Retails
950,2020-10-04,5094395.8,5590538.42,28474987.73,31900983.44,776603.74,876856.79,Location-4,Retails
951,2020-10-04,5094523.87,5591171.69,28500519.37,31935320.86,805167.6,881484.5,Location-5,Retails
952,2020-10-04,2832983.24,3129379.71,28206361.78,31343364.83,794647.92,890029.29,Location-1,Manufacturing
953,2020-10-04,2834342.3,3149648.66,28204875.28,31341335.45,794909.56,894386.07,Location-2,Manufacturing
954,2020-10-04,2835011.96,3147925.33,28209351.84,31346728.08,804855.3,884475.31,Location-3,Manufacturing
955,2020-10-04,2836277.78,3154251.99,28210932.96,31337132.34,802334.5,900054.4,Location-4,Manufacturing
956,2020-10-04,2809529.87,3121913.79,28224241.54,31362554.68,826443.82,902432.41,Location-5,Manufacturing
957,2020-10-04,3055383.62,3353897.29,30810505.64,338680875.1,960498.3,1058333.85,Location-1,Finance
958,2020-10-04,3055357.07,3363663.98,30812236.57,338687817.6,964598.57,1059736.05,Location-2,Finance
959,2020-10-04,3055122.63,3349698.06,30810424.63,338681700.9,965450.89,1051775.77,Location-3,Finance
960,2020-10-04,3054078.06,3354675.85,30803044.83,338691893.1,960488.3,1063014.27,Location-4,Finance
961,2020-10-04,3054003.12,3353744.49,30826224.54,338706097.9,970771.34,1071831.16,Location-5,Finance
962,2020-10-05,5094528.6,5588950.06,28472075.72,31904504.84,775745.32,876452.6,Location-1,Retails
963,2020-10-05,5094685.31,5592544.94,28473347.66,31906227.65,781003.17,867470.18,Location-2,Retails
964,2020-10-05,5095051.25,5595158.14,28470181.22,31906554.33,773517.39,876421.82,Location-3,Retails
965,2020-10-05,5095156.07,5594050.48,28482017.73,31900400.55,777413.83,879143,Location-4,Retails
966,2020-10-05,5095324.08,5597873.27,28487112.82,31922246.06,799381.86,886996.52,Location-5,Retails
967,2020-10-05,2809692.08,3115129.63,28209692.81,31336399.11,795846.75,890478.79,Location-1,Manufacturing
968,2020-10-05,2809706.07,3131107.63,28211547.82,31342301.37,805562.73,888603.25,Location-2,Manufacturing
969,2020-10-05,2809862.4,3129206.96,28209398.5,31347667.88,801073.81,884688.32,Location-3,Manufacturing
970,2020-10-05,2809945.96,3116610.42,28216317.27,31344539.53,795920.41,902404.86,Location-4,Manufacturing
971,2020-10-05,2810170.49,3120588.85,28218152.1,31357375.63,825476.69,907043.12,Location-5,Manufacturing
972,2020-10-05,3053679.07,3355844.66,30802002.99,338686144.7,963996.49,1053737.26,Location-1,Finance
973,2020-10-05,3053417.37,3359901.64,30805804.49,338686656.5,960557.89,1054274.01,Location-2,Finance
974,2020-10-05,3053304.93,3354972.05,30808101.44,338684740.7,957545.59,1049794.99,Location-3,Finance
975,2020-10-05,3052916.53,3359773.94,30805450.83,338686153.5,958375.07,1063370.12,Location-4,Finance
976,2020-10-05,3052160.58,3358886.11,30836869.03,338710591.9,980235.98,1077447.85,Location-5,Finance
977,2020-10-06,5095560.29,5586483.39,28469262.3,31906591.68,778236.92,877078.67,Location-1,Retails
978,2020-10-06,5095708.98,5587647.65,28468647.81,31898741.38,771170.32,873498.59,Location-2,Retails
979,2020-10-06,5095715.17,5589995.91,28480001.36,31897260.55,775962.25,867809.18,Location-3,Retails
980,2020-10-06,5095867.33,5590531.27,28473695.42,31915089.32,776757.73,882093.23,Location-4,Retails
981,2020-10-06,5095946.53,5595000.95,28492810.88,31915973.84,800652.02,886304.11,Location-5,Retails
982,2020-10-06,2810231.4,3115996.23,28204425.22,31342792.48,800722.73,886694.43,Location-1,Manufacturing
983,2020-10-06,2810280.17,3126616.34,28210408.59,31346411.93,795949.38,895162.47,Location-2,Manufacturing
984,2020-10-06,2810358.53,3125620.33,28211963.37,31345530.84,801181.83,896214.68,Location-3,Manufacturing
985,2020-10-06,2810394.03,3129803.78,28210892.69,31348184.95,811657.55,890279.66,Location-4,Manufacturing
986,2020-10-06,2810485.24,3122681.41,28226950.34,31350479.79,815938.85,902703.08,Location-5,Manufacturing
987,2020-10-06,3051425.45,3349621.9,30807290.01,338684003.2,961929,1058158.67,Location-1,Finance
988,2020-10-06,3051161.86,3361189.39,30807513.81,338687697.5,956537.76,1052912.8,Location-2,Finance
989,2020-10-06,3051122.46,3358066.99,30801761.23,338690001.7,962421.25,1060719.91,Location-3,Finance
990,2020-10-06,3050978.86,3359356.9,30802799.27,338693011.1,955567.97,1065203.06,Location-4,Finance
991,2020-10-06,3049555.3,3352405.21,30839348.97,338696042.9,984365.35,1070581.69,Location-5,Finance
992,2020-10-07,5096011.44,5593382.43,28475243.39,31902243.59,776471.22,873956.7,Location-1,Retails
993,2020-10-07,5096305.14,5600576.08,28475306.15,31903484.79,770776.54,874872.74,Location-2,Retails
994,2020-10-07,5096463.72,5595788.75,28475139.08,31908155.01,779833.35,873639.39,Location-3,Retails
995,2020-10-07,5096469.2,5599500.32,28467740.85,31903734.35,776800.46,877214.47,Location-4,Retails
996,2020-10-07,5096560.96,5596761.89,28493942.5,31913976.67,797062.33,886160.83,Location-5,Retails
997,2020-10-07,2810594.87,3117857.85,28205669.65,31337875.14,803505.64,887313.53,Location-1,Manufacturing
998,2020-10-07,2810619.35,3120005.4,28210209.8,31336624.04,803872.51,892823.15,Location-2,Manufacturing
999,2020-10-07,2810682.94,3117808.46,28210024.59,31339605.94,804098.14,887261.94,Location-3,Manufacturing
1000,2020-10-07,2810816.32,3123155.43,28209363.85,31347366.91,797276.1,893445.29,Location-4,Manufacturing
1001,2020-10-07,2810865.08,3120331.4,28224636.97,31363744.77,820281.1,902657.81,Location-5,Manufacturing
1002,2020-10-07,3049165.85,3351043.35,30806076.78,338686693.9,957392.35,1052081.19,Location-1,Finance
1003,2020-10-07,3048716.43,3350854.43,30811904.38,338684901.4,956726.41,1051270.18,Location-2,Finance
1004,2020-10-07,3048445.01,3356131.99,30809030.25,338683551.6,961086.02,1056398.8,Location-3,Finance
1005,2020-10-07,3048172.06,3352434.61,30813337.57,338699952.1,956585.51,1069365.65,Location-4,Finance
1006,2020-10-07,3048157.48,3350181.65,30817937.91,338699971.7,996013.96,1073045.38,Location-5,Finance
1007,2020-10-08,5096735.63,5593880.48,28471854.3,31902105.2,777229.58,874773.44,Location-1,Retails
1008,2020-10-08,5096779.46,5591686.95,28477403.68,31902792.01,770925.49,870417.62,Location-2,Retails
1009,2020-10-08,5097003.4,5588523.83,28477334.74,31906691.72,770486.16,869998.99,Location-3,Retails
1010,2020-10-08,5097087.16,5599719.48,28475940.86,31897247.89,770469.7,872108.03,Location-4,Retails
1011,2020-10-08,5097200.89,5591480,28480235.74,31922709.22,808517.5,895379.67,Location-5,Retails
1012,2020-10-08,2810969.14,3118203.96,28205387.6,31345279.18,805743.86,886354.04,Location-1,Manufacturing
1013,2020-10-08,2811172.51,3122287.56,28210359.39,31341945.24,796389.75,895426.28,Location-2,Manufacturing
1014,2020-10-08,2811243.98,3116487.89,28207963.31,31344965.58,803014.95,891770.09,Location-3,Manufacturing
1015,2020-10-08,2811422.78,3121339.45,28204835.7,31339250.77,807676.98,884812.29,Location-4,Manufacturing
1016,2020-10-08,2811433.01,3121696.21,28237038.08,31362579.15,818113.89,911796.12,Location-5,Manufacturing
1017,2020-10-08,3047819.84,3363284.42,30801151.63,338688516.4,959218.02,1058999.85,Location-1,Finance
1018,2020-10-08,3047730.21,3356970.97,30802340.88,338684353.9,956442.14,1051049.22,Location-2,Finance
1019,2020-10-08,3047410.27,3360038.97,30815552.19,338683170.6,965981.49,1062947.79,Location-3,Finance
1020,2020-10-08,3047386.8,3351077.33,30813242.06,338687404.6,958048.36,1058261.89,Location-4,Finance
1021,2020-10-08,3047293.68,3357482.63,30822850.89,338709106.3,990023.22,1072768.08,Location-5,Finance
1022,2020-10-09,5097276.27,5591307.71,28474071.7,31904079.1,775267.1,877123.2,Location-1,Retails
1023,2020-10-09,5097434.03,5595023.55,28474666.07,31904041.89,778333.47,876143.08,Location-2,Retails
1024,2020-10-09,5097440.93,5590295.69,28468847.16,31903782.85,778257.38,868871.96,Location-3,Retails
1025,2020-10-09,5097546.34,5587706.84,28470251.82,31898406.99,782062.1,872576.6,Location-4,Retails
1026,2020-10-09,5097927.53,5593369.6,28497017.72,31925240.17,783163.07,891611.34,Location-5,Retails
