ID,ReportingPeriod,IncomeTax,IncomeTaxTarget,ValueAddedTax,ValueAddedTaxTarget,CorporationTax,CorporationTaxTarget,location,Industries
902,10/1/2020,28476522.7,31905611.77,5456763,5596022.36,773520.13,871260.53,Location-1,Retails
997,10/7/2020,28205669.65,31337875.14,3029699,3117857.85,803505.64,887313.53,Location-1,Manufacturing
1279,10/26/2020,28475601.74,31908687.92,5109508.62,5598618.53,780815.36,877601.59,Location-3,Retails
1185,10/19/2020,30809212.34,338688540.4,2711997,3050887.44,969143.8,1053968.16,Location-4,Finance
1091,10/13/2020,28221535.81,31352137.75,2550002,3135778.85,814016.93,915726.68,Location-5,Manufacturing
903,10/1/2020,28473745.22,31901598.79,5281594,5595825.05,773832.17,866640.14,Location-2,Retails
998,10/7/2020,28210209.8,31336624.04,2920268,3120005.4,803872.51,892823.15,Location-2,Manufacturing
1280,10/26/2020,28471407.04,31901419.08,4947230,5597819.06,785886.79,870252.54,Location-4,Retails
1186,10/19/2020,30827786.88,338702957.6,2441272,3050193.82,972374.74,1070622.48,Location-5,Finance
1092,10/13/2020,3354347.83,338687080,3286546,3374349.4,964206.41,1057609.37,Location-1,Finance
904,10/1/2020,28468732.18,31902156.86,5091414.94,5592309.42,772565.19,879174.84,Location-3,Retails
999,10/7/2020,28210024.59,31339605.94,2810682.94,3117808.46,804098.14,887261.94,Location-3,Manufacturing
1281,10/26/2020,28491900.11,31924768.1,4548464,5606575.85,788199.98,890982.37,Location-5,Retails
1187,10/20/2020,28468346.08,31898301.75,5455897,5594986.54,781065.01,871987.58,Location-1,Retails
1093,10/13/2020,3363241.16,338680684.8,3207037,3381237.13,956997.11,1058303.08,Location-2,Finance
905,10/1/2020,28473419.52,31898483.5,4995503,5596268.57,773403.38,881582.17,Location-4,Retails
1000,10/7/2020,28209363.85,31347366.91,2771962,3123155.43,797276.1,893445.29,Location-4,Manufacturing
1282,10/26/2020,28211791.13,31343128.92,3025895,3116488.66,802612.41,893610.71,Location-1,Manufacturing
1188,10/20/2020,28468888.8,31903847.65,5235564,5609741.98,778087.66,868065.45,Location-2,Retails
1094,10/13/2020,3351245.24,338682699.4,3071735.56,3371448.27,960797.28,1050390.34,Location-3,Finance
906,10/1/2020,28492921.94,31923342.87,3721900,5595122.18,809573.16,882750.63,Location-5,Retails
1001,10/7/2020,28224636.97,31363744.77,2531317,3120331.4,820281.1,902657.81,Location-5,Manufacturing
1283,10/26/2020,28212499.89,31339908.37,2940149,3120705.33,798774.39,894354.15,Location-2,Manufacturing
1189,10/20/2020,28469118.16,31898376.55,5103692.05,5594818.67,772551.56,871463.52,Location-3,Retails
1095,10/13/2020,3363534,338700045.3,3017814,3378334.34,965739.25,1062235.7,Location-4,Finance
907,10/1/2020,28210609.77,31343913.93,3049893,3136117.88,797346.25,890272.91,Location-1,Manufacturing
1002,10/7/2020,30806076.78,338686693.9,3270721,3351043.35,957392.35,1052081.19,Location-1,Finance
1284,10/26/2020,28207764.33,31340485.12,2807416.15,3124008.37,805739.47,894054.15,Location-3,Manufacturing
1190,10/20/2020,28466260.62,31916843.56,5002536,5594422.56,778467.12,877526.15,Location-4,Retails
1096,10/13/2020,3351837.17,338702576,2786258,3379265.84,974188.17,1070795.93,Location-5,Finance
908,10/1/2020,28210528.47,31342126.85,2986297,3147116.22,799359.8,886146.76,Location-2,Manufacturing
1003,10/7/2020,30811904.38,338684901.4,3174657,3350854.43,956726.41,1051270.18,Location-2,Finance
1285,10/26/2020,28212947.82,31346830.82,2769597,3121011.92,795137.13,896615.39,Location-4,Manufacturing
1191,10/20/2020,28507884.03,31919687.9,4590980,5593514.87,799925.08,899356.58,Location-5,Retails
1097,10/14/2020,28474996.64,31901717.99,5477748,5599695.81,776001.86,873052.42,Location-1,Retails
909,10/1/2020,28212377.98,31338487.41,2826553.16,3132852.58,809669.65,895789.07,Location-3,Manufacturing
1004,10/7/2020,30809030.25,338683551.6,3048445.01,3356131.99,961086.02,1056398.8,Location-3,Finance
1286,10/26/2020,28226501.69,31368693.14,2522251,3119221.95,819844.66,899956.24,Location-5,Manufacturing
1192,10/20/2020,28210206.86,31337823.81,3062312,3127947.34,800970.42,884576.26,Location-1,Manufacturing
1098,10/14/2020,28466476.52,31905672.04,5264156,5593360.11,780706.64,869718.91,Location-2,Retails
910,10/1/2020,28205590.89,31337406.99,2792594,3135904.32,801866.11,886120.6,Location-4,Manufacturing
1005,10/7/2020,30813337.57,338699952.1,3003834,3352434.61,956585.51,1069365.65,Location-4,Finance
1287,10/26/2020,30806301.83,338683191,3267336,3355425.7,960050.36,1060901.16,Location-1,Finance
1193,10/20/2020,28210204.14,31345560.68,2944672,3116269.58,804406.32,889811.38,Location-2,Manufacturing
1099,10/14/2020,28466128.25,31901700.78,5099651.27,5593814.71,775938.2,872031.58,Location-3,Retails
911,10/1/2020,28220647.54,31363282.59,2533231,3131754.58,821516.51,907594.37,Location-5,Manufacturing
1006,10/7/2020,30817937.91,338699971.7,2745000,3350181.65,996013.96,1073045.38,Location-5,Finance
1288,10/26/2020,30811197.68,338690167.4,3119142,3352086.22,969668.94,1052282.49,Location-2,Finance
1194,10/20/2020,28204293.31,31343792.75,2803959.79,3121452.34,806486.63,884379.62,Location-3,Manufacturing
1100,10/14/2020,28478833.77,31906940.34,4931749,5599937.18,772775.61,870067.58,Location-4,Retails
912,10/1/2020,30806200.72,338688744.4,3299330,3367527.53,955319.1,1057667.24,Location-1,Finance
1007,10/8/2020,28471854.3,31902105.2,5465975,5593880.48,777229.58,874773.44,Location-1,Retails
1289,10/26/2020,30805475.71,338686258.6,3051966.39,3358858.52,965416,1052120.63,Location-3,Finance
1195,10/20/2020,28209545.6,31346157.46,2757357,3116268.26,799361.3,889200.8,Location-4,Manufacturing
1101,10/14/2020,28491640.43,31913700.94,4478552,5592590.76,794624.79,902439.13,Location-5,Retails
913,10/1/2020,30807909.01,338688046,3179892,3378451.14,962387.09,1060426.83,Location-2,Finance
1008,10/8/2020,28477403.68,31902792.01,5259827,5591686.95,770925.49,870417.62,Location-2,Retails
1290,10/26/2020,30817598.03,338689388.6,2966285,3358554.57,963188.43,1052704.27,Location-4,Finance
1196,10/20/2020,28222795.09,31359569.73,2575763,3117994.26,822255.96,920653.95,Location-5,Manufacturing
1102,10/14/2020,28211719.75,31343922.03,3047057,3133174.98,805746.11,892016.94,Location-1,Manufacturing
914,10/1/2020,30815753.28,338681902.9,3070160.83,3366459.07,962325.66,1059281.95,Location-3,Finance
1009,10/8/2020,28477334.74,31906691.72,5097003.4,5588523.83,770486.16,869998.99,Location-3,Retails
1291,10/26/2020,30818470.76,338706556.7,2759575,3350853.79,984861.92,1092469.69,Location-5,Finance
1197,10/20/2020,30803134.02,338689383.9,2977157,3050091.24,957257.72,1056714.9,Location-1,Finance
1103,10/14/2020,28211428.1,31335482.69,2951718,3144658.36,800580.8,891686.92,Location-2,Manufacturing
915,10/1/2020,30813565.93,338691632.1,3001872,3367230.09,962521.29,1055064.17,Location-4,Finance
1010,10/8/2020,28475940.86,31897247.89,5035957,5599719.48,770469.7,872108.03,Location-4,Retails
1292,10/27/2020,28477715.99,31905571.38,5504804,5631768.77,774436.95,875747.57,Location-1,Retails
1198,10/20/2020,30810523.7,338689312.2,2863696,3049634.32,965485.01,1059141.54,Location-2,Finance
1104,10/14/2020,28211132.78,31342821.35,2821045.4,3148032.08,805722.09,890840.49,Location-3,Manufacturing
916,10/1/2020,30818881.49,338697265.7,2766181,3372569.99,980611.3,1071423.15,Location-5,Finance
1011,10/8/2020,28480235.74,31922709.22,4485998,5591480,808517.5,895379.67,Location-5,Retails
1293,10/27/2020,28471169.27,31908471.03,5248985,5611764.8,778294.07,877488.6,Location-2,Retails
1199,10/20/2020,30808626.38,338688209.2,2755410.98,3049607.17,967229.6,1052639.04,Location-3,Finance
1105,10/14/2020,28205734.48,31343446.28,2790353,3125286.39,797756.21,886266.09,Location-4,Manufacturing
917,10/2/2020,28471960.22,31899704.93,5453777,5598346.49,774616.31,869275.94,Location-1,Retails
1012,10/8/2020,28205387.6,31345279.18,3025443,3118203.96,805743.86,886354.04,Location-1,Manufacturing
1294,10/27/2020,28479389.2,31899433.18,5111088.38,5612276.98,777012.07,873194.15,Location-3,Retails
1200,10/20/2020,30804724.9,338690629.7,2699156,3049552.47,967145.66,1056198.68,Location-4,Finance
1106,10/14/2020,28222949.6,31359883.79,2529557,3143618.44,824144.99,906910.17,Location-5,Manufacturing
918,10/2/2020,28473788.17,31900923.04,5275630,5589211.72,774399.3,870880.32,Location-2,Retails
1013,10/8/2020,28210359.39,31341945.24,2954056,3122287.56,796389.75,895426.28,Location-2,Manufacturing
1295,10/27/2020,28481095.6,31907781.51,4989486,5603686.15,780396.5,880768.08,Location-4,Retails
1201,10/20/2020,30829413.7,338691651.4,2493899,3049158.34,973299.9,1080447.99,Location-5,Finance
1107,10/14/2020,3366166.34,338681414.3,3266851,3363424.01,956135.82,1052506.28,Location-1,Finance
919,10/2/2020,28474974.5,31900390.95,5093511.13,5597622.16,773201.88,878214.59,Location-3,Retails
1014,10/8/2020,28207963.31,31344965.58,2811243.98,3116487.89,803014.95,891770.09,Location-3,Manufacturing
1296,10/27/2020,28490009.41,31919213.42,4540209,5610665.51,802819.04,886352.61,Location-5,Retails
1202,10/21/2020,28468479.47,31899960.59,5462288,5591707.7,779712.78,868840.15,Location-1,Retails
1108,10/14/2020,3348591.56,338689903.4,3173109,3356173.84,961770.53,1060356.12,Location-2,Finance
920,10/2/2020,28467615.85,31901323.74,5026339,5594403.32,785996.78,874861.19,Location-4,Retails
1015,10/8/2020,28204835.7,31339250.77,2757871,3121339.45,807676.98,884812.29,Location-4,Manufacturing
1297,10/27/2020,28212327.89,31341409.23,3038541,3122250.42,798418.88,898218.96,Location-1,Manufacturing
1203,10/21/2020,28474890.61,31898870.78,5261693,5596873.91,780643.8,868228.65,Location-2,Retails
1109,10/14/2020,3355362.33,338682157.8,3062874.12,3364965.65,966360.18,1056343.73,Location-3,Finance
921,10/2/2020,28497070.41,31932144.94,3816911,5604794.22,792003.82,891813.29,Location-5,Retails
1016,10/8/2020,28237038.08,31362579.15,2558589,3121696.21,818113.89,911796.12,Location-5,Manufacturing
1298,10/27/2020,28209744.46,31339456.64,2907653,3115893.37,799639.25,897719.5,Location-2,Manufacturing
1204,10/21/2020,28473034.35,31910430.41,5103956.23,5608029.77,776787.88,877845.89,Location-3,Retails
1110,10/14/2020,3357126.32,338679120.1,2970629,3362804.33,959578.74,1065594.89,Location-4,Finance
922,10/2/2020,28205922.27,31342057.27,3049748,3129903.19,797678.1,893206.96,Location-1,Manufacturing
1017,10/8/2020,30801151.63,338688516.4,3293599,3363284.42,959218.02,1058999.85,Location-1,Finance
1299,10/27/2020,28208207.36,31336086.99,2807665.44,3122150.69,795943.57,892958.32,Location-3,Manufacturing
1205,10/21/2020,28480887.68,31896386.67,4929664,5587899.65,779307.38,876657.91,Location-4,Retails
1111,10/14/2020,3352982.15,338712475.2,2774964,3365430.02,978668.88,1068412.85,Location-5,Finance
923,10/2/2020,28203050.03,31344518.12,2957123,3141184.66,797343.17,885852.57,Location-2,Manufacturing
1018,10/8/2020,30802340.88,338684353.9,3162018,3356970.97,956442.14,1051049.22,Location-2,Finance
1300,10/27/2020,28209684.2,31352320.11,2807378,3127183.66,800606.66,902035.41,Location-4,Manufacturing
1206,10/21/2020,28489647.72,31925670.75,4518127,5596491.17,794479.08,895233.25,Location-5,Retails
1112,10/15/2020,28469310.54,31900309.05,5432385,5588496.08,778888.93,870026.32,Location-1,Retails
924,10/2/2020,28209865.48,31343304.16,2829179.94,3140280.45,800400.3,892339.27,Location-3,Manufacturing
1019,10/8/2020,30815552.19,338683170.6,3047410.27,3360038.97,965981.49,1062947.79,Location-3,Finance
1301,10/27/2020,28231082.3,31360939.58,2571071,3127530.73,829459.29,902685.51,Location-5,Manufacturing
1207,10/21/2020,28210106.86,31337159.99,3044863,3116551.53,798531.84,884111.45,Location-1,Manufacturing
1113,10/15/2020,28479411.33,31902653.64,5266398,5599409.9,772750.47,869872.99,Location-2,Retails
925,10/2/2020,28215660.25,31336587.72,2758872,3135002.13,803010.71,894352.56,Location-4,Manufacturing
1020,10/8/2020,30813242.06,338687404.6,2951273,3351077.33,958048.36,1058261.89,Location-4,Finance
1302,10/27/2020,30802864.6,338686158.4,3263092,3351421.25,963824,1058706.03,Location-1,Finance
