Region,Country,Campaign_Name,Revenue,Revenue_Target,City,State
South East,US,Fall into Winter,"$5,972.00 ","$10,692.00 ",Miami,Florida
Far West,US,EnjoyTheMoment; BeUnique; TailoredForYou,"$10,246.00 ","$18,683.00 ",San Diego,California
Far West,US,EnjoyTheMoment; BeUnique; TailoredForYou,"$14,290.00 ","$10,487.00 ",San Diego,California
Far West,US,EnjoyTheMoment; BeUnique; TailoredForYou,"$14,764.00 ","$5,876.00 ",San Diego,California
Far West,US,EnjoyTheMoment; BeUnique; TailoredForYou,"$11,059.00 ","$19,059.00 ",San Diego,California
Far West,US,EnjoyTheMoment; BeUnique; TailoredForYou,"$15,670.00 ","$5,412.00 ",San Diego,California
Far West,US,EnjoyTheMoment; BeUnique; TailoredForYou,"$14,992.00 ","$15,699.00 ",San Diego,California
Far West,US,EnjoyTheMoment; BeUnique; TailoredForYou,"$7,264.00 ","$9,868.00 ",San Diego,California
South East,US,Spring into Summer,"$10,182.00 ","$13,630.00 ",Miami,Florida
Far West,US,EnjoyTheMoment; BeUnique; TailoredForYou,"$14,764.00 ","$5,876.00 ",San Diego,California
South East,US,Fall into Winter,"$7,264.00 ","$9,868.00 ",Miami,Florida
Far West,US,EnjoyTheMoment; BeUnique; TailoredForYou,"$11,703.00 ","$9,822.00 ",San Diego,California
Far West,US,EnjoyTheMoment; BeUnique; TailoredForYou,"$9,761.00 ","$13,831.00 ",San Diego,California
Far West,US,EnjoyTheMoment; BeUnique; TailoredForYou,"$21,637.00 ","$5,666.00 ",San Diego,California
Far West,US,EnjoyTheMoment; BeUnique; TailoredForYou,"$6,497.00 ","$6,147.00 ",San Diego,California
Far West,US,EnjoyTheMoment; BeUnique; TailoredForYou,"$16,523.00 ","$17,741.00 ",San Diego,California
Far West,US,EnjoyTheMoment; BeUnique; TailoredForYou,"$14,328.00 ","$15,577.00 ",San Diego,California
Far West,US,EnjoyTheMoment; BeUnique; TailoredForYou,"$17,627.00 ","$11,422.00 ",San Diego,California
Far West,US,EnjoyTheMoment; BeUnique; TailoredForYou,"$9,112.00 ","$11,930.00 ",San Diego,California
South East,US,Tailored for You,"$7,001.00 ","$10,528.00 ",Miami,Florida
South East,US,Get Sporty,"$5,496.00 ","$15,301.00 ",Miami,Florida
Far West,US,EnjoyTheMoment; BeUnique; TailoredForYou,"$6,593.00 ","$17,096.00 ",San Diego,California
Far West,US,EnjoyTheMoment; BeUnique; TailoredForYou,"$9,935.00 ","$15,232.00 ",San Diego,California
Far West,US,EnjoyTheMoment; BeUnique; TailoredForYou,"$13,083.00 ","$11,336.00 ",San Diego,California
Far West,US,EnjoyTheMoment; BeUnique; TailoredForYou,"$16,523.00 ","$17,741.00 ",San Diego,California
South East,US,Be Unique,"$11,564.00 ","$19,306.00 ",Miami,Florida
