Designation,PayerName,CampaignName,Region,State,City,Revenue,RevenueTarget
MarketingOfficerMiami,Humana,Thanks Giving,South East,Florida,Miami,"$17,637.00","$6,876.00 "
MarketingOfficerSanDiego,Cigna Health,Hope,Far West,California,San Diego,"$5,117.00 ","$9,305.00 "
MarketingOfficerSanDiego,Cigna Health,For Your Life,Far West,California,San Diego,"$6,580.00 ","$5,490.00 "
MarketingOfficerMiami,Medicare,Patient Stories,South East,Florida,Miami,"$13,349.00","$16,936.00"
MarketingOfficerMiami,Medicaid,Hit the track,South East,Florida,Miami,"$16,611.00","$7,917.00 "
MarketingOfficerSanDiego,NO_INSURANCE,For Your Life,Far West,California,San Diego,"$15,521.00","$13,935.00"
MarketingOfficerMiami,NO_INSURANCE,Hope,South East,Florida,Miami,"$12,711.00","$8,946.00 "
MarketingOfficerSanDiego,Dual Eligible,Patient Stories,Far West,California,San Diego,"$10,027.00","$10,643.00"
MarketingOfficerSanDiego,Dual Eligible,Patient Stories,Far West,California,San Diego,"$5,889.00 ","$9,819.00 "
MarketingOfficerSanDiego,Dual Eligible,For Your Life,Far West,California,San Diego,"$6,278.00 ","$11,478.00"
MarketingOfficerSanDiego,Medicare,Care Like Family,Far West,California,San Diego,"$5,434.00 ","$10,709.00"
MarketingOfficerMiami,Medicaid,Patient Stories,South East,Florida,Miami,"$15,142.00","$7,147.00 "
MarketingOfficerMiami,Anthem,You Have Us,South East,Florida,Miami,"$14,691.00","$14,601.00"
MarketingOfficerMiami,Humana,Hit the track,South East,Florida,Miami,"$5,117.00 ","$8,713.00 "
MarketingOfficerMiami,NO_INSURANCE,Patient Stories,South East,Florida,Miami,"$12,974.00","$19,462.00"
MarketingOfficerMiami,Medicare,Hope,South East,Florida,Miami,"$14,865.00","$15,960.00"
MarketingOfficerSanDiego,Humana,For Your Life,Far West,California,San Diego,"$11,245.00","$18,041.00"
MarketingOfficerSanDiego,UnitedHealthcare,Care Like Family,Far West,California,San Diego,"$5,434.00 ","$10,709.00"
MarketingOfficerSanDiego,Blue Cross Blue Shield,Thanks Giving,Far West,California,San Diego,"$11,703.00","$9,822.00 "
MarketingOfficerMiami,Dual Eligible,For Your Life,South East,Florida,Miami,"$12,488.00","$18,299.00"
MarketingOfficerMiami,Medicaid,Thanks Giving,South East,Florida,Miami,"$17,637.00","$6,876.00 "
MarketingOfficerSanDiego,UnitedHealthcare,Hope,Far West,California,San Diego,"$5,117.00 ","$9,305.00 "
MarketingOfficerMiami,Humana,For Your Life,South East,Florida,Miami,"$6,883.00 ","$10,341.00"
MarketingOfficerMiami,Anthem,Patient Stories,South East,Florida,Miami,"$13,349.00","$16,936.00"
MarketingOfficerMiami,Medicaid,For Your Life,South East,Florida,Miami,"$6,883.00 ","$10,341.00"
MarketingOfficerMiami,Humana,For Your Life,South East,Florida,Miami,"$13,873.00","$10,617.00"
MarketingOfficerMiami,Medicare,Hope,South East,Florida,Miami,"$12,929.00","$9,077.00 "
MarketingOfficerSanDiego,Medicaid,Patient Stories,Far West,California,San Diego,"$10,027.00","$10,643.00"
MarketingOfficerMiami,Humana,Thanks Giving,South East,Florida,Miami,"$5,867.00 ","$19,049.00"
MarketingOfficerSanDiego,Medicaid,For Your Life,Far West,California,San Diego,"$6,580.00 ","$5,490.00 "
MarketingOfficerSanDiego,Medicare,Care Like Family,Far West,California,San Diego,"$6,497.00 ","$6,147.00 "
MarketingOfficerMiami,Cigna Health,Patient Stories,South East,Florida,Miami,"$5,972.00 ","$10,692.00"
MarketingOfficerMiami,NO_INSURANCE,You Have Us,South East,Florida,Miami,"$8,284.00 ","$9,840.00 "
MarketingOfficerMiami,NO_INSURANCE,Hope,South East,Florida,Miami,"$16,810.00","$10,178.00"
MarketingOfficerMiami,Aetna,Patient Stories,South East,Florida,Miami,"$12,974.00","$19,462.00"
MarketingOfficerMiami,Anthem,Hope,South East,Florida,Miami,"$16,386.00","$9,989.00 "
MarketingOfficerMiami,NO_INSURANCE,For Your Life,South East,Florida,Miami,"$10,246.00","$18,683.00"
MarketingOfficerMiami,Humana,Thanks Giving,South East,Florida,Miami,"$5,867.00 ","$19,049.00"
MarketingOfficerSanDiego,UnitedHealthcare,Thanks Giving,Far West,California,San Diego,"$11,703.00","$9,822.00 "
MarketingOfficerSanDiego,Aetna,Thanks Giving,Far West,California,San Diego,"$13,681.00","$13,003.00"
MarketingOfficerMiami,Aetna,Thanks Giving,South East,Florida,Miami,"$5,766.00 ","$17,620.00"
MarketingOfficerSanDiego,Blue Cross Blue Shield,Hope,Far West,California,San Diego,"$5,117.00 ","$9,305.00 "
MarketingOfficerSanDiego,Anthem,For Your Life,Far West,California,San Diego,"$15,521.00","$13,935.00"
MarketingOfficerMiami,Blue Cross Blue Shield,Patient Stories,South East,Florida,Miami,"$10,269.00","$11,191.00"
MarketingOfficerMiami,Medicaid,Hit the track,South East,Florida,Miami,"$5,117.00 ","$8,713.00 "
MarketingOfficerSanDiego,Medicare,For Your Life,Far West,California,San Diego,"$15,521.00","$13,935.00"
MarketingOfficerMiami,Anthem,Hope,South East,Florida,Miami,"$12,929.00","$9,077.00 "
MarketingOfficerSanDiego,Anthem,Care Like Family,Far West,California,San Diego,"$6,497.00 ","$6,147.00 "
MarketingOfficerSanDiego,Medicare,Patient Stories,Far West,California,San Diego,"$5,889.00 ","$9,819.00 "
MarketingOfficerSanDiego,Medicaid,For Your Life,Far West,California,San Diego,"$15,521.00","$13,935.00"
MarketingOfficerSanDiego,Anthem,Care Like Family,Far West,California,San Diego,"$6,497.00 ","$6,147.00 "
MarketingOfficerMiami,Blue Cross Blue Shield,Patient Stories,South East,Florida,Miami,"$13,349.00","$16,936.00"
MarketingOfficerMiami,Dual Eligible,You Have Us,South East,Florida,Miami,"$8,284.00 ","$9,840.00 "
MarketingOfficerMiami,Cigna Health,For Your Life,South East,Florida,Miami,"$13,873.00","$10,617.00"
MarketingOfficerMiami,Dual Eligible,Patient Stories,South East,Florida,Miami,"$12,974.00","$19,462.00"
MarketingOfficerMiami,Dual Eligible,Hope,South East,Florida,Miami,"$12,711.00","$8,946.00 "
MarketingOfficerSanDiego,Aetna,Thanks Giving,Far West,California,San Diego,"$10,225.00","$12,472.00"
MarketingOfficerMiami,Anthem,Thanks Giving,South East,Florida,Miami,"$17,637.00","$6,876.00 "
MarketingOfficerSanDiego,Aetna,Thanks Giving,Far West,California,San Diego,"$11,703.00","$9,822.00 "
MarketingOfficerMiami,Cigna Health,For Your Life,South East,Florida,Miami,"$12,488.00","$18,299.00"
MarketingOfficerMiami,Humana,Thanks Giving,South East,Florida,Miami,"$5,766.00 ","$17,620.00"
MarketingOfficerSanDiego,Cigna Health,Hope,Far West,California,San Diego,"$6,689.00 ","$13,088.00"
MarketingOfficerMiami,Medicare,For Your Life,South East,Florida,Miami,"$13,873.00","$10,617.00"
MarketingOfficerMiami,UnitedHealthcare,Patient Stories,South East,Florida,Miami,"$10,269.00","$11,191.00"
MarketingOfficerMiami,NO_INSURANCE,For Your Life,South East,Florida,Miami,"$6,883.00 ","$10,341.00"
MarketingOfficerMiami,UnitedHealthcare,For Your Life,South East,Florida,Miami,"$13,873.00","$10,617.00"
MarketingOfficerMiami,Blue Cross Blue Shield,Hope,South East,Florida,Miami,"$12,929.00","$9,077.00 "
MarketingOfficerSanDiego,UnitedHealthcare,Care Like Family,Far West,California,San Diego,"$13,221.00","$8,584.00 "
MarketingOfficerMiami,Blue Cross Blue Shield,Thanks Giving,South East,Florida,Miami,"$17,637.00","$6,876.00 "
MarketingOfficerSanDiego,Dual Eligible,For Your Life,Far West,California,San Diego,"$13,802.00","$5,380.00 "
MarketingOfficerSanDiego,UnitedHealthcare,Care Like Family,Far West,California,San Diego,"$6,497.00 ","$6,147.00 "
MarketingOfficerMiami,Medicaid,Patient Stories,South East,Florida,Miami,"$10,269.00","$11,191.00"
MarketingOfficerMiami,Cigna Health,You Have Us,South East,Florida,Miami,"$8,284.00 ","$9,840.00 "
MarketingOfficerSanDiego,Aetna,For Your Life,Far West,California,San Diego,"$6,278.00 ","$11,478.00"
MarketingOfficerMiami,Cigna Health,Patient Stories,South East,Florida,Miami,"$11,059.00","$19,059.00"
MarketingOfficerMiami,Dual Eligible,Hope,South East,Florida,Miami,"$12,929.00","$9,077.00 "
MarketingOfficerMiami,Aetna,For Your Life,South East,Florida,Miami,"$17,488.00","$9,941.00 "
MarketingOfficerSanDiego,Blue Cross Blue Shield,Thanks Giving,Far West,California,San Diego,"$16,850.00","$15,753.00"
MarketingOfficerSanDiego,Cigna Health,Thanks Giving,Far West,California,San Diego,"$13,681.00","$13,003.00"
MarketingOfficerMiami,UnitedHealthcare,Thanks Giving,South East,Florida,Miami,"$5,766.00 ","$17,620.00"
MarketingOfficerSanDiego,Medicaid,Hope,Far West,California,San Diego,"$6,689.00 ","$13,088.00"
MarketingOfficerMiami,Dual Eligible,Patient Stories,South East,Florida,Miami,"$10,269.00","$11,191.00"
MarketingOfficerMiami,Blue Cross Blue Shield,Hit the track,South East,Florida,Miami,"$16,611.00","$7,917.00 "
MarketingOfficerSanDiego,Anthem,For Your Life,Far West,California,San Diego,"$13,802.00","$5,380.00 "
MarketingOfficerSanDiego,Dual Eligible,Hit the track,Far West,California,San Diego,"$5,712.00 ","$6,947.00 "
MarketingOfficerSanDiego,Medicaid,Patient Stories,Far West,California,San Diego,"$16,593.00","$10,533.00"
MarketingOfficerSanDiego,Aetna,For Your Life,Far West,California,San Diego,"$11,245.00","$18,041.00"
MarketingOfficerSanDiego,Humana,Care Like Family,Far West,California,San Diego,"$13,221.00","$8,584.00 "
