ID,ReportingPeriod,IncomeTax,IncomeTaxTarget,ValueAddedTax,ValueAddedTaxTarget,CorporationTax,CorporationTaxTarget,PctTaxPayerCsatDigital,PctTaxPayerCsatDigitalPredicted,PctTaxPayerCsatDigitalTarget,PctTaxPayerCsatPhysical,PctTaxPayerCsatPhysicalPredicted,PctTaxPayerCsatPhysicalTarget,CntTaxPayerComplaints,CntTaxPayerComplaintsTarget,PctTaxPayerCsatOverall,PctTaxPayerCsatOverallTarget,PctTaxPayerCsatOverallPredicted,CntTaxReturnMail,CntTaxReturnMailTarget,PctPhysicalTaxReturnResponse15Days,PctPhysicalTaxReturnResponse15DaysTarget,CntTaxReturnInOffice,CntTaxReturnInOfficeTarget,CntTaxPayerCalls,TaxPayerCallAnswerTime,CntTaxPayerCallWaiting10MinOrMore,CntTier1Complaints,CntTier2Complaints,CntTaxReturnDigital,PctDigialTaxReturnOutOfOverall,PctDigialTaxReturnOutOfOverallTarget,PctDigitalTaxReturnResponse7Days,PctDigitalTaxReturnResponse7DaysTarget,PctTaxReturnAmended,PctTaxReturnAmendedTarget,PctTaxReturnAudited,PctTaxReturnAuditedTarget,PctTaxPayerCsatChangeNextMonth,PctTaxPayerCsatChangeNextMonthTarget,PctTaxPayerComplaintsChangeNextMonth,PctTaxPayerComplaintsChangeNextMonthTarget,PctTaxPayerTrafficInOfficesChangeNextMonth,PctTaxPayerTrafficInOfficesChangeNextMonthTarget,PctTaxPayerTrafficDigitalChangeNextMonth,PctTaxPayerTrafficDigitalChangeNextMonthTarget
404,10/1/2019,12818000000,14435740000,13881000000,13311879000,8494000000,14933380000,54,48,83,54,49,80,1575,500,54,81.5,48.5,11633317,13000000,39,45,19132,51911,3261781,599,33,6025,485,299061,17,55,58,90,3,5,2.85,2,0,5,1,-2,-4,-4,2.64,1
434,11/1/2019,12150000000,13686240000,12440000000,11954840000,2147000000,12710030000,53,46,83,50,46,80,1647,500,51.5,81.5,46,12180386,13000000,37,45,46780,51911,3396287,787,49,6206,502,250782,17,55,49,90,4,5,2.38,2,5,5,-1,-2,-2,-4,2.38,1
465,12/1/2019,13304000000,14890050000,7627000000,7665135000,6004000000,8377020000,52,46,83,47,44,80,1681,500,49.5,81.5,45,12783056,13000000,36,45,37023,51911,3295407,831,49,6129,423,222700,16,55,44,90,5,5,2.14,2,2,5,-2,-2,-8,-4,2.02,1
496,1/1/2020,29844000000,33607410000,14228000000,13971896000,8494000000,15290760000,51,44,83,44,43,80,1688,500,47.5,81.5,43.5,13409380,13000000,35,45,23221,51911,3329034,830,47,6930,405,205429,16,55,41,90,5,5,1.92,2,4,5,-3,-2,-5,-4,2.69,1
525,2/1/2020,16322000000,18272770000,12733000000,12783932000,1906000000,12984550000,50,43,83,42,42,80,1751,500,46,81.5,42.5,14143587,13000000,34,45,38101,51911,3497167,916,47,6398,544,188065,15,55,41,90,6,5,1.71,2,1,5,0,-2,0,-4,2.89,1
556,3/1/2020,14057000000,15747080000,2287000000,2280139000,6515000000,3093420000,50,41,83,40,42,80,1825,500,45,81.5,41.5,14942800,13000000,32,45,51911,51911,3429914,1022,54,8013,611,141696,14,55,38,90,7,5,1.51,2,5,5,1,-2,-7,-4,2.24,1
586,4/1/2020,14344000000,16151050000,3000000000,2892000000,3344000000,3767510000,55,41,83,60,42,80,1549,500,57.5,81.5,41.5,11116380,12000000,33,45,29900,44560,3402038,1037,59,8074,620,123985,16,55,51,90,6,5,2.41,2,1,5,1,-2,-1,-4,2.12,1
617,5/1/2020,11930000000,13456450000,3100000000,3007000000,936000000,1053430000,56,48,83,65,50,80,1583,500,60.5,81.5,49,12278659,12000000,35,45,21000,44560,3356373,870,49,6886,549,154309,17,55,56,90,5,5,2.26,2,1,5,0,-2,-3,-4,2.37,1
647,6/1/2020,12974000000,14553530000,1153580000,1157040740,4809000000,1652910000,57,54,83,69,56,80,1674,500,63,81.5,55,12423036,12000000,37,45,32670,44560,3353111,792,50,7358,509,185834,18,55,60,90,5,5,1.9,2,2,5,-1,-2,-4,-4,2.48,1
678,7/1/2020,14893000000,16684120000,11530200000,11403367800,2976000000,10598640000,59,60,83,74,63,80,1737,500,66.5,81.5,61.5,12882069,12000000,39,45,44560,44560,3229163,717,46,6136,483,236947,19,55,63,90,4,5,1.54,2,2,5,-1,-2,-6,-4,2.69,1
709,8/1/2020,13342000000,14959160000,11336170000,11358842340,1618000000,10295320000,61,66,83,76,72,80,1785,500,68.5,81.5,69,13376411,12000000,41,45,35900,44560,3199807,692,47,6062,410,280994,19,55,65,90,3,5,1.32,2,3,5,-2,-2,-7,-4,2.75,1
777,9/1/2020,13270000000,14570460000,8420760000,8378656200,7391000000,8130100000,63,78,83,77,79,80,1838,500,70,81.5,78.5,13888197,12000000,44,45,13789,44560,3163928,506,30,6062,391,346677,20,55,69,90,2,5,1.12,2,4,5,-3,-2,-8,-4,2.86,1
