ID,UpdateOn,IncomeTax,IncomeTaxTarget,ValueAddedTax,TargetValueAddedTax,CorporationTax,TargetCorporationTax,location,Industries
1500,7/1/2020,32075529.5,35927792.29,24843228.68,27346873.73,6451728.65,22877110.13,Location-1,Retails
1501,7/1/2020,32081746.6,35930626.36,24846561.04,27350117.18,6454267.27,22876255.55,Location-2,Retails
1502,7/1/2020,32077488.28,35933798.3,24841100.74,27342090.48,6452040.61,22878733.97,Location-3,Retails
1503,7/1/2020,32081176.62,35936381.87,24850950.16,27345093.46,6467033.89,22879072.89,Location-4,Retails
1504,7/1/2020,32109474.74,35937071.88,24859631.46,27372127.8,6474540.99,22879652.63,Location-5,Retails
1505,7/1/2020,31972673.13,35865233.27,24762906.56,27251169.49,6390738.98,22751242.91,Location-1,Manufacturing
1506,7/1/2020,31968819,35864692.17,24759034.99,27251026.68,6390924.25,22754728.28,Location-2,Manufacturing
1507,7/1/2020,31981312.65,35862794.08,24764622.57,27259862.71,6388280.41,22754175,Location-3,Manufacturing
1508,7/1/2020,31972541.76,35862344.32,24762877.47,27256513.18,6394957.96,22750341.53,Location-4,Manufacturing
1509,7/1/2020,31997229.11,35899240.54,24777227.11,27275773.87,6407295.02,22764959.22,Location-5,Manufacturing
1510,7/1/2020,32010015.58,35825640.82,24763833.94,27282487.11,6344552.54,22733628.6,Location-1,Finance
1511,7/1/2020,32008978.66,35830157.22,24773090.69,27288634.61,6340744.41,22733099.4,Location-2,Finance
1512,7/1/2020,32022133.08,35833505.79,24770550.47,27283401.57,6345741.19,22739274.15,Location-3,Finance
1513,7/1/2020,32018702.93,35831760.07,24769983.23,27284349.99,6340766.98,22740740.3,Location-4,Finance
1514,7/1/2020,32026453.08,35840845.24,24781308.61,27300493.44,6351098.14,22757847.32,Location-5,Finance
1515,7/2/2020,32080297.78,35932674.73,24842930.96,27344462.1,6453637.85,22877009.82,Location-1,Retails
1516,7/2/2020,32084950.09,35932330.88,24846173.9,27350328.58,6451847.61,22876044.4,Location-2,Retails
1517,7/2/2020,32085511.16,35930709.63,24848000.54,27348642.32,6461713.7,22874883.38,Location-3,Retails
1518,7/2/2020,32084339.72,35928055.47,24848117.58,27341537.29,6454480.64,22881724.49,Location-4,Retails
1519,7/2/2020,32090058.56,35944442.39,24850638.72,27370452.09,6471601.35,22883506.98,Location-5,Retails
1520,7/2/2020,31971499.19,35863704.26,24763721.57,27258520.91,6389211.29,22754115.49,Location-1,Manufacturing
1521,7/2/2020,31973938.96,35867132.3,24760723.46,27257372.85,6389583.62,22745277.29,Location-2,Manufacturing
1522,7/2/2020,31979879.99,35872263.81,24761459.07,27258587.87,6385675.9,22758145.05,Location-3,Manufacturing
1523,7/2/2020,31974751.18,35870963.43,24766235.09,27252010.72,6384830.34,22746550.14,Location-4,Manufacturing
1524,7/2/2020,31993372.62,35882003.32,24772379.46,27270673.22,6421596.01,22771293.36,Location-5,Manufacturing
1525,7/2/2020,32010518.98,35826091.53,24765196.64,27284548.25,6339964.79,22734592.95,Location-1,Finance
1526,7/2/2020,32013852.73,35825255.21,24764631.04,27284835.43,6339306.55,22742840.68,Location-2,Finance
1527,7/2/2020,32018532.39,35835142.48,24771807.42,27279196.28,6338663.08,22744082.54,Location-3,Finance
1528,7/2/2020,32007041.28,35825179.25,24772505.02,27287756.34,6345577.98,22739093.32,Location-4,Finance
1529,7/2/2020,32032947.88,35855869.78,24789635.31,27298050.06,6352870.25,22750119.4,Location-5,Finance
1530,7/3/2020,32079868.54,35928219.83,23844512.47,26344997.31,6454532.33,22877220.02,Location-1,Retails
1531,7/3/2020,32082088.56,35925053.97,23847652.06,26346925.02,6459244.04,22878072.29,Location-2,Retails
1532,7/3/2020,32081114.46,35927729.34,23838894.47,26352962.56,6454852.69,22871530.82,Location-3,Retails
1533,7/3/2020,32084595.35,35932673.42,23841290.77,26355484.04,6455450.55,22881212.09,Location-4,Retails
1534,7/3/2020,32103940.83,35956317.06,23868745.72,26360474.67,6467560.69,22887757.79,Location-5,Retails
1535,7/3/2020,31969442.23,35867548.69,25762291.07,28258325.11,6386715.51,22746826.37,Location-1,Manufacturing
1536,7/3/2020,31980028.65,35866984.55,25756705.53,28255728.05,6385952.58,22750242.24,Location-2,Manufacturing
1537,7/3/2020,31974612.1,35863072.9,25759832.69,28257468.59,6392995.09,22751595.01,Location-3,Manufacturing
1538,7/3/2020,31971134.49,35862338.05,25757547.52,28256255.58,6394696.3,22757404.29,Location-4,Manufacturing
1539,7/3/2020,31996713.14,35895813.62,25791908.9,28267285.72,6407630.49,22768782.58,Location-5,Manufacturing
1540,7/3/2020,32011618.43,35823627.26,24770697.26,27285540.13,6336952.14,22736833.41,Location-1,Finance
1541,7/3/2020,32007861.43,35831681.59,24766743.64,27286798.02,6333874.33,22736612.79,Location-2,Finance
1542,7/3/2020,32006637.97,35827815.93,24775661.37,27283156.4,6336558.44,22735059.76,Location-3,Finance
1543,7/3/2020,32023097.69,35823986.67,24767752.25,27279035.52,6351621.06,22732081.08,Location-4,Finance
1544,7/3/2020,32028460.12,35852276.19,24784268.47,27306380.57,6356128.12,22763772.32,Location-5,Finance
1545,7/4/2020,32079091.07,35930869.54,22838541.33,25344948.93,6458627.4,22874210.13,Location-1,Retails
1546,7/4/2020,32084380.37,35926883.53,22842844,25342802.58,6456307.05,22869425.22,Location-2,Retails
1547,7/4/2020,32083510.06,35925088.25,22844600.99,25344839.59,6453526.77,22880297.7,Location-3,Retails
1548,7/4/2020,32090694.16,35925987,22850945.18,25342100.55,6449875,22876800.61,Location-4,Retails
1549,7/4/2020,32096146.28,35958435.65,22864814.15,25381147.17,6475770.65,22893872.77,Location-5,Retails
1550,7/4/2020,31971764.87,35869536.44,26763109.95,28256178.69,6391673.95,22751026.15,Location-1,Manufacturing
1551,7/4/2020,31978083.12,35867517.88,26755173.34,28253420.11,6392234.29,22754023.4,Location-2,Manufacturing
1552,7/4/2020,31977603.39,35868092.33,26763735.56,28254536.58,6392529.55,22755517.76,Location-3,Manufacturing
1553,7/4/2020,31969965.72,35863066.17,26765507.76,28249530.96,6392888.08,22752529.5,Location-4,Manufacturing
1554,7/4/2020,31995474.01,35883924.25,26777060.52,28282088.8,6404568.57,22760703.2,Location-5,Manufacturing
1555,7/4/2020,32014558.82,35827122.14,27763426.22,29283379.51,6338111.3,22738338.23,Location-1,Finance
1556,7/4/2020,32015608.83,35829571.04,27767080.61,29283559.36,6338705.92,22743176.59,Location-2,Finance
1557,7/4/2020,32006635.89,35827951.77,27763076.73,29289308.12,6341495.84,22742335.18,Location-3,Finance
1558,7/4/2020,32020447.78,35836881.76,27782486.89,29283309.57,6339359.72,22738339.77,Location-4,Finance
1559,7/4/2020,32024795.63,35837693.63,27784008.66,29304285.68,6357612.22,22749577.35,Location-5,Finance
1560,7/5/2020,32079305.24,35926016.28,20841134.89,23348955.2,6449910.4,22875513.97,Location-1,Retails
1561,7/5/2020,32084882.29,35932837.45,20843186.95,23349488.82,6461443.56,22878698.1,Location-2,Retails
1562,7/5/2020,32077634.35,35924731.81,20840486.14,23351201.74,6450015.24,22872773.4,Location-3,Retails
1563,7/5/2020,32084730.7,35925428.51,20837772.54,23343629.35,6464972.13,22869952.36,Location-4,Retails
1564,7/5/2020,32105349.2,35960678.03,20872469.97,23365364.2,6472251.05,22896211.97,Location-5,Retails
1565,7/5/2020,31972954.34,35868251.56,25765390.5,28257260.5,6388402.91,22754037.28,Location-1,Manufacturing
1566,7/5/2020,31970255.14,35865463.42,25761658.03,28250131.78,6386037.98,22748719.12,Location-2,Manufacturing
