ID,MonthUpdatedOn,YearUpdatedOn,IncomeTax,TargetIncomeTax,ValueAddedTax,TargetValueAddedTax,CorporationTax,TargetCorporationTax,DigitalCsat,DigitalCsatTarget,DigitalCsatPredicted,PhysicalCsat,PhysicalCsatTarget,PhysicalCsatPredicted,CustomerComplaints
2,1,2019,28236000000,31642300000,13596000000,15255960000,9704000000,14767230000,64,84,49,51,80,49,1534
4,2,2019,17138000000,19206400000,13176000000,14813150000,2026000000,13426590000,63,84,49,51,80,48,1535
8,3,2019,15694000000,17673900000,8175000000,9144400000,2185000000,8448530000,63,84,48,50,80,48,1545
12,4,2019,18122000000,20434160000,12682000000,14267820000,6917000000,13553940000,63,84,48,50,80,48,1558
3,5,2019,15494000000,17449490000,10994000000,12323770000,2205000000,11269560000,62,84,48,50,80,47,1577
10,6,2019,12911000000,14579630000,8017000000,9002020000,2710000000,8349490000,62,84,47,50,80,47,1606
5,7,2019,22601000000,25471860000,13734000000,15412630000,9202000000,14858400000,61,84,47,49,80,47,1634
7,8,2019,14111000000,15867510000,12433000000,14013710000,2180000000,12704880000,61,84,46,49,80,46,1662
6,9,2019,12059000000,13553960000,7940000000,8931790000,3889000000,8429150000,60,84,46,49,80,46,1666
1,10,2019,12818000000,14435740000,13881000000,15604950000,8494000000,14933380000,60,84,46,49,80,45,1674
11,11,2019,12150000000,13686240000,12440000000,14056980000,2147000000,12710030000,59,84,45,49,80,45,1675
9,12,2019,13304000000,14890050000,7627000000,8601080000,6004000000,8377020000,59,84,45,48,80,45,1676
13,1,2020,29844000000,33607410000,14228000000,16098160000,8494000000,15290760000,58,84,45,48,80,44,1691
15,2,2020,16322000000,18272770000,12733000000,14352320000,1906000000,12984550000,58,84,44,48,80,44,1722
18,3,2020,14057000000,15747080000,2287000000,2575160000,6515000000,3093420000,57,84,44,47,80,44,1736
20,4,2020,14344000000,16151050000,-840000000,300000000,3344000000,3767510000,57,84,43,47,80,43,1756
14,5,2020,11930000000,13456450000,-584000000,310000000,936000000,1053430000,56,84,43,46,80,43,1763
19,6,2020,12974000000,14553530000,1026000000,1153580000,4809000000,1652910000,56,84,43,46,80,42,1793
16,7,2020,14893000000,16684120000,10230000000,11530200000,2976000000,10598640000,55,84,42,46,80,42,1812
17,8,2020,13342000000,14959160000,10085000000,11336170000,1618000000,10295320000,55,84,42,45,80,41,1834
