year,month,latitude,longitude,admin_name,excellent_sentiment,good_sentiment,negative_sentiment,neutral_sentiment
2020,1,57.14183333,-2.191283333,Aberdeen City,82.52,7.48,6.57,3.43
2020,1,57.31228889,-2.280072222,Aberdeenshire,79.92,10.08,0.66,9.34
2020,1,56.6134,-2.733785714,Angus,80.49,9.51,5.17,4.83
2020,1,54.7173,-6.2055,Antrim and Newtownabbey,80.4,9.6,4.96,5.04
2020,1,54.648,-5.7575,Ards and North Down,82.64,7.36,6.6,3.4
2020,1,55.95574286,-5.0767,Argyll and Bute,82.69,7.31,0.68,9.32
2020,1,54.343,-6.26,"Armagh, Banbridge and Craigavon",82.99,7.01,1.53,8.47
2020,1,51.53985,0.1111,Barking and Dagenham,79.83,10.17,2.66,7.34
2020,1,51.61631111,-0.201277778,Barnet,78.96,11.04,4.39,5.61
2020,1,53.544575,-1.466408333,Barnsley,81.54,8.46,6.45,3.55
2020,1,51.35338,-2.45187,Bath and North East Somerset,82.51,7.49,2.93,7.07
2020,1,52.1215125,-0.4917375,Bedford,79.66,10.34,4.38,5.62
2020,1,54.5964,-5.93,Belfast,80.27,9.73,5.33,4.67
2020,1,51.456175,0.131975,Bexley,79.88,10.12,3.34,6.66
2020,1,52.46904545,-1.896454545,Birmingham,80.17,9.83,1.11,8.89
2020,1,53.723,-2.4715,Blackburn with Darwen,81.91,8.09,2.17,7.83
2020,1,53.8331,-3.04565,Blackpool,78.86,11.14,5.67,4.33
2020,1,51.7711125,-3.1861375,Blaenau Gwent,79.35,10.65,6.86,3.14
2020,1,53.56385714,-2.459685714,Bolton,78,12,3.36,6.64
2020,1,50.71675,-1.862,Bournemouth,78.82,11.18,3.69,6.31
2020,1,51.41836,-0.75592,Bracknell Forest,79.23,10.77,6.98,3.02
2020,1,53.84582,-1.85269,Bradford,82.54,7.46,4.27,5.73
2020,1,51.5751,-0.29395,Brent,79.16,10.84,4.31,5.69
2020,1,51.54256,-3.62778,Bridgend,81.34,8.66,3.04,6.96
2020,1,50.839275,-0.130525,Brighton and Hove,82.56,7.44,4.71,5.29
2020,1,51.46086667,-2.608733333,"Bristol, City of",79.02,10.98,5.99,4.01
2020,1,51.3873875,0.0403,Bromley,82.07,7.93,2.67,7.33
2020,1,51.68953103,-0.711589655,Buckinghamshire,81.87,8.13,4.75,5.25
2020,1,53.58355,-2.310533333,Bury,81.14,8.86,0.64,9.36
2020,1,51.65393889,-3.2005,Caerphilly,78.56,11.44,4.22,5.78
2020,1,53.71190769,-1.896553846,Calderdale,82.92,7.08,5.62,4.38
2020,1,52.32057447,0.027317021,Cambridgeshire,79.53,10.47,4.43,5.57
2020,1,51.5444,-0.1315,Camden,79.19,10.81,0.92,9.08
2020,1,51.51916667,-3.250266667,Cardiff,82.97,7.03,6.44,3.56
2020,1,51.75977,-4.20512,Carmarthenshire,78.45,11.55,5.99,4.01
2020,1,52.00438421,-0.439589474,Central Bedfordshire,81.99,8.01,6.05,3.95
2020,1,52.2566,-4.22025,Ceredigion,79.22,10.78,3.9,6.1
2020,1,53.22929,-2.301205,Cheshire East,80.15,9.85,6.32,3.68
2020,1,53.24336316,-2.769231579,Cheshire West and Chester,80.24,9.76,1.44,8.56
2020,1,56.13676667,-3.755716667,Clackmannanshire,79.48,10.52,4.37,5.63
2020,1,53.27466667,-3.781833333,Conwy,81.92,8.08,5.47,4.53
2020,1,50.338445,-4.956985,Cornwall,81.2,8.8,3.79,6.21
2020,1,52.43905,-1.4953,Coventry,78.19,11.81,5.92,4.08
2020,1,51.36222,-0.09864,Croydon,78.85,11.15,5.88,4.12
2020,1,54.556875,-3.153328571,Cumbria,80.01,9.99,4.33,5.67
2020,1,54.527,-1.5526,Darlington,81.3,8.7,2.84,7.16
2020,1,53.22842857,-3.398857143,Denbighshire,79.16,10.84,1.21,8.79
