Region,Country,Campaign_Name,Revenue,Revenue_Target,City,State,RoleID,Revenue_Variance
South East,Us,Patient Stories,11564.0,19306.0,Miami,Florida,NULL,7742.0
Southern California,Us,For Your Life,6497.0,6147.0,Los Angeles,California,NULL,-350.0
South East,Us,Hit The Track,11620.0,17230.0,Miami,Florida,20,5610.0
South East,Us,Patient Stories,9963.0,18377.0,Miami,Florida,NULL,8414.0
Southern California,Us,For Your Life,16850.0,15753.0,Los Angeles,California,NULL,-1097.0
South East,Us,Hit The Track,5333.0,7346.0,Miami,Florida,20,2013.0
South East,Us,Patient Stories,17488.0,9941.0,Miami,Florida,NULL,-7547.0
Southern California,Us,For Your Life,7264.0,9868.0,Los Angeles,California,NULL,2604.0
South East,Us,Hit The Track,14114.0,15482.0,Miami,Florida,20,1368.0
South East,Us,Patient Stories,8628.0,12622.0,Miami,Florida,NULL,3994.0
Southern California,Us,For Your Life,16062.0,7721.0,Los Angeles,California,NULL,-8341.0
South East,Us,Hit The Track,14114.0,15482.0,Miami,Florida,20,1368.0
South East,Us,Patient Stories,8628.0,12622.0,Miami,Florida,NULL,3994.0
Southern California,Us,For Your Life,6414.0,12619.0,Los Angeles,California,NULL,6205.0
South East,Us,Hit The Track,11620.0,17230.0,Miami,Florida,20,5610.0
South East,Us,Patient Stories,9963.0,18377.0,Miami,Florida,NULL,8414.0
Southern California,Us,For Your Life,6593.0,17096.0,Los Angeles,California,NULL,10503.0
South East,Us,Hit The Track,5333.0,7346.0,Miami,Florida,20,2013.0
South East,Us,Patient Stories,17488.0,9941.0,Miami,Florida,NULL,-7547.0
Southern California,Us,For Your Life,9140.0,19323.0,Los Angeles,California,NULL,10183.0
South East,Us,Hit The Track,10182.0,13630.0,Miami,Florida,20,3448.0
South East,Us,Patient Stories,11564.0,19306.0,Miami,Florida,NULL,7742.0
Southern California,Us,For Your Life,9668.0,14658.0,Los Angeles,California,NULL,4990.0
South East,Us,Hit The Track,10182.0,13630.0,Miami,Florida,20,3448.0
South East,Us,Care Like Family,5972.0,10692.0,Miami,Florida,20,4720.0
Southern California,Us,For Your Life,8264.0,19049.0,Los Angeles,California,NULL,10785.0
