Stock Item Key,WWI Stock Item ID,Stock Item,Color,Selling Package,Buying Package,Brand,Size,Lead Time Days,Quantity Per Outer,Is Chiller Stock,Barcode,Tax Rate,Unit Price,Recommended Retail Price,Typical Weight Per Unit,Photo,Valid From,Valid To,Lineage Key
667,215,Air cushion machine (Blue),N/A,Each,Each,N/A,N/A,20,1,0,N/A,20.000,1899.00,2839.01,10.000,0x,2016-05-31 23:12:00.0000000,9999-12-31 23:59:59.9999999,5
668,216,Void fill 100 L bag (White) 100L,N/A,Each,Each,N/A,100L,14,10,0,N/A,14.000,12.50,18.69,0.250,0x,2016-05-31 23:12:00.0000000,9999-12-31 23:59:59.9999999,5
669,217,Void fill 200 L bag (White) 200L,N/A,Each,Each,N/A,200L,14,10,0,N/A,14.000,25.00,37.38,0.500,0x,2016-05-31 23:12:00.0000000,9999-12-31 23:59:59.9999999,5
670,218,Void fill 300 L bag (White) 300L,N/A,Each,Each,N/A,300L,14,10,0,N/A,14.000,37.50,56.06,0.750,0x,2016-05-31 23:12:00.0000000,9999-12-31 23:59:59.9999999,5
671,219,Void fill 400 L bag (White) 400L,N/A,Each,Each,N/A,400L,14,10,0,N/A,14.000,50.00,74.75,1.000,0x,2016-05-31 23:12:00.0000000,9999-12-31 23:59:59.9999999,5
378,119,Dinosaur battery-powered slippers (Green) M,N/A,Each,Each,N/A,M,12,1,0,N/A,12.000,32.00,47.84,0.350,0x,2016-05-31 23:00:00.0000000,2016-05-31 23:07:00.0000000,5
379,118,Dinosaur battery-powered slippers (Green) S,N/A,Each,Each,N/A,S,12,1,0,N/A,12.000,32.00,47.84,0.350,0x,2016-05-31 23:00:00.0000000,2016-05-31 23:07:00.0000000,5
380,149,Halloween skull mask (Gray) XL,Steel Gray,Each,Carton,N/A,XL,12,12,0,N/A,12.000,18.00,26.91,0.300,0x,2016-05-31 23:00:00.0000000,2016-05-31 23:04:00.0000000,5
381,148,Halloween skull mask (Gray) L,Steel Gray,Each,Carton,N/A,L,12,12,0,N/A,12.000,18.00,26.91,0.300,0x,2016-05-31 23:00:00.0000000,2016-05-31 23:04:00.0000000,5
382,147,Halloween skull mask (Gray) M,Steel Gray,Each,Carton,N/A,M,12,12,0,N/A,12.000,18.00,26.91,0.300,0x,2016-05-31 23:00:00.0000000,2016-05-31 23:04:00.0000000,5
383,146,Halloween skull mask (Gray) S,Steel Gray,Each,Carton,N/A,S,12,12,0,N/A,12.000,18.00,26.91,0.300,0x,2016-05-31 23:00:00.0000000,2016-05-31 23:04:00.0000000,5
384,145,Halloween zombie mask (Light Brown) XL,Light Brown,Each,Carton,N/A,XL,12,12,0,N/A,12.000,18.00,26.91,0.300,0x,2016-05-31 23:00:00.0000000,2016-05-31 23:04:00.0000000,5
385,144,Halloween zombie mask (Light Brown) L,Light Brown,Each,Carton,N/A,L,12,12,0,N/A,12.000,18.00,26.91,0.300,0x,2016-05-31 23:00:00.0000000,2016-05-31 23:04:00.0000000,5
386,143,Halloween zombie mask (Light Brown) M,Light Brown,Each,Carton,N/A,M,12,12,0,N/A,12.000,18.00,26.91,0.300,0x,2016-05-31 23:00:00.0000000,2016-05-31 23:04:00.0000000,5
387,142,Halloween zombie mask (Light Brown) S,Light Brown,Each,Carton,N/A,S,12,12,0,N/A,12.000,18.00,26.91,0.300,0x,2016-05-31 23:00:00.0000000,2016-05-31 23:04:00.0000000,5
388,152,Pack of 12 action figures (female),N/A,Packet,Packet,N/A,N/A,2,1,0,N/A,2.000,16.00,23.92,0.250,0x,2016-05-31 23:00:00.0000000,2016-05-31 23:05:00.0000000,5
389,151,Pack of 12 action figures (male),N/A,Packet,Packet,N/A,N/A,2,1,0,N/A,2.000,16.00,23.92,0.250,0x,2016-05-31 23:00:00.0000000,2016-05-31 23:05:00.0000000,5
390,150,Pack of 12 action figures (variety),N/A,Packet,Packet,N/A,N/A,2,1,0,N/A,2.000,16.00,23.92,0.250,0x,2016-05-31 23:00:00.0000000,2016-05-31 23:05:00.0000000,5
391,75,Ride on big wheel monster truck (Black) 1/12 scale,Black,Each,Each,Northwind,1/12 scale,14,1,0,N/A,14.000,345.00,515.78,21.000,0x,2016-05-31 23:00:00.0000000,2016-05-31 23:06:00.0000000,5
392,72,Ride on toy sedan car (Pink) 1/12 scale,N/A,Each,Each,Northwind,1/12 scale,14,1,0,N/A,14.000,230.00,343.85,15.000,0x,2016-05-31 23:00:00.0000000,2016-05-31 23:06:00.0000000,5
393,71,Ride on toy sedan car (Yellow) 1/12 scale,Yellow,Each,Each,Northwind,1/12 scale,14,1,0,N/A,14.000,230.00,343.85,15.000,0x,2016-05-31 23:00:00.0000000,2016-05-31 23:06:00.0000000,5
394,70,Ride on toy sedan car (Green) 1/12 scale,N/A,Each,Each,Northwind,1/12 scale,14,1,0,N/A,14.000,230.00,343.85,15.000,0x,2016-05-31 23:00:00.0000000,2016-05-31 23:06:00.0000000,5
395,69,Ride on toy sedan car (Blue) 1/12 scale,Blue,Each,Each,Northwind,1/12 scale,14,1,0,N/A,14.000,230.00,343.85,15.000,0x,2016-05-31 23:00:00.0000000,2016-05-31 23:06:00.0000000,5
396,68,Ride on toy sedan car (Red) 1/12 scale,Red,Each,Each,Northwind,1/12 scale,14,1,0,N/A,14.000,230.00,343.85,15.000,0x,2016-05-31 23:00:00.0000000,2016-05-31 23:06:00.0000000,5
397,67,Ride on toy sedan car (Black) 1/12 scale,Black,Each,Each,Northwind,1/12 scale,14,1,0,N/A,14.000,230.00,343.85,15.000,0x,2016-05-31 23:00:00.0000000,2016-05-31 23:06:00.0000000,5
398,3,Office cube periscope (Black),Black,Each,Carton,N/A,N/A,14,10,0,N/A,14.000,18.50,27.66,0.250,0x,2016-05-31 23:00:00.0000000,9999-12-31 23:59:59.9999999,5
399,76,"""The Gu"" red shirt XML tag t-shirt (White) 3XS",White,Each,Carton,N/A,3XS,7,12,0,N/A,7.000,18.00,26.91,0.250,0x,2016-05-31 23:00:00.0000000,9999-12-31 23:59:59.9999999,5
246,6,USB food flash drive - hot dog,N/A,Each,Each,N/A,N/A,14,1,0,N/A,14.000,32.00,47.84,0.050,0x,2016-05-31 23:00:00.0000000,2016-05-31 23:09:00.0000000,5
247,5,USB food flash drive - hamburger,N/A,Each,Each,N/A,N/A,14,1,0,N/A,14.000,32.00,47.84,0.050,0x,2016-05-31 23:00:00.0000000,2016-05-31 23:09:00.0000000,5
248,4,USB food flash drive - sushi roll,N/A,Each,Each,N/A,N/A,14,1,0,N/A,14.000,32.00,47.84,0.050,0x,2016-05-31 23:00:00.0000000,2016-05-31 23:09:00.0000000,5
249,57,IT joke mug - hardware: part of the computer that can be kicked (Black),Black,Each,Each,N/A,N/A,12,1,0,N/A,12.000,13.00,19.44,0.150,0x,2016-05-31 23:00:00.0000000,2016-05-31 23:10:00.0000000,5
250,56,IT joke mug - hardware: part of the computer that can be kicked (White),White,Each,Each,N/A,N/A,12,1,0,N/A,12.000,13.00,19.44,0.150,0x,2016-05-31 23:00:00.0000000,2016-05-31 23:10:00.0000000,5
251,55,IT joke mug - that behavior is by design (Black),Black,Each,Each,N/A,N/A,12,1,0,N/A,12.000,13.00,19.44,0.150,0x,2016-05-31 23:00:00.0000000,2016-05-31 23:10:00.0000000,5
252,54,IT joke mug - that behavior is by design (White),White,Each,Each,N/A,N/A,12,1,0,N/A,12.000,13.00,19.44,0.150,0x,2016-05-31 23:00:00.0000000,2016-05-31 23:10:00.0000000,5
253,53,IT joke mug - keyboard not found … press F1 to continue (Black),Black,Each,Each,N/A,N/A,12,1,0,N/A,12.000,13.00,19.44,0.150,0x,2016-05-31 23:00:00.0000000,2016-05-31 23:10:00.0000000,5
254,52,IT joke mug - keyboard not found … press F1 to continue (White),White,Each,Each,N/A,N/A,12,1,0,N/A,12.000,13.00,19.44,0.150,0x,2016-05-31 23:00:00.0000000,2016-05-31 23:10:00.0000000,5
255,51,Developer joke mug - old C developers never die (Black),Black,Each,Each,N/A,N/A,12,1,0,N/A,12.000,13.00,19.44,0.150,0x,2016-05-31 23:00:00.0000000,2016-05-31 23:10:00.0000000,5
256,50,Developer joke mug - old C developers never die (White),White,Each,Each,N/A,N/A,12,1,0,N/A,12.000,13.00,19.44,0.150,0x,2016-05-31 23:00:00.0000000,2016-05-31 23:10:00.0000000,5
257,49,Developer joke mug - this code was generated by a tool (Black),Black,Each,Each,N/A,N/A,12,1,0,N/A,12.000,13.00,19.44,0.150,0x,2016-05-31 23:00:00.0000000,2016-05-31 23:10:00.0000000,5
258,48,Developer joke mug - this code was generated by a tool (White),White,Each,Each,N/A,N/A,12,1,0,N/A,12.000,13.00,19.44,0.150,0x,2016-05-31 23:00:00.0000000,2016-05-31 23:10:00.0000000,5
113,107,Superhero action jacket (Blue) 3XS,Blue,Each,Each,N/A,3XS,12,1,0,N/A,12.000,25.00,37.38,0.300,0x,2013-01-01 00:00:00.0000000,2016-05-31 23:00:00.0000000,5
114,106,Alien officer hoodie (Black) 5XL,Black,Each,Each,N/A,5XL,12,1,0,N/A,12.000,35.00,52.33,0.400,0x,2013-01-01 00:00:00.0000000,2016-05-31 23:00:00.0000000,5
115,105,Alien officer hoodie (Black) 4XL,Black,Each,Each,N/A,4XL,12,1,0,N/A,12.000,35.00,52.33,0.400,0x,2013-01-01 00:00:00.0000000,2016-05-31 23:00:00.0000000,5
116,104,Alien officer hoodie (Black) 3XL,Black,Each,Each,N/A,3XL,12,1,0,N/A,12.000,35.00,52.33,0.400,0x,2013-01-01 00:00:00.0000000,2016-05-31 23:00:00.0000000,5
117,103,Alien officer hoodie (Black) XXL,Black,Each,Each,N/A,XXL,12,1,0,N/A,12.000,35.00,52.33,0.400,0x,2013-01-01 00:00:00.0000000,2016-05-31 23:00:00.0000000,5
118,102,Alien officer hoodie (Black) XL,Black,Each,Each,N/A,XL,12,1,0,N/A,12.000,35.00,52.33,0.400,0x,2013-01-01 00:00:00.0000000,2016-05-31 23:00:00.0000000,5
119,101,"""The Gu"" red shirt XML tag t-shirt (Black) 7XL",Black,Each,Carton,N/A,7XL,7,12,0,N/A,7.000,18.00,26.91,0.450,0x,2013-01-01 00:00:00.0000000,2016-05-31 23:00:00.0000000,5
120,100,"""The Gu"" red shirt XML tag t-shirt (Black) 6XL",Black,Each,Carton,N/A,6XL,7,12,0,N/A,7.000,18.00,26.91,0.400,0x,2013-01-01 00:00:00.0000000,2016-05-31 23:00:00.0000000,5
121,99,"""The Gu"" red shirt XML tag t-shirt (Black) 5XL",Black,Each,Carton,N/A,5XL,7,12,0,N/A,7.000,18.00,26.91,0.400,0x,2013-01-01 00:00:00.0000000,2016-05-31 23:00:00.0000000,5
122,98,"""The Gu"" red shirt XML tag t-shirt (Black) 4XL",Black,Each,Carton,N/A,4XL,7,12,0,N/A,7.000,18.00,26.91,0.400,0x,2013-01-01 00:00:00.0000000,2016-05-31 23:00:00.0000000,5
123,97,"""The Gu"" red shirt XML tag t-shirt (Black) 3XL",Black,Each,Carton,N/A,3XL,7,12,0,N/A,7.000,18.00,26.91,0.400,0x,2013-01-01 00:00:00.0000000,2016-05-31 23:00:00.0000000,5
124,96,"""The Gu"" red shirt XML tag t-shirt (Black) XXL",Black,Each,Carton,N/A,XXL,7,12,0,N/A,7.000,18.00,26.91,0.400,0x,2013-01-01 00:00:00.0000000,2016-05-31 23:00:00.0000000,5
125,95,"""The Gu"" red shirt XML tag t-shirt (Black) XL",Black,Each,Carton,N/A,XL,7,12,0,N/A,7.000,18.00,26.91,0.350,0x,2013-01-01 00:00:00.0000000,2016-05-31 23:00:00.0000000,5
