msft_departmentid,msft_departmentname,msft_effectivestatedate,msft_effectiveenddate
67e1835d-ab89-ea11-a812-000d3a5a17e3,Emergency Department,43949.58333,
beaaccb0-af89-ea11-a812-000d3a5a17e3,Other Support,43949.58333,
4af20f1f-b189-ea11-a812-000d3a5a17e3,Diagnostic Imaging,43949.58333,
8f0a33e6-b189-ea11-a812-000d3a5a17e3,Information Technology,43949.58333,
f254dd18-b289-ea11-a812-000d3a5a17e3,Haematology,43949.58333,
46b01f45-b289-ea11-a812-000d3a5a17e3,Medical Records,43949.58333,
9af920ca-8d73-ea11-a811-000d3a5a1fbe,General Med/Surg,43921.58333,
9cf920ca-8d73-ea11-a811-000d3a5a1fbe,Intensive Care Unit,43921.58333,
9ef920ca-8d73-ea11-a811-000d3a5a1fbe,Coronary Care Unit,43921.58333,
a0f920ca-8d73-ea11-a811-000d3a5a1fbe,Surgical ICU,43921.58333,
a2f920ca-8d73-ea11-a811-000d3a5a1fbe,Pediatric ICU,43921.58333,
a4f920ca-8d73-ea11-a811-000d3a5a1fbe,Neonatal ICU,43921.58333,
a6f920ca-8d73-ea11-a811-000d3a5a1fbe,Nursery,43921.58333,
a8f920ca-8d73-ea11-a811-000d3a5a1fbe,Skilled Nursing (SNF),43921.58333,
aaf920ca-8d73-ea11-a811-000d3a5a1fbe,Nursing Facility,43921.58333,
acf920ca-8d73-ea11-a811-000d3a5a1fbe,Other Long Term Care,43921.58333,
