msft_supplytrackingid,msft_facility,msft_supply,msft_numberonhand_count,msft_burnrateperday,createdby,createdon,Supply,Supply Tracking DateOnly
ede37d46-ec78-ea11-a811-000d3a5a17e3,0c524aa4-7a73-ea11-a811-000d3a5a1bf8,aee95b46-9c73-ea11-a811-000d3a5a17c5,5,5,08c066e0-5870-ea11-a811-000d3a5a1bf8,07-04-2020 16:24,Duckbill w/ Shield (REG),"Tuesday, April 7, 2020"
f2e37d46-ec78-ea11-a811-000d3a5a17e3,0c524aa4-7a73-ea11-a811-000d3a5a1bf8,b2e95b46-9c73-ea11-a811-000d3a5a17c5,4,4,08c066e0-5870-ea11-a811-000d3a5a1bf8,07-04-2020 16:24,Masks w/ Shield (TCHNL),"Tuesday, April 7, 2020"
f4e37d46-ec78-ea11-a811-000d3a5a17e3,0c524aa4-7a73-ea11-a811-000d3a5a1bf8,b8e95b46-9c73-ea11-a811-000d3a5a17c5,6,6,08c066e0-5870-ea11-a811-000d3a5a1bf8,07-04-2020 16:24,N-95 (SM),"Tuesday, April 7, 2020"
76df8349-ec78-ea11-a811-000d3a5a1bf8,0c524aa4-7a73-ea11-a811-000d3a5a1bf8,b0e95b46-9c73-ea11-a811-000d3a5a17c5,5,5,08c066e0-5870-ea11-a811-000d3a5a1bf8,07-04-2020 16:24,Duckbill w/ Shield (SM),"Tuesday, April 7, 2020"
7adf8349-ec78-ea11-a811-000d3a5a1bf8,0c524aa4-7a73-ea11-a811-000d3a5a1bf8,b4e95b46-9c73-ea11-a811-000d3a5a17c5,6,6,08c066e0-5870-ea11-a811-000d3a5a1bf8,07-04-2020 16:24,Masks w/ Shield (TIE),"Tuesday, April 7, 2020"
80df8349-ec78-ea11-a811-000d3a5a1bf8,0c524aa4-7a73-ea11-a811-000d3a5a1bf8,b6e95b46-9c73-ea11-a811-000d3a5a17c5,6,6,08c066e0-5870-ea11-a811-000d3a5a1bf8,07-04-2020 16:24,N-95 (REG),"Tuesday, April 7, 2020"
a0577ebd-de78-ea11-a812-000d3a5a1fad,52b88c53-7a73-ea11-a811-000d3a5a17e3,b4e95b46-9c73-ea11-a811-000d3a5a17c5,23,22,08c066e0-5870-ea11-a811-000d3a5a1bf8,07-04-2020 14:47,Masks w/ Shield (TIE),"Tuesday, April 7, 2020"
a2577ebd-de78-ea11-a812-000d3a5a1fad,52b88c53-7a73-ea11-a811-000d3a5a17e3,b8e95b46-9c73-ea11-a811-000d3a5a17c5,16,12,08c066e0-5870-ea11-a811-000d3a5a1bf8,07-04-2020 14:47,N-95 (SM),"Tuesday, April 7, 2020"
a4577ebd-de78-ea11-a812-000d3a5a1fad,52b88c53-7a73-ea11-a811-000d3a5a17e3,b0e95b46-9c73-ea11-a811-000d3a5a17c5,25,17,08c066e0-5870-ea11-a811-000d3a5a1bf8,07-04-2020 14:47,Duckbill w/ Shield (SM),"Tuesday, April 7, 2020"
a6577ebd-de78-ea11-a812-000d3a5a1fad,52b88c53-7a73-ea11-a811-000d3a5a17e3,b2e95b46-9c73-ea11-a811-000d3a5a17c5,22,20,08c066e0-5870-ea11-a811-000d3a5a1bf8,07-04-2020 14:47,Masks w/ Shield (TCHNL),"Tuesday, April 7, 2020"
a8577ebd-de78-ea11-a812-000d3a5a1fad,52b88c53-7a73-ea11-a811-000d3a5a17e3,b6e95b46-9c73-ea11-a811-000d3a5a17c5,18,16,08c066e0-5870-ea11-a811-000d3a5a1bf8,07-04-2020 14:47,N-95 (REG),"Tuesday, April 7, 2020"
aa577ebd-de78-ea11-a812-000d3a5a1fad,52b88c53-7a73-ea11-a811-000d3a5a17e3,aee95b46-9c73-ea11-a811-000d3a5a17c5,24,22,08c066e0-5870-ea11-a811-000d3a5a1bf8,07-04-2020 14:47,Duckbill w/ Shield (REG),"Tuesday, April 7, 2020"
