msft_facilitydischargeinformationid,msft_facility,msft_anticipateddischargesinnext24hours,msft_yesterdaysactualdischarge,msft_authorization,msft_dme,msft_guardianship,msft_hcs,msft_placement,msft_skillednursingfacility,msft_totallongstanding,createdby,createdon,Date Taken DateOnly
25edeeca-0a75-ea11-a811-000d3a5a17e3,fd4282d9-7c73-ea11-a811-000d3a5a17e3,9,15,3,5,2,2,8,3,23,08c066e0-5870-ea11-a811-000d3a5a1bf8,43923.7452,"Thursday, April 2, 2020"
4e79eb06-0b75-ea11-a811-000d3a5a17e3,fe3473af-7c73-ea11-a811-000d3a5a17e3,15,22,4,6,3,5,9,2,29,08c066e0-5870-ea11-a811-000d3a5a1bf8,43923.74637,"Thursday, April 2, 2020"
1a032f23-2f78-ea11-a811-000d3a5a17e3,96a4d548-7a73-ea11-a811-000d3a5a1bf8,18,14,5,2,8,1,5,6,27,b4210a61-670d-ea11-a812-000d3a5a1fad,43927.74363,"Monday, April 6, 2020"
64bca1e1-0a75-ea11-a811-000d3a5a1bf8,12db6feb-7c73-ea11-a811-000d3a5a17e3,7,16,4,2,1,5,6,8,26,08c066e0-5870-ea11-a811-000d3a5a1bf8,43923.7456,"Thursday, April 2, 2020"
e4e07661-0b75-ea11-a811-000d3a5a1bf8,52b88c53-7a73-ea11-a811-000d3a5a17e3,8,15,3,5,4,6,1,5,24,08c066e0-5870-ea11-a811-000d3a5a1bf8,43923.74809,"Thursday, April 2, 2020"
829f6ecc-0e75-ea11-a811-000d3a5a1bf8,017990c1-7c73-ea11-a811-000d3a5a17e3,6,12,2,1,2,3,5,3,16,08c066e0-5870-ea11-a811-000d3a5a1bf8,43923.76514,"Thursday, April 2, 2020"
89121d60-dd78-ea11-a812-000d3a5a1fad,017990c1-7c73-ea11-a811-000d3a5a17e3,9,15,4,2,3,4,4,4,18,08c066e0-5870-ea11-a811-000d3a5a1bf8,43928.60992,"Tuesday, April 7, 2020"
8b121d60-dd78-ea11-a812-000d3a5a1fad,52b88c53-7a73-ea11-a811-000d3a5a17e3,6,9,3,6,6,3,2,6,20,08c066e0-5870-ea11-a811-000d3a5a1bf8,43928.60992,"Tuesday, April 7, 2020"
8d121d60-dd78-ea11-a812-000d3a5a1fad,fe3473af-7c73-ea11-a811-000d3a5a17e3,13,16,3,7,5,6,6,3,32,08c066e0-5870-ea11-a811-000d3a5a1bf8,43928.60992,"Tuesday, April 7, 2020"
8f121d60-dd78-ea11-a812-000d3a5a1fad,12db6feb-7c73-ea11-a811-000d3a5a17e3,9,18,2,3,4,4,4,8,28,08c066e0-5870-ea11-a811-000d3a5a1bf8,43928.60992,"Tuesday, April 7, 2020"
91121d60-dd78-ea11-a812-000d3a5a1fad,fd4282d9-7c73-ea11-a811-000d3a5a17e3,11,15,5,8,3,1,3,3,24,08c066e0-5870-ea11-a811-000d3a5a1bf8,43928.60992,"Tuesday, April 7, 2020"
93121d60-dd78-ea11-a812-000d3a5a1fad,017990c1-7c73-ea11-a811-000d3a5a17e3,9,12,3,4,2,6,3,3,20,08c066e0-5870-ea11-a811-000d3a5a1bf8,43928.60992,"Tuesday, April 7, 2020"
95121d60-dd78-ea11-a812-000d3a5a1fad,52b88c53-7a73-ea11-a811-000d3a5a17e3,8,15,8,5,3,7,6,7,25,08c066e0-5870-ea11-a811-000d3a5a1bf8,43928.60992,"Tuesday, April 7, 2020"
97121d60-dd78-ea11-a812-000d3a5a1fad,fe3473af-7c73-ea11-a811-000d3a5a17e3,12,13,4,3,4,3,3,3,27,08c066e0-5870-ea11-a811-000d3a5a1bf8,43928.60992,"Tuesday, April 7, 2020"
99121d60-dd78-ea11-a812-000d3a5a1fad,12db6feb-7c73-ea11-a811-000d3a5a17e3,8,12,5,2,5,7,7,5,29,08c066e0-5870-ea11-a811-000d3a5a1bf8,43928.60992,"Tuesday, April 7, 2020"
9b121d60-dd78-ea11-a812-000d3a5a1fad,fd4282d9-7c73-ea11-a811-000d3a5a17e3,14,16,6,7,5,8,2,6,25,08c066e0-5870-ea11-a811-000d3a5a1bf8,43928.60992,"Tuesday, April 7, 2020"
9d121d60-dd78-ea11-a812-000d3a5a1fad,017990c1-7c73-ea11-a811-000d3a5a17e3,11,13,5,2,4,8,1,5,22,08c066e0-5870-ea11-a811-000d3a5a1bf8,43928.60992,"Tuesday, April 7, 2020"
9f121d60-dd78-ea11-a812-000d3a5a1fad,52b88c53-7a73-ea11-a811-000d3a5a17e3,10,17,6,7,2,4,4,5,23,08c066e0-5870-ea11-a811-000d3a5a1bf8,43928.60992,"Tuesday, April 7, 2020"
a1121d60-dd78-ea11-a812-000d3a5a1fad,fe3473af-7c73-ea11-a811-000d3a5a17e3,14,15,6,1,3,2,7,1,29,08c066e0-5870-ea11-a811-000d3a5a1bf8,43928.60992,"Tuesday, April 7, 2020"
a3121d60-dd78-ea11-a812-000d3a5a1fad,12db6feb-7c73-ea11-a811-000d3a5a17e3,6,15,8,5,7,9,5,7,35,08c066e0-5870-ea11-a811-000d3a5a1bf8,43928.60992,"Tuesday, April 7, 2020"
a5121d60-dd78-ea11-a812-000d3a5a1fad,fd4282d9-7c73-ea11-a811-000d3a5a17e3,12,18,5,9,3,6,0,4,27,08c066e0-5870-ea11-a811-000d3a5a1bf8,43928.60992,"Tuesday, April 7, 2020"
