msft_censusid,msft_location,msft_currentcensus,createdon,createdby,Census Date (date only)
c2bb8bab-b873-ea11-a811-000d3a5a17e3,16c06769-8e73-ea11-a811-000d3a5a1bf8,18,43922.06435,08c066e0-5870-ea11-a811-000d3a5a1bf8,"Wednesday, April 1, 2020"
c13c4f38-3074-ea11-a811-000d3a5a17e3,6aae552a-9c73-ea11-a811-000d3a5a14b6,5,43922.6587,08c066e0-5870-ea11-a811-000d3a5a1bf8,"Wednesday, April 1, 2020"
33fb03ba-3074-ea11-a811-000d3a5a17e3,6cae552a-9c73-ea11-a811-000d3a5a14b6,12,43922.66123,08c066e0-5870-ea11-a811-000d3a5a1bf8,"Wednesday, April 1, 2020"
be0f44f8-3074-ea11-a811-000d3a5a17e3,6eae552a-9c73-ea11-a811-000d3a5a14b6,5,43922.66245,08c066e0-5870-ea11-a811-000d3a5a1bf8,"Wednesday, April 1, 2020"
8050831c-3174-ea11-a811-000d3a5a17e3,70ae552a-9c73-ea11-a811-000d3a5a14b6,7,43922.66306,08c066e0-5870-ea11-a811-000d3a5a1bf8,"Wednesday, April 1, 2020"
5416da66-3474-ea11-a811-000d3a5a17e3,72ae552a-9c73-ea11-a811-000d3a5a14b6,3,43922.67943,08c066e0-5870-ea11-a811-000d3a5a1bf8,"Wednesday, April 1, 2020"
c89c2d7f-3474-ea11-a811-000d3a5a17e3,74ae552a-9c73-ea11-a811-000d3a5a14b6,6,43922.6799,08c066e0-5870-ea11-a811-000d3a5a1bf8,"Wednesday, April 1, 2020"
a3ad848b-3474-ea11-a811-000d3a5a17e3,76ae552a-9c73-ea11-a811-000d3a5a14b6,6,43922.6802,08c066e0-5870-ea11-a811-000d3a5a1bf8,"Wednesday, April 1, 2020"
84156161-3574-ea11-a811-000d3a5a17e3,7aae552a-9c73-ea11-a811-000d3a5a14b6,3,43922.68429,08c066e0-5870-ea11-a811-000d3a5a1bf8,"Wednesday, April 1, 2020"
a109e8a3-3674-ea11-a811-000d3a5a17e3,7eae552a-9c73-ea11-a811-000d3a5a14b6,7,43922.69054,08c066e0-5870-ea11-a811-000d3a5a1bf8,"Wednesday, April 1, 2020"
746e02d4-3674-ea11-a811-000d3a5a17e3,82ae552a-9c73-ea11-a811-000d3a5a14b6,2,43922.6915,08c066e0-5870-ea11-a811-000d3a5a1bf8,"Wednesday, April 1, 2020"
3a9ab3fe-3674-ea11-a811-000d3a5a17e3,88ae552a-9c73-ea11-a811-000d3a5a14b6,3,43922.69233,08c066e0-5870-ea11-a811-000d3a5a1bf8,"Wednesday, April 1, 2020"
a2f03335-3774-ea11-a811-000d3a5a17e3,8cae552a-9c73-ea11-a811-000d3a5a14b6,9,43922.69345,08c066e0-5870-ea11-a811-000d3a5a1bf8,"Wednesday, April 1, 2020"
7a514ccd-3774-ea11-a811-000d3a5a17e3,8eae552a-9c73-ea11-a811-000d3a5a14b6,6,43922.69631,08c066e0-5870-ea11-a811-000d3a5a1bf8,"Wednesday, April 1, 2020"
8f294bd9-3774-ea11-a811-000d3a5a17e3,90ae552a-9c73-ea11-a811-000d3a5a14b6,5,43922.69657,08c066e0-5870-ea11-a811-000d3a5a1bf8,"Wednesday, April 1, 2020"
6e6c76a5-3974-ea11-a811-000d3a5a17e3,92ae552a-9c73-ea11-a811-000d3a5a14b6,4,43922.7055,08c066e0-5870-ea11-a811-000d3a5a1bf8,"Wednesday, April 1, 2020"
9922b7c7-3b74-ea11-a811-000d3a5a17e3,96ae552a-9c73-ea11-a811-000d3a5a14b6,5,43922.71609,08c066e0-5870-ea11-a811-000d3a5a1bf8,"Wednesday, April 1, 2020"
9971cbd3-3b74-ea11-a811-000d3a5a17e3,98ae552a-9c73-ea11-a811-000d3a5a14b6,3,43922.71632,08c066e0-5870-ea11-a811-000d3a5a1bf8,"Wednesday, April 1, 2020"
bd4652f8-3b74-ea11-a811-000d3a5a17e3,9aae552a-9c73-ea11-a811-000d3a5a14b6,7,43922.71707,08c066e0-5870-ea11-a811-000d3a5a1bf8,"Wednesday, April 1, 2020"
8d92de2e-3f74-ea11-a811-000d3a5a17e3,a2ae552a-9c73-ea11-a811-000d3a5a14b6,3,43922.733,08c066e0-5870-ea11-a811-000d3a5a1bf8,"Wednesday, April 1, 2020"
7e544265-3f74-ea11-a811-000d3a5a17e3,aaae552a-9c73-ea11-a811-000d3a5a14b6,9,43922.73407,08c066e0-5870-ea11-a811-000d3a5a1bf8,"Wednesday, April 1, 2020"
07f6ca1e-4774-ea11-a811-000d3a5a17e3,baae552a-9c73-ea11-a811-000d3a5a14b6,2,43922.77247,08c066e0-5870-ea11-a811-000d3a5a1bf8,"Wednesday, April 1, 2020"
237638e8-4774-ea11-a811-000d3a5a17e3,beae552a-9c73-ea11-a811-000d3a5a14b6,4,43922.77638,08c066e0-5870-ea11-a811-000d3a5a1bf8,"Wednesday, April 1, 2020"
c2094b74-4874-ea11-a811-000d3a5a17e3,c4ae552a-9c73-ea11-a811-000d3a5a14b6,5,43922.77912,08c066e0-5870-ea11-a811-000d3a5a1bf8,"Wednesday, April 1, 2020"
c5100f1f-2e75-ea11-a811-000d3a5a17e3,698c95d8-ac73-ea11-a811-000d3a5a1707,26,43923.92081,6332d21e-670d-ea11-a812-000d3a5a1fad,"Thursday, April 2, 2020"
f59e2b66-bf75-ea11-a811-000d3a5a17e3,b2ae552a-9c73-ea11-a811-000d3a5a14b6,10,43924.64296,08c066e0-5870-ea11-a811-000d3a5a1bf8,"Friday, April 3, 2020"
55eba3e0-2e78-ea11-a811-000d3a5a17e3,ff8c95d8-ac73-ea11-a811-000d3a5a1707,25,43927.74237,b4210a61-670d-ea11-a812-000d3a5a1fad,"Monday, April 6, 2020"
91619fa9-e678-ea11-a811-000d3a5a17e3,92ae552a-9c73-ea11-a811-000d3a5a14b6,7,43928.65593,08c066e0-5870-ea11-a811-000d3a5a1bf8,"Tuesday, April 7, 2020"
cd83cbb5-e678-ea11-a811-000d3a5a17e3,96ae552a-9c73-ea11-a811-000d3a5a14b6,8,43928.65615,08c066e0-5870-ea11-a811-000d3a5a1bf8,"Tuesday, April 7, 2020"
681dcfc1-e678-ea11-a811-000d3a5a17e3,9aae552a-9c73-ea11-a811-000d3a5a14b6,9,43928.65645,08c066e0-5870-ea11-a811-000d3a5a1bf8,"Tuesday, April 7, 2020"
cd37dfc7-e678-ea11-a811-000d3a5a17e3,9cae552a-9c73-ea11-a811-000d3a5a14b6,9,43928.6565,08c066e0-5870-ea11-a811-000d3a5a1bf8,"Tuesday, April 7, 2020"
d77bd7cd-e678-ea11-a811-000d3a5a17e3,9eae552a-9c73-ea11-a811-000d3a5a14b6,8,43928.65664,08c066e0-5870-ea11-a811-000d3a5a1bf8,"Tuesday, April 7, 2020"
c615409b-287b-ea11-a812-000d3a5a17e3,b26c8437-b173-ea11-a811-000d3a5a1707,15,43931.52888,b4210a61-670d-ea11-a812-000d3a5a1fad,"Friday, April 10, 2020"
7730cce3-ca80-ea11-a812-000d3a5a17e3,478d95d8-ac73-ea11-a811-000d3a5a1707,15,43938.69856,08c066e0-5870-ea11-a811-000d3a5a1bf8,"Friday, April 17, 2020"
7d64ab9c-3474-ea11-a811-000d3a5a1bf8,78ae552a-9c73-ea11-a811-000d3a5a14b6,1,43922.68056,08c066e0-5870-ea11-a811-000d3a5a1bf8,"Wednesday, April 1, 2020"
2f28e688-3674-ea11-a811-000d3a5a1bf8,7cae552a-9c73-ea11-a811-000d3a5a14b6,5,43922.69007,08c066e0-5870-ea11-a811-000d3a5a1bf8,"Wednesday, April 1, 2020"
54c604bf-3674-ea11-a811-000d3a5a1bf8,80ae552a-9c73-ea11-a811-000d3a5a14b6,2,43922.69109,08c066e0-5870-ea11-a811-000d3a5a1bf8,"Wednesday, April 1, 2020"
18cd11e3-3674-ea11-a811-000d3a5a1bf8,84ae552a-9c73-ea11-a811-000d3a5a14b6,9,43922.69182,08c066e0-5870-ea11-a811-000d3a5a1bf8,"Wednesday, April 1, 2020"
