msft_equipmentneededid,msft_location,msft_paprchargersinuse,msft_paprhoodsinuse,msft_parpbeltsinuse,msft_ventsinuse,createdby,createdon,Equipment Needed DateOnly
9022f0d3-b873-ea11-a811-000d3a5a17e3,16c06769-8e73-ea11-a811-000d3a5a1bf8,4,4,4,5,08c066e0-5870-ea11-a811-000d3a5a1bf8,43922.06521,"Wednesday, April 1, 2020"
8450831c-3174-ea11-a811-000d3a5a17e3,70ae552a-9c73-ea11-a811-000d3a5a14b6,3,3,3,3,08c066e0-5870-ea11-a811-000d3a5a1bf8,43922.66306,"Wednesday, April 1, 2020"
cb9c2d7f-3474-ea11-a811-000d3a5a17e3,74ae552a-9c73-ea11-a811-000d3a5a14b6,2,2,2,1,08c066e0-5870-ea11-a811-000d3a5a1bf8,43922.6799,"Wednesday, April 1, 2020"
a5ad848b-3474-ea11-a811-000d3a5a17e3,76ae552a-9c73-ea11-a811-000d3a5a14b6,2,2,2,2,08c066e0-5870-ea11-a811-000d3a5a1bf8,43922.6802,"Wednesday, April 1, 2020"
a309e8a3-3674-ea11-a811-000d3a5a17e3,7eae552a-9c73-ea11-a811-000d3a5a14b6,2,2,2,1,08c066e0-5870-ea11-a811-000d3a5a1bf8,43922.69056,"Wednesday, April 1, 2020"
8ccf48e0-3674-ea11-a811-000d3a5a17e3,84ae552a-9c73-ea11-a811-000d3a5a14b6,1,1,1,1,08c066e0-5870-ea11-a811-000d3a5a1bf8,43922.69182,"Wednesday, April 1, 2020"
45d6b40a-3774-ea11-a811-000d3a5a17e3,8aae552a-9c73-ea11-a811-000d3a5a14b6,1,1,1,1,08c066e0-5870-ea11-a811-000d3a5a1bf8,43922.69263,"Wednesday, April 1, 2020"
7d514ccd-3774-ea11-a811-000d3a5a17e3,8eae552a-9c73-ea11-a811-000d3a5a14b6,2,2,2,2,08c066e0-5870-ea11-a811-000d3a5a1bf8,43922.69632,"Wednesday, April 1, 2020"
94294bd9-3774-ea11-a811-000d3a5a17e3,90ae552a-9c73-ea11-a811-000d3a5a14b6,2,2,2,1,08c066e0-5870-ea11-a811-000d3a5a1bf8,43922.69657,"Wednesday, April 1, 2020"
706c76a5-3974-ea11-a811-000d3a5a17e3,92ae552a-9c73-ea11-a811-000d3a5a14b6,2,2,2,1,08c066e0-5870-ea11-a811-000d3a5a1bf8,43922.70551,"Wednesday, April 1, 2020"
4f23c2ab-3974-ea11-a811-000d3a5a17e3,94ae552a-9c73-ea11-a811-000d3a5a14b6,2,2,2,1,08c066e0-5870-ea11-a811-000d3a5a1bf8,43922.70569,"Wednesday, April 1, 2020"
9d22b7c7-3b74-ea11-a811-000d3a5a17e3,96ae552a-9c73-ea11-a811-000d3a5a14b6,2,2,2,1,08c066e0-5870-ea11-a811-000d3a5a1bf8,43922.71609,"Wednesday, April 1, 2020"
9c71cbd3-3b74-ea11-a811-000d3a5a17e3,98ae552a-9c73-ea11-a811-000d3a5a14b6,1,1,1,0,08c066e0-5870-ea11-a811-000d3a5a1bf8,43922.71632,"Wednesday, April 1, 2020"
c14652f8-3b74-ea11-a811-000d3a5a17e3,9aae552a-9c73-ea11-a811-000d3a5a14b6,2,2,2,1,08c066e0-5870-ea11-a811-000d3a5a1bf8,43922.71707,"Wednesday, April 1, 2020"
b7c1c991-3d74-ea11-a811-000d3a5a17e3,9eae552a-9c73-ea11-a811-000d3a5a14b6,2,2,2,1,08c066e0-5870-ea11-a811-000d3a5a1bf8,43922.72503,"Wednesday, April 1, 2020"
22bf2035-3f74-ea11-a811-000d3a5a17e3,a4ae552a-9c73-ea11-a811-000d3a5a14b6,2,2,2,1,08c066e0-5870-ea11-a811-000d3a5a1bf8,43922.73318,"Wednesday, April 1, 2020"
f0c45453-3f74-ea11-a811-000d3a5a17e3,a8ae552a-9c73-ea11-a811-000d3a5a14b6,1,1,1,1,08c066e0-5870-ea11-a811-000d3a5a1bf8,43922.7338,"Wednesday, April 1, 2020"
377ba448-4074-ea11-a811-000d3a5a17e3,b0ae552a-9c73-ea11-a811-000d3a5a14b6,2,2,2,1,08c066e0-5870-ea11-a811-000d3a5a1bf8,43922.73854,"Wednesday, April 1, 2020"
2e7638e8-4774-ea11-a811-000d3a5a17e3,beae552a-9c73-ea11-a811-000d3a5a14b6,1,1,1,,08c066e0-5870-ea11-a811-000d3a5a1bf8,43922.77639,"Wednesday, April 1, 2020"
75a4a455-4874-ea11-a811-000d3a5a17e3,c2ae552a-9c73-ea11-a811-000d3a5a14b6,2,2,2,1,08c066e0-5870-ea11-a811-000d3a5a1bf8,43922.77852,"Wednesday, April 1, 2020"
299f2b66-bf75-ea11-a811-000d3a5a17e3,b2ae552a-9c73-ea11-a811-000d3a5a14b6,3,3,3,2,08c066e0-5870-ea11-a811-000d3a5a1bf8,43924.64299,"Friday, April 3, 2020"
cd2e9ce6-2e78-ea11-a811-000d3a5a17e3,ff8c95d8-ac73-ea11-a811-000d3a5a1707,3,5,8,4,b4210a61-670d-ea11-a812-000d3a5a1fad,43927.7424,"Monday, April 6, 2020"
6266c315-ec78-ea11-a811-000d3a5a17e3,1d8d95d8-ac73-ea11-a811-000d3a5a1707,6,6,6,5,08c066e0-5870-ea11-a811-000d3a5a1bf8,43928.68293,"Tuesday, April 7, 2020"
f08d8a69-9085-ea11-a812-000d3a5a17e3,ff8c95d8-ac73-ea11-a811-000d3a5a1707,4,4,4,5,08c066e0-5870-ea11-a811-000d3a5a1bf8,43944.77081,"Thursday, April 23, 2020"
1668cabb-3074-ea11-a811-000d3a5a1bf8,6cae552a-9c73-ea11-a811-000d3a5a14b6,3,3,3,4,08c066e0-5870-ea11-a811-000d3a5a1bf8,43922.66124,"Wednesday, April 1, 2020"
e6e874f8-3074-ea11-a811-000d3a5a1bf8,6eae552a-9c73-ea11-a811-000d3a5a14b6,6,6,6,2,08c066e0-5870-ea11-a811-000d3a5a1bf8,43922.66247,"Wednesday, April 1, 2020"
9f85c866-3474-ea11-a811-000d3a5a1bf8,72ae552a-9c73-ea11-a811-000d3a5a14b6,2,2,2,1,08c066e0-5870-ea11-a811-000d3a5a1bf8,43922.67943,"Wednesday, April 1, 2020"
