msft_department,msft_staffingtypeid,msft_staffingtypename
beaaccb0-af89-ea11-a812-000d3a5a17e3,d3336a61-b973-ea11-a811-000d3a5a17c5,Other - Describe Below
beaaccb0-af89-ea11-a812-000d3a5a17e3,d5336a61-b973-ea11-a811-000d3a5a17c5,Shared Resources
beaaccb0-af89-ea11-a812-000d3a5a17e3,d7336a61-b973-ea11-a811-000d3a5a17c5,HR
8f0a33e6-b189-ea11-a812-000d3a5a17e3,d9336a61-b973-ea11-a811-000d3a5a17c5,IS/Technology
9af920ca-8d73-ea11-a811-000d3a5a1fbe,db336a61-b973-ea11-a811-000d3a5a17c5,Extender
acf920ca-8d73-ea11-a811-000d3a5a1fbe,dd336a61-b973-ea11-a811-000d3a5a17c5,Tele RN
9af920ca-8d73-ea11-a811-000d3a5a1fbe,df336a61-b973-ea11-a811-000d3a5a17c5,RN Partner/Extender
9af920ca-8d73-ea11-a811-000d3a5a1fbe,e1336a61-b973-ea11-a811-000d3a5a17c5,Med Surge RN
67e1835d-ab89-ea11-a812-000d3a5a17e3,e3336a61-b973-ea11-a811-000d3a5a17c5,Transporter
8f0a33e6-b189-ea11-a812-000d3a5a17e3,e5336a61-b973-ea11-a811-000d3a5a17c5,Supplies/MSC/Inventory Support
acf920ca-8d73-ea11-a811-000d3a5a1fbe,e7336a61-b973-ea11-a811-000d3a5a17c5,Social Work
67e1835d-ab89-ea11-a812-000d3a5a17e3,e9336a61-b973-ea11-a811-000d3a5a17c5,Runner
9af920ca-8d73-ea11-a811-000d3a5a1fbe,eb336a61-b973-ea11-a811-000d3a5a17c5,RT Partner/Extender
acf920ca-8d73-ea11-a811-000d3a5a1fbe,ed336a61-b973-ea11-a811-000d3a5a17c5,Psychological Therapy Support
beaaccb0-af89-ea11-a812-000d3a5a17e3,ef336a61-b973-ea11-a811-000d3a5a17c5,PSA
beaaccb0-af89-ea11-a812-000d3a5a17e3,f1336a61-b973-ea11-a811-000d3a5a17c5,Patient Escort (non-patient care)
beaaccb0-af89-ea11-a812-000d3a5a17e3,f3336a61-b973-ea11-a811-000d3a5a17c5,On-Unit help misc. (non-patient care)
acf920ca-8d73-ea11-a811-000d3a5a1fbe,f5336a61-b973-ea11-a811-000d3a5a17c5,Nutrition/Food Support
9cf920ca-8d73-ea11-a811-000d3a5a1fbe,f7336a61-b973-ea11-a811-000d3a5a17c5,Monitor Tech
46b01f45-b289-ea11-a812-000d3a5a17e3,f9336a61-b973-ea11-a811-000d3a5a17c5,Medical Record entry
f254dd18-b289-ea11-a812-000d3a5a17e3,fb336a61-b973-ea11-a811-000d3a5a17c5,IV RN Support
4af20f1f-b189-ea11-a812-000d3a5a17e3,fd336a61-b973-ea11-a811-000d3a5a17c5,Imaging
acf920ca-8d73-ea11-a811-000d3a5a1fbe,ff336a61-b973-ea11-a811-000d3a5a17c5,HUC
beaaccb0-af89-ea11-a812-000d3a5a17e3,01346a61-b973-ea11-a811-000d3a5a17c5,Facilities/Furniture/Repair
beaaccb0-af89-ea11-a812-000d3a5a17e3,03346a61-b973-ea11-a811-000d3a5a17c5,Environmental Services (EVS)
67e1835d-ab89-ea11-a812-000d3a5a17e3,05346a61-b973-ea11-a811-000d3a5a17c5,Entry Control Point
beaaccb0-af89-ea11-a812-000d3a5a17e3,07346a61-b973-ea11-a811-000d3a5a17c5,Educators for PPE
67e1835d-ab89-ea11-a812-000d3a5a17e3,09346a61-b973-ea11-a811-000d3a5a17c5,ED Tech
9cf920ca-8d73-ea11-a811-000d3a5a1fbe,0b346a61-b973-ea11-a811-000d3a5a17c5,Covid Safety Monitor
9ef920ca-8d73-ea11-a811-000d3a5a1fbe,0d346a61-b973-ea11-a811-000d3a5a17c5,CNA
acf920ca-8d73-ea11-a811-000d3a5a1fbe,0f346a61-b973-ea11-a811-000d3a5a17c5,Clinical Engineering
9cf920ca-8d73-ea11-a811-000d3a5a1fbe,11346a61-b973-ea11-a811-000d3a5a17c5,ICU RN
acf920ca-8d73-ea11-a811-000d3a5a1fbe,13346a61-b973-ea11-a811-000d3a5a17c5,Case Management
