Region,Country,Campaign_Name,Revenue,Revenue_Target,City,State
Far West,US,EnjoyTheMoment; BeUnique; TailoredForYou,"$14,992.00","$15,699.00",San Diego,California
Far West,US,EnjoyTheMoment; BeUnique; TailoredForYou,"$9,935.00","$15,232.00",San Diego,California
Far West,US,EnjoyTheMoment; BeUnique; TailoredForYou,"$15,119.00","$17,269.00",San Diego,California
Far West,US,EnjoyTheMoment; BeUnique; TailoredForYou,"$15,740.00","$7,685.00",San Diego,California
Far West,US,EnjoyTheMoment; BeUnique; TailoredForYou,"$14,778.00","$13,122.00",San Diego,California
Far West,US,EnjoyTheMoment; BeUnique; TailoredForYou,"$10,296.00","$7,313.00",San Diego,California
Far West,US,EnjoyTheMoment; BeUnique; TailoredForYou,"$14,605.00","$18,971.00",San Diego,California
Far West,US,EnjoyTheMoment; BeUnique; TailoredForYou,"$14,328.00","$15,577.00",San Diego,California
Far West,US,EnjoyTheMoment; BeUnique; TailoredForYou,"$11,247.00","$10,339.00",San Diego,California
Far West,US,EnjoyTheMoment; BeUnique; TailoredForYou,"$12,409.00","$10,914.00",San Diego,California
Far West,US,EnjoyTheMoment; BeUnique; TailoredForYou,"$5,418.00","$13,970.00",San Diego,California
Far West,US,EnjoyTheMoment; BeUnique; TailoredForYou,"$15,387.00","$6,961.00",San Diego,California
Far West,US,EnjoyTheMoment; BeUnique; TailoredForYou,"$11,620.00","$17,230.00",San Diego,California
Far West,US,EnjoyTheMoment; BeUnique; TailoredForYou,"$17,859.00","$17,681.00",San Diego,California
Far West,US,EnjoyTheMoment; BeUnique; TailoredForYou,"$6,738.00","$11,176.00",San Diego,California
Far West,US,EnjoyTheMoment; BeUnique; TailoredForYou,"$10,934.00","$19,723.00",San Diego,California
Far West,US,EnjoyTheMoment; BeUnique; TailoredForYou,"$9,963.00","$18,377.00",San Diego,California
Far West,US,EnjoyTheMoment; BeUnique; TailoredForYou,"$10,344.00","$15,220.00",San Diego,California
Far West,US,EnjoyTheMoment; BeUnique; TailoredForYou,"$7,842.00","$10,624.00",San Diego,California
Far West,US,EnjoyTheMoment; BeUnique; TailoredForYou,"$13,735.00","$16,671.00",San Diego,California
Far West,US,EnjoyTheMoment; BeUnique; TailoredForYou,"$14,290.00","$10,487.00",San Diego,California
Far West,US,EnjoyTheMoment; BeUnique; TailoredForYou,"$12,739.00","$19,242.00",San Diego,California
Far West,US,EnjoyTheMoment; BeUnique; TailoredForYou,"$19,503.00","$14,609.00",San Diego,California
Far West,US,EnjoyTheMoment; BeUnique; TailoredForYou,"$5,496.00","$15,301.00",San Diego,California
Far West,US,EnjoyTheMoment; BeUnique; TailoredForYou,"$11,441.00","$6,741.00",San Diego,California
Far West,US,EnjoyTheMoment; BeUnique; TailoredForYou,"$13,006.00","$15,079.00",San Diego,California
Far West,US,EnjoyTheMoment; BeUnique; TailoredForYou,"$13,070.00","$16,389.00",San Diego,California
Far West,US,EnjoyTheMoment; BeUnique; TailoredForYou,"$13,873.00","$10,617.00",San Diego,California
Far West,US,EnjoyTheMoment; BeUnique; TailoredForYou,"$16,611.00","$7,917.00",San Diego,California
Far West,US,EnjoyTheMoment; BeUnique; TailoredForYou,"$12,174.00","$6,996.00",San Diego,California
Far West,US,EnjoyTheMoment; BeUnique; TailoredForYou,"$5,867.00","$19,049.00",San Diego,California
Far West,US,EnjoyTheMoment; BeUnique; TailoredForYou,"$9,112.00","$11,930.00",San Diego,California
Far West,US,EnjoyTheMoment; BeUnique; TailoredForYou,"$16,386.00","$9,989.00",San Diego,California
Far West,US,EnjoyTheMoment; BeUnique; TailoredForYou,"$14,691.00","$14,601.00",San Diego,California
Far West,US,EnjoyTheMoment; BeUnique; TailoredForYou,"$12,974.00","$19,462.00",San Diego,California
Far West,US,EnjoyTheMoment; BeUnique; TailoredForYou,"$10,246.00","$18,683.00",San Diego,California
Far West,US,EnjoyTheMoment; BeUnique; TailoredForYou,"$5,333.00","$7,346.00",San Diego,California
Far West,US,EnjoyTheMoment; BeUnique; TailoredForYou,"$11,059.00","$19,059.00",San Diego,California
Far West,US,EnjoyTheMoment; BeUnique; TailoredForYou,"$17,488.00","$9,941.00",San Diego,California
Far West,US,EnjoyTheMoment; BeUnique; TailoredForYou,"$12,711.00","$8,946.00",San Diego,California
Far West,US,EnjoyTheMoment; BeUnique; TailoredForYou,"$5,712.00","$6,947.00",San Diego,California
Far West,US,EnjoyTheMoment; BeUnique; TailoredForYou,"$10,027.00","$10,643.00",San Diego,California
Far West,US,EnjoyTheMoment; BeUnique; TailoredForYou,"$11,703.00","$9,822.00",San Diego,California
Far West,US,EnjoyTheMoment; BeUnique; TailoredForYou,"$16,207.00","$14,061.00",San Diego,California
Far West,US,EnjoyTheMoment; BeUnique; TailoredForYou,"$6,497.00","$6,147.00",San Diego,California
Far West,US,EnjoyTheMoment; BeUnique; TailoredForYou,"$16,850.00","$15,753.00",San Diego,California
Far West,US,EnjoyTheMoment; BeUnique; TailoredForYou,"$7,264.00","$9,868.00",San Diego,California
Far West,US,EnjoyTheMoment; BeUnique; TailoredForYou,"$16,062.00","$7,721.00",San Diego,California
Far West,US,EnjoyTheMoment; BeUnique; TailoredForYou,"$6,414.00","$12,619.00",San Diego,California
