Region,Country,Campaign_Name,Revenue,Revenue_Target,City,State,RoleID
South East,US,Hit the track,"$11,620.00 ","$17,230.00 ",Miami,Florida,20
South America,Mexico,Hit the track,"$8,121.00 ","$10,451.00 ",NULL,NULL,17
South East,US,Hit the track,"$5,333.00 ","$7,346.00 ",Miami,Florida,20
South America,Mexico,Hit the track,"$17,637.00 ","$6,876.00 ",NULL,NULL,17
South East,US,Hit the track,"$14,114.00 ","$15,482.00 ",Miami,Florida,20
South America,Brazil,Hit the track,"$10,934.00 ","$19,723.00 ",NULL,NULL,17
South East,US,Hit the track,"$14,114.00 ","$15,482.00 ",Miami,Florida,20
South America,Brazil,Hit the track,"$16,347.00 ","$6,942.00 ",NULL,NULL,17
South East,US,Hit the track,"$11,620.00 ","$17,230.00 ",Miami,Florida,20
South America,Brazil,Hit the track,"$16,347.00 ","$6,942.00 ",NULL,NULL,17
South East,US,Hit the track,"$5,333.00 ","$7,346.00 ",Miami,Florida,20
South America,Mexico,Hit the track,"$7,133.00 ","$7,388.00 ",NULL,NULL,17
South East,US,Hit the track,"$10,182.00 ","$13,630.00 ",Miami,Florida,20
South America,Brazil,Hit the track,"$5,663.00 ","$16,837.00 ",NULL,NULL,17
South East,US,Hit the track,"$10,182.00 ","$13,630.00 ",Miami,Florida,20
South America,Mexico,Hit the track,"$7,133.00 ","$7,388.00 ",NULL,NULL,17
Asia Pacific,Japan,Hit the track,"$9,781.00 ","$19,592.00 ",NULL,NULL,20
Europe,France,Hit the track,"$14,445.00 ","$12,231.00 ",NULL,NULL,17
Asia Pacific,Japan,Hit the track,"$9,781.00 ","$19,592.00 ",NULL,NULL,20
Europe,Italy,Hit the track,"$17,484.00 ","$9,517.00 ",NULL,NULL,17
Asia Pacific,Indonesia,Hit the track,"$17,810.00 ","$7,536.00 ",NULL,NULL,20
Europe,Italy,Hit the track,"$7,505.00 ","$19,524.00 ",NULL,NULL,17
Asia Pacific,Indonesia,Hit the track,"$17,810.00 ","$7,536.00 ",NULL,NULL,20
Europe,France,Hit the track,"$14,445.00 ","$12,231.00 ",NULL,NULL,17
North & Central America,USA,Hit the track,"$6,689.00 ","$13,088.00 ",NULL,NULL,20
Europe,Italy,Hit the track,"$17,484.00 ","$9,517.00 ",NULL,NULL,17
North & Central America,USA,Hit the track,"$12,174.00 ","$6,996.00 ",NULL,NULL,20
Europe,Italy,Hit the track,"$7,505.00 ","$19,524.00 ",NULL,NULL,NULL
North & Central America,USA,Hit the track,"$10,865.00 ","$17,907.00 ",NULL,NULL,20
South America,Mexico,For Your Life,"$10,223.00 ","$17,414.00 ",NULL,NULL,NULL
North & Central America,Canada,Hit the track,"$17,486.00 ","$11,990.00 ",NULL,NULL,20
South America,Brazil,For Your Life,"$15,719.00 ","$8,723.00 ",NULL,NULL,NULL
North & Central America,USA,Hit the track,"$5,318.00 ","$16,079.00 ",NULL,NULL,20
South America,Mexico,For Your Life,"$9,250.00 ","$15,790.00 ",NULL,NULL,NULL
North & Central America,USA,Hit the track,"$6,689.00 ","$13,088.00 ",NULL,NULL,20
South America,Brazil,For Your Life,"$5,103.00 ","$6,799.00 ",NULL,NULL,NULL
North & Central America,USA,Hit the track,"$12,174.00 ","$6,996.00 ",NULL,NULL,20
South America,Mexico,For Your Life,"$7,197.00 ","$5,731.00 ",NULL,NULL,NULL
North & Central America,USA,Hit the track,"$10,865.00 ","$17,907.00 ",NULL,NULL,20
South America,Mexico,For Your Life,"$13,098.00 ","$5,663.00 ",NULL,NULL,NULL
North & Central America,Canada,Hit the track,"$17,486.00 ","$11,990.00 ",NULL,NULL,20
South America,Brazil,For Your Life,"$13,945.00 ","$13,624.00 ",NULL,NULL,NULL
North & Central America,USA,Hit the track,"$5,318.00 ","$16,079.00 ",NULL,NULL,20
South America,Brazil,For Your Life,"$11,245.00 ","$18,041.00 ",NULL,NULL,NULL
North & Central America,USA,Hit the track,"$7,014.00 ","$16,466.00 ",NULL,NULL,20
