msft_facilityid,msft_facilityname,msft_region,msft_totalvents,msft_addressstreet,msft_addresscity,msft_addressstate,msft_addresszip,msft_addresslat,msft_addresslong,msft_effectiveenddate,msft_effectivestartdate,Region,System,"City, ST"
52b88c53-7a73-ea11-a811-000d3a5a17e3,Sammamish,504a58e2-7873-ea11-a811-000d3a5a17e3,22,4708 W Medical Way,Sammamish,WA,98074,,,,43921.58333,Pacific North West,Smartter Health,"Sammamish, WA"
fe3473af-7c73-ea11-a811-000d3a5a17e3,East Cove,504a58e2-7873-ea11-a811-000d3a5a17e3,21,33030 1st Ave S,Federal Way,WA,98003,,,,43921.58333,Pacific North West,Smartter Health,"Federal Way, WA"
017990c1-7c73-ea11-a811-000d3a5a17e3,West Lake,504a58e2-7873-ea11-a811-000d3a5a17e3,25,5809 S  8th Street,Westlake,OR,97493,,,,43916.54167,Pacific North West,Smartter Health,"Westlake, OR"
fd4282d9-7c73-ea11-a811-000d3a5a17e3,Ballard,504a58e2-7873-ea11-a811-000d3a5a17e3,27,5698 W Durham Drive,Ballard,WA,98107,,,,43921.58333,Pacific North West,Smartter Health,"Ballard, WA"
12db6feb-7c73-ea11-a811-000d3a5a17e3,Bend Mountain Valley,504a58e2-7873-ea11-a811-000d3a5a17e3,28,7878 N Valley Med Blvd,Bend,OR,97703,,,,43921.58333,Pacific North West,Smartter Health,"Bend, OR"
3dfd4a93-8173-ea11-a811-000d3a5a17e3,Sacramento West,780754f4-7873-ea11-a811-000d3a5a17e3,18,32326 W 143 Ave,Sacramento,CA,95691,,,,43921.58333,South West,Smartter Health,"Sacramento, CA"
a00d0fe1-8173-ea11-a811-000d3a5a17e3,Burbank Star,780754f4-7873-ea11-a811-000d3a5a17e3,30,3897 W Medical Ave,Burbank,CA,91503,,,,43921.58333,South West,Smartter Health,"Burbank, CA"
b297e82e-8273-ea11-a811-000d3a5a17e3,Carlsbad Coastal,780754f4-7873-ea11-a811-000d3a5a17e3,26,7098 W Surgical Drive,Carlsbad,CA,92010,,,,43921.58333,South West,Smartter Health,"Carlsbad, CA"
51181332-8873-ea11-a811-000d3a5a17e3,Tucson,780754f4-7873-ea11-a811-000d3a5a17e3,15,5567 E Abraham Ave,Tucson,AZ,85701,,,,43921.58333,South West,Smartter Health,"Tucson, AZ"
e0f4db67-8873-ea11-a811-000d3a5a17e3,Grand Junction,780754f4-7873-ea11-a811-000d3a5a17e3,18,3241 N Junction East,Grand Junction,CO,81501,,,,43921.58333,South West,Smartter Health,"Grand Junction, CO"
2374280e-8f73-ea11-a811-000d3a5a17e3,Greater Allen Cathedral,fe8f9a30-7973-ea11-a811-000d3a5a17e3,8,110-31 Merrick Blvd,Jamaica,NY,11433,,,,43921.58333,North East,Smartter Health,"Jamaica, NY"
1cb1defb-8f73-ea11-a811-000d3a5a17e3,San Diego City College,780754f4-7873-ea11-a811-000d3a5a17e3,10,1313 Park Boulevard,San Diego,CA,92101-4787,,,,43921.58333,South West,Smartter Health,"San Diego, CA"
96a4d548-7a73-ea11-a811-000d3a5a1bf8,Capital Beach,02dbd954-7973-ea11-a811-000d3a5a17e3,22,,Washington,DC,20001,,,,43914.54167,Atlantic,Smartter Health,"Washington, DC"
0740f691-7a73-ea11-a811-000d3a5a1bf8,Halifax,02dbd954-7973-ea11-a811-000d3a5a17e3,22,,Virginia Beach,VA,23450,,,,43915.54167,Atlantic,Smartter Health,"Virginia Beach, VA"
0c524aa4-7a73-ea11-a811-000d3a5a1bf8,Shenandoah,02dbd954-7973-ea11-a811-000d3a5a17e3,20,,Richmond,VA,23173,,,,43907.54167,Atlantic,Smartter Health,"Richmond, VA"
2cec81b6-7a73-ea11-a811-000d3a5a1bf8,St. Charles,02dbd954-7973-ea11-a811-000d3a5a17e3,25,,Portland,ME,04101,,,,43893.58333,Atlantic,Smartter Health,"Portland, ME"
c564f4ce-7a73-ea11-a811-000d3a5a1bf8,North Carolina General,02dbd954-7973-ea11-a811-000d3a5a17e3,25,,Durham,NC,27701,,,,43895.58333,Atlantic,Smartter Health,"Durham, NC"
8cd82be1-7a73-ea11-a811-000d3a5a1bf8,Columbia General,02dbd954-7973-ea11-a811-000d3a5a17e3,19,,Columbia,SC,29201,,,,43915.54167,Atlantic,Smartter Health,"Columbia, SC"
a0d9a4ff-7a73-ea11-a811-000d3a5a1bf8,Palm Coast,9472dd60-7973-ea11-a811-000d3a5a17e3,22,,Jacksonville,FL,32099,,,,43915.54167,South East,Smartter Health,"Jacksonville, FL"
6c370712-7b73-ea11-a811-000d3a5a1bf8,Peachtree Community,9472dd60-7973-ea11-a811-000d3a5a17e3,30,,Atlanta,GA,30301,,,,43915.54167,South East,Smartter Health,"Atlanta, GA"
51ca291e-7b73-ea11-a811-000d3a5a1bf8,Oxford Grove,9472dd60-7973-ea11-a811-000d3a5a17e3,20,,Oxford,MS,38655,,,,43915.54167,South East,Smartter Health,"Oxford, MS"
3d94693c-7b73-ea11-a811-000d3a5a1bf8,South Beach,9472dd60-7973-ea11-a811-000d3a5a17e3,22,,Homestead,FL,28655,,,,43915.54167,South East,Smartter Health,"Homestead, FL"
49c2404f-7b73-ea11-a811-000d3a5a1bf8,Surf Island,9472dd60-7973-ea11-a811-000d3a5a17e3,20,,Savannah,GA,31401,,,,43916.54167,South East,Smartter Health,"Savannah, GA"
7a04745b-7b73-ea11-a811-000d3a5a1bf8,Gulf Shores,9472dd60-7973-ea11-a811-000d3a5a17e3,22,,Mobile,AL,36601,,,,43915.54167,South East,Smartter Health,"Mobile, AL"
4686b07a-7b73-ea11-a811-000d3a5a1bf8,Boston Group,fe8f9a30-7973-ea11-a811-000d3a5a17e3,26,,Boston,MA,02108,,,,43914.54167,North East,Smartter Health,"Boston, MA"
baccc486-7b73-ea11-a811-000d3a5a1bf8,Brooklyn Group,fe8f9a30-7973-ea11-a811-000d3a5a17e3,25,,Brooklyn,NY,11201,,,,43916.54167,North East,Smartter Health,"Brooklyn, NY"
6d79d898-7b73-ea11-a811-000d3a5a1bf8,Jersey Shore,fe8f9a30-7973-ea11-a811-000d3a5a17e3,22,,Jersey City,NJ,07097,,,,43916.54167,North East,Smartter Health,"Jersey City, NJ"
d39b01ab-7b73-ea11-a811-000d3a5a1bf8,Dutch Country,fe8f9a30-7973-ea11-a811-000d3a5a17e3,26,,Philadelphia,PA,19107,,,,43916.54167,North East,Smartter Health,"Philadelphia, PA"
28711cbd-7b73-ea11-a811-000d3a5a1bf8,Steel City,fe8f9a30-7973-ea11-a811-000d3a5a17e3,26,,Pittsburgh,PA,15201,,,,43916.54167,North East,Smartter Health,"Pittsburgh, PA"
a84b53d5-7b73-ea11-a811-000d3a5a1bf8,Niagra Group,fe8f9a30-7973-ea11-a811-000d3a5a17e3,25,,Buffalo,NY,14201,,,,43916.54167,North East,Smartter Health,"Buffalo, NY"
fc687ff9-7b73-ea11-a811-000d3a5a1bf8,Buckeye Healthcare,90058518-7973-ea11-a811-000d3a5a17e3,25,,Cincinnati,OH,45201,,,,43916.54167,Central East,Smartter Health,"Cincinnati, OH"
0decc90b-7c73-ea11-a811-000d3a5a1bf8,Motor City,90058518-7973-ea11-a811-000d3a5a17e3,25,,Detroit,MI,48201,,,,43916.54167,Central East,Smartter Health,"Detroit, MI"
6dccfd41-7c73-ea11-a811-000d3a5a1bf8,Volunteer Community,90058518-7973-ea11-a811-000d3a5a17e3,22,,Nashville,TN,37219,,,,43915.54167,Central East,Smartter Health,"Nashville, TN"
97504854-7c73-ea11-a811-000d3a5a1bf8,Preakness Community,90058518-7973-ea11-a811-000d3a5a17e3,19,,Lexington,KY,40502,,,,43915.54167,Central East,Smartter Health,"Lexington, KY"
8287e9d1-7f73-ea11-a811-000d3a5a1bf8,St. Louis Regional,0adf770c-7973-ea11-a811-000d3a5a17e3,25,,St. Louis,MO,63101,,,,43916.54167,Central West,Smartter Health,"St. Louis, MO"
a176d6e9-7f73-ea11-a811-000d3a5a1bf8,Arrowhead Community,0adf770c-7973-ea11-a811-000d3a5a17e3,22,,Kansas City,MO,64101,,,,43915.54167,Central West,Smartter Health,"Kansas City, MO"
cd45f71f-8073-ea11-a811-000d3a5a1bf8,St. Anthony,0adf770c-7973-ea11-a811-000d3a5a17e3,22,,Minneapolis,MN,55414,,,,43915.54167,Central West,Smartter Health,"Minneapolis, MN"
adf2a8a4-8073-ea11-a811-000d3a5a1bf8,Des Moines General,0adf770c-7973-ea11-a811-000d3a5a17e3,19,,Des Moines,IA,50301,,,,43916.54167,Central West,Smartter Health,"Des Moines, IA"
7f495ac4-8073-ea11-a811-000d3a5a1bf8,Milwaukee Community,0adf770c-7973-ea11-a811-000d3a5a17e3,20,,Milwaukee,WI,53201,,,,43915.54167,Central West,Smartter Health,"Milwaukee, WI"
