msft_locationid,msft_locationname,msft_factility,msft_floor,msft_unit,msft_acuity,COVID Location,msft_alternatesiteflag,msft_totalbeds,msft_surgebeds,msft_blockedbeds,msft_effectiveenddate,msft_effectivestatedate,Acuity,Acuity ICU,msft_acuitytype_code,Acuity Type
76ae552a-9c73-ea11-a811-000d3a5a14b6,SAM - 5N - TELE,52b88c53-7a73-ea11-a811-000d3a5a17e3,SAM - 5N,TELE,16c13102-8a73-ea11-a811-000d3a5a17c5,Yes,False,10,,6,,43921.58333,TELE - Telehealth,Acute Care,299600000,Acute Care
78ae552a-9c73-ea11-a811-000d3a5a14b6,SAM - 5S - MED SURG,52b88c53-7a73-ea11-a811-000d3a5a17e3,SAM - 5S,MED SURG,06c13102-8a73-ea11-a811-000d3a5a17c5,Yes,False,10,,1,,43921.58333,MED SURG - Medical Surgery,Acute Care,299600000,Acute Care
80ae552a-9c73-ea11-a811-000d3a5a14b6,EC - 3E - MED SURG,fe3473af-7c73-ea11-a811-000d3a5a17e3,EC - 3E,MED SURG,06c13102-8a73-ea11-a811-000d3a5a17c5,Yes,False,10,,2,,43921.58333,MED SURG - Medical Surgery,Acute Care,299600000,Acute Care
82ae552a-9c73-ea11-a811-000d3a5a14b6,EC - 4W - GEN SURG,fe3473af-7c73-ea11-a811-000d3a5a17e3,EC - 4W,GEN SURG,00c13102-8a73-ea11-a811-000d3a5a17c5,No,False,10,,2,,43921.58333,GEN SURG - General Surgery,Non-Acute Care,299600001,Non-Acute Care
84ae552a-9c73-ea11-a811-000d3a5a14b6,EC - 4E - TELE,fe3473af-7c73-ea11-a811-000d3a5a17e3,EC - 4E,TELE,16c13102-8a73-ea11-a811-000d3a5a17c5,Yes,False,10,,9,,43921.58333,TELE - Telehealth,Acute Care,299600000,Acute Care
86ae552a-9c73-ea11-a811-000d3a5a14b6,EC - 5W - CARD,fe3473af-7c73-ea11-a811-000d3a5a17e3,EC - 5W,CARD,8869775c-8d73-ea11-a811-000d3a5a17e3,Yes,False,10,,2,,43921.58333,CARD - Cardiology,Acute Care,299600000,Acute Care
9eae552a-9c73-ea11-a811-000d3a5a14b6,WL - 5N - TELE,017990c1-7c73-ea11-a811-000d3a5a17e3,WL - 5N,TELE,16c13102-8a73-ea11-a811-000d3a5a17c5,Yes,False,10,,5,,43921.58333,TELE - Telehealth,Acute Care,299600000,Acute Care
a0ae552a-9c73-ea11-a811-000d3a5a14b6,WL - 5S - MED SURG,017990c1-7c73-ea11-a811-000d3a5a17e3,WL - 5S,MED SURG,06c13102-8a73-ea11-a811-000d3a5a17c5,Yes,False,10,,5,,43921.58333,MED SURG - Medical Surgery,Acute Care,299600000,Acute Care
a6ae552a-9c73-ea11-a811-000d3a5a14b6,BAL - 3W - GEN SURG,fd4282d9-7c73-ea11-a811-000d3a5a17e3,BAL - 3W,GEN SURG,00c13102-8a73-ea11-a811-000d3a5a17c5,No,False,10,,4,,43921.58333,GEN SURG - General Surgery,Non-Acute Care,299600001,Non-Acute Care
a8ae552a-9c73-ea11-a811-000d3a5a14b6,BAL - 3E - MED SURG,fd4282d9-7c73-ea11-a811-000d3a5a17e3,BAL - 3E,MED SURG,06c13102-8a73-ea11-a811-000d3a5a17c5,Yes,False,10,,6,,43921.58333,MED SURG - Medical Surgery,Acute Care,299600000,Acute Care
