msft_staffingneededid,msft_location,msft_staffingtype,msft_staffrequested,msft_staffpatientassign,msft_staffnpa,msft_rnextenders,msft_rnvariance,createdby,createdon,Staffing Type,Staffing Needed Last Update (date only)
1b6beb04-b973-ea11-a811-000d3a5a17e3,16c06769-8e73-ea11-a811-000d3a5a1bf8,,2,8,1,4,-6,08c066e0-5870-ea11-a811-000d3a5a1bf8,43922.06606,,"Wednesday, April 1, 2020"
c20f44f8-3074-ea11-a811-000d3a5a17e3,6eae552a-9c73-ea11-a811-000d3a5a14b6,,3,6,1,7,-3,08c066e0-5870-ea11-a811-000d3a5a1bf8,43922.66247,,"Wednesday, April 1, 2020"
8250831c-3174-ea11-a811-000d3a5a17e3,70ae552a-9c73-ea11-a811-000d3a5a14b6,,3,4,1,5,-1,08c066e0-5870-ea11-a811-000d3a5a1bf8,43922.66306,,"Wednesday, April 1, 2020"
5616da66-3474-ea11-a811-000d3a5a17e3,72ae552a-9c73-ea11-a811-000d3a5a14b6,,0,2,3,5,-2,08c066e0-5870-ea11-a811-000d3a5a1bf8,43922.67943,,"Wednesday, April 1, 2020"
ca9c2d7f-3474-ea11-a811-000d3a5a17e3,74ae552a-9c73-ea11-a811-000d3a5a14b6,,2,3,0,3,-1,08c066e0-5870-ea11-a811-000d3a5a1bf8,43922.6799,,"Wednesday, April 1, 2020"
86156161-3574-ea11-a811-000d3a5a17e3,7aae552a-9c73-ea11-a811-000d3a5a14b6,,2,1,,1,1,08c066e0-5870-ea11-a811-000d3a5a1bf8,43922.68429,,"Wednesday, April 1, 2020"
426093f2-3674-ea11-a811-000d3a5a17e3,86ae552a-9c73-ea11-a811-000d3a5a14b6,,,1,,1,,08c066e0-5870-ea11-a811-000d3a5a1bf8,43922.69216,,"Wednesday, April 1, 2020"
3e9ab3fe-3674-ea11-a811-000d3a5a17e3,88ae552a-9c73-ea11-a811-000d3a5a14b6,,,1,,1,,08c066e0-5870-ea11-a811-000d3a5a1bf8,43922.69233,,"Wednesday, April 1, 2020"
43d6b40a-3774-ea11-a811-000d3a5a17e3,8aae552a-9c73-ea11-a811-000d3a5a14b6,,,2,,2,,08c066e0-5870-ea11-a811-000d3a5a1bf8,43922.69263,,"Wednesday, April 1, 2020"
93294bd9-3774-ea11-a811-000d3a5a17e3,90ae552a-9c73-ea11-a811-000d3a5a14b6,,1,2,,2,-1,08c066e0-5870-ea11-a811-000d3a5a1bf8,43922.69657,,"Wednesday, April 1, 2020"
9c22b7c7-3b74-ea11-a811-000d3a5a17e3,96ae552a-9c73-ea11-a811-000d3a5a14b6,,,2,1,3,,08c066e0-5870-ea11-a811-000d3a5a1bf8,43922.71609,,"Wednesday, April 1, 2020"
bf4652f8-3b74-ea11-a811-000d3a5a17e3,9aae552a-9c73-ea11-a811-000d3a5a14b6,,1,2,,2,-1,08c066e0-5870-ea11-a811-000d3a5a1bf8,43922.71707,,"Wednesday, April 1, 2020"
8cd33e7f-3d74-ea11-a811-000d3a5a17e3,9cae552a-9c73-ea11-a811-000d3a5a14b6,,,2,1,3,,08c066e0-5870-ea11-a811-000d3a5a1bf8,43922.72472,,"Wednesday, April 1, 2020"
b6c1c991-3d74-ea11-a811-000d3a5a17e3,9eae552a-9c73-ea11-a811-000d3a5a14b6,,1,2,,2,-1,08c066e0-5870-ea11-a811-000d3a5a1bf8,43922.72503,,"Wednesday, April 1, 2020"
ea999cba-3e74-ea11-a811-000d3a5a17e3,a0ae552a-9c73-ea11-a811-000d3a5a14b6,,,1,1,2,,08c066e0-5870-ea11-a811-000d3a5a1bf8,43922.73084,,"Wednesday, April 1, 2020"
