TransactionID,StoreLocation,ProductID,ProductName,ProductCategory,Quantity,UnitPrice,SaleDate,CustomerID
TXN2022000001,New York,APP003,Fleece Pullover,Apparel,3,23.74,2022-04-26 22:27:46,42345
TXN2022000002,Los Angeles,PROD0002,Tranquil Lavender,Paint Shades,1,78.66,2022-10-27 05:08:58,42346
TXN2022000003,Los Angeles,SOLAR001,SunPower Panel X,Solar,2,32.14,2022-11-20 04:43:13,42347
TXN2022000004,Boston,APP003,Fleece Pullover,Apparel,2,94.46,2022-05-25 05:06:13,42348
TXN2022000005,Mountain View,APP003,Fleece Pullover,Apparel,3,63.79,2022-10-01 00:37:43,42349
TXN2022000006,San Francisco,APP002,Raincoat,Apparel,5,148.46,2022-06-13 06:03:00,42350
TXN2022000007,Los Angeles,WINE001,Crimson Cabernet,Beverages - Wine,3,66.19,2022-10-04 23:19:45,42351
TXN2022000008,Seattle,SOLAR001,SunPower Panel X,Solar,2,34.02,2022-11-20 13:12:28,42352
TXN2022000009,Los Angeles,APP001,Winter Jacket,Apparel,5,40.27,2022-03-10 13:59:29,42353
TXN2022000010,Chicago,WINE003,Velvet Merlot,Beverages - Wine,1,168.53,2022-02-04 21:25:19,42354
TXN2022000011,Los Angeles,WINE001,Crimson Cabernet,Beverages - Wine,2,134.81,2022-01-20 00:26:49,42355
TXN2022000012,San Francisco,WINE001,Crimson Cabernet,Beverages - Wine,4,61.33,2022-12-31 23:22:54,42356
TXN2022000013,Mountain View,APP002,Raincoat,Apparel,5,52.57,2022-04-11 00:18:56,42357
TXN2022000014,Houston,PROD0039,Paint Safe Drop Cloth,Paint Accessories,5,192.81,2022-01-04 17:16:57,42358
TXN2022000015,New York,WINE003,Velvet Merlot,Beverages - Wine,4,47.67,2022-06-29 01:58:50,42359
TXN2022000016,Boston,APP003,Fleece Pullover,Apparel,4,165.83,2022-08-27 01:30:53,42360
TXN2022000017,New York,PROD0002,Tranquil Lavender,Paint Shades,3,150.85,2022-04-06 09:59:30,42361
TXN2022000018,New York,PROD0001,Pale Meadow,Paint Shades,3,56.58,2022-06-27 01:59:50,42362
TXN2022000019,Los Angeles,SOLAR001,SunPower Panel X,Solar,3,218.3,2022-01-06 03:46:39,42363
TXN2022000020,New York,WINE001,Crimson Cabernet,Beverages - Wine,2,116.59,2022-05-31 14:32:28,42364
TXN2022000021,Boston,WINE003,Velvet Merlot,Beverages - Wine,1,142.29,2022-03-13 09:37:55,42365
TXN2022000022,Miami,SOLAR001,SunPower Panel X,Solar,4,86.08,2022-08-12 11:13:35,42366
TXN2022000023,New York,APP001,Winter Jacket,Apparel,2,141.94,2022-08-25 21:31:39,42367
TXN2022000024,Los Angeles,APP001,Winter Jacket,Apparel,4,143.08,2022-11-13 09:13:04,42368
TXN2022000025,Miami,PROD0039,Paint Safe Drop Cloth,Paint Accessories,4,100.45,2022-04-08 21:20:10,42369
TXN2022000026,Chicago,APP003,Fleece Pullover,Apparel,5,230.16,2022-05-03 22:10:34,42370
TXN2022000027,San Francisco,PROD0001,Pale Meadow,Paint Shades,5,20.61,2022-06-07 11:14:52,42371
TXN2022000028,Houston,SOLAR001,SunPower Panel X,Solar,1,217.39,2022-12-03 21:32:50,42372
TXN2022000029,Denver,APP001,Winter Jacket,Apparel,5,155.5,2022-09-27 20:16:55,42373
TXN2022000030,Mountain View,WINE001,Crimson Cabernet,Beverages - Wine,5,189.37,2022-08-08 03:17:36,42374
TXN2022000031,Los Angeles,APP003,Fleece Pullover,Apparel,2,90.88,2022-06-17 04:45:38,42375
TXN2022000032,New York,PROD0039,Paint Safe Drop Cloth,Paint Accessories,5,177.45,2022-04-07 01:56:52,42376
TXN2022000033,Seattle,SOLAR001,SunPower Panel X,Solar,2,45.93,2022-03-23 23:04:34,42377
TXN2022000034,Seattle,WINE001,Crimson Cabernet,Beverages - Wine,2,112.61,2022-11-21 11:42:53,42378
TXN2022000035,San Francisco,APP003,Fleece Pullover,Apparel,2,99.45,2022-12-23 12:34:55,42379
TXN2022000036,San Francisco,WINE001,Crimson Cabernet,Beverages - Wine,4,196.5,2022-11-13 09:54:24,42380
TXN2022000037,Houston,PROD0001,Pale Meadow,Paint Shades,4,192.05,2022-05-19 18:27:46,42381
TXN2022000038,San Francisco,PROD0001,Pale Meadow,Paint Shades,2,110.3,2022-09-14 16:00:10,42382
TXN2022000039,New York,WINE003,Velvet Merlot,Beverages - Wine,5,191.65,2022-03-27 01:09:27,42383
TXN2022000040,Chicago,SOLAR001,SunPower Panel X,Solar,3,150.9,2022-01-29 15:28:22,42384
TXN2022000041,New York,APP002,Raincoat,Apparel,1,34.92,2022-12-14 01:55:13,42385
TXN2022000042,New York,PROD0001,Pale Meadow,Paint Shades,2,159.18,2022-03-01 06:59:10,42386
TXN2022000043,Boston,WINE001,Crimson Cabernet,Beverages - Wine,5,170.6,2022-07-13 00:18:14,42387
TXN2022000044,Miami,WINE003,Velvet Merlot,Beverages - Wine,5,131.17,2022-05-08 21:45:20,42388
TXN2022000045,San Francisco,APP001,Winter Jacket,Apparel,2,227.87,2022-09-07 12:08:20,42389
TXN2022000046,Chicago,WINE003,Velvet Merlot,Beverages - Wine,4,120.92,2022-09-20 08:29:07,42390
TXN2022000047,Seattle,SOLAR001,SunPower Panel X,Solar,5,190.61,2022-09-17 04:37:38,42391
TXN2022000048,Miami,PROD0002,Tranquil Lavender,Paint Shades,2,216.07,2022-03-28 20:44:01,42392
TXN2022000049,Los Angeles,APP002,Raincoat,Apparel,1,68.48,2022-05-18 18:33:50,42393
TXN2022000050,Los Angeles,WINE003,Velvet Merlot,Beverages - Wine,4,125.38,2022-07-02 17:52:31,42394
TXN2022000051,Mountain View,APP001,Winter Jacket,Apparel,4,239.94,2022-08-19 12:58:09,42395
TXN2022000052,Los Angeles,APP002,Raincoat,Apparel,5,201.41,2022-05-04 16:00:00,42396
TXN2022000053,Chicago,APP002,Raincoat,Apparel,3,176.92,2022-03-23 09:27:23,42397
TXN2022000054,San Francisco,PROD0039,Paint Safe Drop Cloth,Paint Accessories,1,156.68,2022-09-26 10:00:43,42398
TXN2022000055,Miami,PROD0002,Tranquil Lavender,Paint Shades,4,101.37,2022-01-30 04:02:38,42399
TXN2022000056,New York,WINE003,Velvet Merlot,Beverages - Wine,1,148.24,2022-07-26 18:29:47,42400
TXN2022000057,Mountain View,PROD0001,Pale Meadow,Paint Shades,1,14.64,2022-02-01 02:07:57,42401
TXN2022000058,Miami,WINE001,Crimson Cabernet,Beverages - Wine,3,73.53,2022-02-02 15:10:03,42402
TXN2022000059,Seattle,APP003,Fleece Pullover,Apparel,1,17.25,2022-03-01 01:57:14,42403
TXN2022000060,Houston,PROD0002,Tranquil Lavender,Paint Shades,3,207.79,2022-08-23 16:52:37,42404
TXN2022000061,Los Angeles,SOLAR001,SunPower Panel X,Solar,1,193.11,2022-11-10 03:50:34,42405
TXN2022000062,Los Angeles,APP001,Winter Jacket,Apparel,1,180.44,2022-05-05 19:00:44,42406
TXN2022000063,New York,APP002,Raincoat,Apparel,5,222.61,2022-01-22 11:35:00,42407
TXN2022000064,New York,PROD0001,Pale Meadow,Paint Shades,5,178.46,2022-05-08 16:05:55,42408
TXN2022000065,New York,WINE001,Crimson Cabernet,Beverages - Wine,3,73.27,2022-03-14 22:42:27,42409
TXN2022000066,New York,SOLAR001,SunPower Panel X,Solar,2,52.96,2022-02-17 19:45:03,42410
TXN2022000067,Los Angeles,APP003,Fleece Pullover,Apparel,5,84.38,2022-12-19 04:49:09,42411
TXN2022000068,San Francisco,PROD0039,Paint Safe Drop Cloth,Paint Accessories,5,162.05,2022-02-24 02:41:53,42412
TXN2022000069,New York,APP003,Fleece Pullover,Apparel,3,133.48,2022-11-19 13:10:38,42413
TXN2022000070,New York,PROD0039,Paint Safe Drop Cloth,Paint Accessories,1,210.41,2022-07-12 10:02:46,42414
TXN2022000071,Seattle,SOLAR001,SunPower Panel X,Solar,4,18.02,2022-12-30 06:20:25,42415
TXN2022000072,Miami,SOLAR001,SunPower Panel X,Solar,4,138.75,2022-05-22 11:47:20,42416
TXN2022000073,Chicago,APP002,Raincoat,Apparel,2,57.4,2022-01-17 02:21:34,42417
TXN2022000074,Houston,SOLAR001,SunPower Panel X,Solar,2,156.59,2022-10-02 19:58:41,42418
TXN2022000075,Boston,APP003,Fleece Pullover,Apparel,3,218.67,2022-05-18 00:30:30,42419
TXN2022000076,Miami,APP001,Winter Jacket,Apparel,2,237.96,2022-09-29 18:09:37,42420
TXN2022000077,Los Angeles,WINE001,Crimson Cabernet,Beverages - Wine,5,199.19,2022-11-16 22:50:55,42421
TXN2022000078,Los Angeles,WINE003,Velvet Merlot,Beverages - Wine,4,112.85,2022-09-02 11:48:48,42422
TXN2022000079,Seattle,SOLAR001,SunPower Panel X,Solar,3,46.77,2022-04-29 23:14:07,42423
TXN2022000080,New York,PROD0001,Pale Meadow,Paint Shades,2,46.3,2022-07-26 02:59:43,42424
TXN2022000081,Denver,PROD0001,Pale Meadow,Paint Shades,5,148.78,2022-05-02 16:16:56,42425
TXN2022000082,New York,SOLAR001,SunPower Panel X,Solar,1,20.84,2022-06-07 11:14:01,42426
TXN2022000083,Miami,PROD0002,Tranquil Lavender,Paint Shades,1,220.31,2022-03-08 23:38:28,42427
