Fiscal Year,Fiscal Quarter,Fiscal Month,Country,Forecast,Budget,Actual
"FY21","Q3","7","Australia","17788","19834",""
"FY22","Q3","8","Australia","7076","45336",""
"FY23","Q3","9","Australia","115345","48232",""
"FY24","Q4","10","Australia","29944","21936",""
"FY25","Q4","11","Australia","43028","30774",""
"FY26","Q4","12","Australia","147012","86882",""
"FY33","Q3","7","Brazil","64538","40368",""
"FY34","Q3","8","Brazil","25361","22308",""
"FY35","Q3","9","Brazil","123522","48743",""
"FY36","Q4","10","Brazil","62663","39566",""
"FY37","Q4","11","Brazil","30095","37614",""
"FY38","Q4","12","Brazil","168633","104332",""
"FY45","Q3","7","Canada","13921","15249",""
"FY46","Q3","8","Canada","27084","17711",""
"FY47","Q3","9","Canada","83455","62496",""
"FY48","Q4","10","Canada","20105","22875",""
"FY49","Q4","11","Canada","20671","8532",""
"FY50","Q4","12","Canada","147830","133281",""
"FY57","Q3","7","China","65157","82675",""
"FY58","Q3","8","China","8198","6473",""
"FY59","Q3","9","China","68859","26368",""
"FY60","Q4","10","China","64528","33076",""
"FY61","Q4","11","China","52131","37382",""
"FY62","Q4","12","China","188259","97594",""
"FY69","Q3","7","France","60463","68652",""
"FY70","Q3","8","France","55129","54481",""
"FY71","Q3","9","France","90272","62521",""
"FY72","Q4","10","France","163872","150526",""
"FY73","Q4","11","France","62286","44318",""
"FY74","Q4","12","France","166122","104300",""
"FY81","Q3","7","Germany","485894","544798",""
"FY82","Q3","8","Germany","58960","56784",""
"FY83","Q3","9","Germany","376687","107193",""
"FY84","Q4","10","Germany","157178","117595",""
"FY85","Q4","11","Germany","176715","134010",""
"FY86","Q4","12","Germany","543309","330293",""
"FY93","Q3","7","India","41249","39227",""
"FY94","Q3","8","India","15198","14140",""
"FY95","Q3","9","India","64133","30236",""
"FY96","Q4","10","India","22746","43255",""
"FY97","Q4","11","India","35799","36214",""
"FY98","Q4","12","India","147428","67431",""
"FY105","Q3","7","Indonesia","5691","6954",""
"FY106","Q3","8","Indonesia","9718","9153",""
"FY107","Q3","9","Indonesia","4255","13047",""
"FY108","Q4","10","Indonesia","11585","3114",""
"FY109","Q4","11","Indonesia","7016","8845",""
"FY110","Q4","12","Indonesia","44628","47184",""
"FY117","Q3","7","Italy","278025","278494",""
"FY118","Q3","8","Italy","66304","57389",""
"FY119","Q3","9","Italy","281528","182894",""
"FY120","Q4","10","Italy","437679","297886",""
"FY121","Q4","11","Italy","257230","153581",""
"FY122","Q4","12","Italy","1469498","1342622",""
"FY129","Q3","7","Japan","131060","116648",""
