Date,Accessories_count,Entertainment_count,Gaming,Kids,Mens,Phone_and_GPS,Womens
'10/1/2015','18','28','5','14','14','36','30'
'10/1/2015','18','28','5','14','14','36','30'
'10/2/2015','33','71','13','38','32','5','30'
'10/2/2015','33','71','13','38','32','5','30'
'10/3/2015','25','58','33','12','10','36','23'
'10/3/2015','25','58','33','12','10','36','23'
'10/4/2015','26','53','9','3','36','20','32'
'10/4/2015','26','53','9','3','36','20','32'
'10/5/2015','22','41','29','25','1','7','36'
'10/5/2015','22','41','29','25','1','7','36'
'10/6/2015','49','69','1','7','37','3','8'
'10/6/2015','49','69','1','7','37','3','8'
'10/7/2015','22','79','13','18','25','9','22'
'10/7/2015','22','79','13','18','25','9','22'
'10/8/2015','39','75','36','28','31','27','15'
'10/8/2015','39','75','36','28','31','27','15'
'10/9/2015','31','5','35','3','3','24','11'
'10/9/2015','31','5','35','3','3','24','11'
'10/10/2015','40','61','16','4','1','40','9'
'10/10/2015','40','61','16','4','1','40','9'
'10/11/2015','34','18','3','44','5','39','19'
'10/11/2015','34','18','3','44','5','39','19'
'10/12/2015','30','59','31','30','36','6','31'
'10/12/2015','30','59','31','30','36','6','31'
'10/13/2015','41','33','38','8','41','34','41'
'10/13/2015','41','33','38','8','41','34','41'
'10/14/2015','40','75','12','23','34','21','32'
'10/14/2015','40','75','12','23','34','21','32'
'10/15/2015','33','3','8','40','34','28','34'
'10/15/2015','33','3','8','40','34','28','34'
'10/16/2015','42','45','9','17','21','5','41'
'10/16/2015','42','45','9','17','21','5','41'
'10/17/2015','39','52','5','6','33','1','9'
'10/17/2015','39','52','5','6','33','1','9'
'10/18/2015','21','53','0','3','20','1','15'
'10/18/2015','21','53','0','3','20','1','15'
'10/19/2015','37','25','8','11','20','7','13'
'10/19/2015','37','25','8','11','20','7','13'
'10/20/2015','46','51','1','23','32','3','41'
'10/20/2015','46','51','1','23','32','3','41'
'10/21/2015','52','59','3','12','37','2','45'
'10/21/2015','52','59','3','12','37','2','45'
'10/22/2015','49','92','6','15','32','2','17'
'10/22/2015','49','92','6','15','32','2','17'
'10/23/2015','45','23','8','21','19','3','21'
'10/23/2015','45','23','8','21','19','3','21'
'10/24/2015','38','74','6','12','35','4','40'
'10/24/2015','38','74','6','12','35','4','40'
'10/25/2015','51','80','4','19','39','2','39'
'10/25/2015','51','80','4','19','39','2','39'
'10/26/2015','49','68','5','24','38','1','34'
'10/26/2015','49','68','5','24','38','1','34'
'10/27/2015','47','102','8','22','38','5','39'
'10/27/2015','47','102','8','22','38','5','39'
'10/28/2015','47','105','6','20','35','5','41'
'10/28/2015','47','105','6','20','35','5','41'
'10/29/2015','47','107','7','20','39','1','39'
'10/29/2015','47','107','7','20','39','1','39'
'10/30/2015','47','108','7','22','39','1','41'
'10/30/2015','47','108','7','22','39','1','41'
'10/31/2015','0','0','0','0','0','0','0'
'10/31/2015','0','0','0','0','0','0','0'
'11/1/2015','21','14','26','16','18','22','18'
'11/1/2015','21','14','26','16','18','22','18'
'11/2/2015','25','16','40','34','13','18','25'
'11/2/2015','25','16','40','34','13','18','25'
'11/3/2015','30','25','31','41','40','37','27'
'11/3/2015','30','25','31','41','40','37','27'
'11/4/2015','14','37','17','26','20','31','27'
'11/4/2015','14','37','17','26','20','31','27'
'11/5/2015','23','23','13','33','34','32','17'
'11/5/2015','23','23','13','33','34','32','17'
'11/6/2015','38','37','18','32','29','27','25'
'11/6/2015','38','37','18','32','29','27','25'
'11/7/2015','27','17','22','27','18','18','30'
'11/7/2015','27','17','22','27','18','18','30'
'11/8/2015','26','29','38','20','20','33','26'
'11/8/2015','26','29','38','20','20','33','26'
'11/9/2015','33','25','40','24','22','27','24'
'11/9/2015','33','25','40','24','22','27','24'
'11/10/2015','40','24','43','14','42','24','26'
'11/10/2015','40','24','43','14','42','24','26'
'11/11/2015','29','29','41','30','37','30','40'
'11/11/2015','29','29','41','30','37','30','40'
'11/12/2015','38','35','31','12','27','15','13'
'11/12/2015','38','35','31','12','27','15','13'
'11/13/2015','16','34','33','27','14','15','14'
'11/13/2015','16','34','33','27','14','15','14'
'11/14/2015','24','40','14','28','41','41','34'
'11/14/2015','24','40','14','28','41','41','34'
'11/15/2015','36','40','43','45','34','40','38'
'11/15/2015','36','40','43','45','34','40','38'
'11/16/2015','36','22','2','21','1','1','38'
'11/16/2015','36','22','2','21','1','1','38'
'11/17/2015','33','41','5','25','12','7','34'
'11/17/2015','33','41','5','25','12','7','34'
'11/18/2015','28','60','9','18','43','3','7'
'11/18/2015','28','60','9','18','43','3','7'
'11/19/2015','43','81','5','30','32','1','20'
'11/19/2015','43','81','5','30','32','1','20'
'11/20/2015','17','53','0','3','30','0','35'
'11/20/2015','17','53','0','3','30','0','35'
'11/21/2015','48','44','0','20','18','2','45'
'11/21/2015','48','44','0','20','18','2','45'
'11/22/2015','49','18','7','24','39','7','42'
'11/22/2015','49','18','7','24','39','7','42'
'11/23/2015','24','3','0','9','19','1','5'
'11/23/2015','24','3','0','9','19','1','5'
'11/24/2015','32','25','2','12','25','3','25'
'11/24/2015','32','25','2','12','25','3','25'
'11/25/2015','38','54','4','18','31','4','32'
'11/25/2015','38','54','4','18','31','4','32'
'11/26/2015','44','64','6','20','39','2','39'
'11/26/2015','44','64','6','20','39','2','39'
'11/27/2015','52','95','8','25','40','3','42'
'11/27/2015','52','95','8','25','40','3','42'
'11/28/2015','45','98','5','21','35','5','32'
'11/28/2015','45','98','5','21','35','5','32'
'11/29/2015','46','103','6','20','38','2','35'
'11/29/2015','46','103','6','20','38','2','35'
'11/30/2015','47','108','7','22','39','1','41'
'11/30/2015','47','108','7','22','39','1','41'
