Product,Link,ReadOnlyLink
"Black Shoes","https://daistorage116173.blob.core.windows.net/images/Latest/GettyImages-936501840.jpg?sv=2019-02-02&ss=bqtf&srt=sco&sp=rwdlacup&se=2019-12-21T04:03:36Z&sig=q26ej7I9aPO2w6dYwVgiCyvUz5KF64ffgCYFPkH7ZOU%3D&_=1576874843643","https://dai116173.blob.core.windows.net/images/GettyImages-1023642306.jpg"
"French cheese","https://daistorage116173.blob.core.windows.net/images/Latest/GettyImages-1054753810.jpg?sv=2019-02-02&ss=bqtf&srt=sco&sp=rwdlacup&se=2019-12-21T04:03:36Z&sig=q26ej7I9aPO2w6dYwVgiCyvUz5KF64ffgCYFPkH7ZOU%3D&_=1576875084120","https://dai116173.blob.core.windows.net/images/GettyImages-1054753810.jpg"
"Cheese chunk","https://daistorage116173.blob.core.windows.net/images/Latest/GettyImages-859268416.jpg?sv=2019-02-02&ss=bqtf&srt=sco&sp=rwdlacup&se=2019-12-21T04:03:36Z&sig=q26ej7I9aPO2w6dYwVgiCyvUz5KF64ffgCYFPkH7ZOU%3D&_=1576875059498","https://dai116173.blob.core.windows.net/images/GettyImages-859268416.jpg"
"Red Corkscrew","https://daistorage116173.blob.core.windows.net/images/Latest/GettyImages-680842663.jpg?sv=2019-02-02&ss=bqtf&srt=sco&sp=rwdlacup&se=2019-12-21T04:03:36Z&sig=q26ej7I9aPO2w6dYwVgiCyvUz5KF64ffgCYFPkH7ZOU%3D&_=1576874616007","https://dai116173.blob.core.windows.net/images/GettyImages-680842663.jpg"
"Wineglass","https://daistorage116173.blob.core.windows.net/images/Latest/GettyImages-877780706.jpg?sv=2019-02-02&ss=bqtf&srt=sco&sp=rwdlacup&se=2019-12-21T04:03:36Z&sig=q26ej7I9aPO2w6dYwVgiCyvUz5KF64ffgCYFPkH7ZOU%3D&_=1576875061922","https://dai116173.blob.core.windows.net/images/GettyImages-877780706.jpg"
"White Shoes","https://daistorage116173.blob.core.windows.net/images/Latest/GettyImages-933815246.jpg?sv=2019-02-02&ss=bqtf&srt=sco&sp=rwdlacup&se=2019-12-21T04:03:36Z&sig=q26ej7I9aPO2w6dYwVgiCyvUz5KF64ffgCYFPkH7ZOU%3D&_=1576875306527","https://dai116173.blob.core.windows.net/images/GettyImages-933815246.jpg"
"Blue Stripped SurfBoard","https://daistorage116173.blob.core.windows.net/images/Latest/GettyImages-654529910.jpg?sv=2019-02-02&ss=bqtf&srt=sco&sp=rwdlacup&se=2019-12-21T04:03:36Z&sig=q26ej7I9aPO2w6dYwVgiCyvUz5KF64ffgCYFPkH7ZOU%3D&_=1576875050543","https://dai116173.blob.core.windows.net/images/GettyImages-654529910.jpg"
"Blue Surf Board","https://daistorage116173.blob.core.windows.net/images/Latest/GettyImages-654527254.jpg?sv=2019-02-02&ss=bqtf&srt=sco&sp=rwdlacup&se=2019-12-21T04:03:36Z&sig=q26ej7I9aPO2w6dYwVgiCyvUz5KF64ffgCYFPkH7ZOU%3D&_=1576874613044","https://dai116173.blob.core.windows.net/images/GettyImages-654527254.jpg"
"Yellow mature Dutch cheese","https://daistorage116173.blob.core.windows.net/images/Latest/GettyImages-580817957.jpg?sv=2019-02-02&ss=bqtf&srt=sco&sp=rwdlacup&se=2019-12-21T04:03:36Z&sig=q26ej7I9aPO2w6dYwVgiCyvUz5KF64ffgCYFPkH7ZOU%3D&_=1576875056702","https://dai116173.blob.core.windows.net/images/GettyImages-859268416.jpg"
"Wood and Cork Coaster","https://daistorage116173.blob.core.windows.net/images/Latest/GettyImages-185250140.jpg?sv=2019-02-02&ss=bqtf&srt=sco&sp=rwdlacup&se=2019-12-21T04:03:36Z&sig=q26ej7I9aPO2w6dYwVgiCyvUz5KF64ffgCYFPkH7ZOU%3D&_=1576874610348","https://dai116173.blob.core.windows.net/images/GettyImages-171556981.jpg"
