"North & Central America","USA","Electronics","100","Fun with Colors","Inquiries","5","Accepted",32,3134,"$6,414","4.66%",43,"$12,619","Event","Baby Boomers (45 – 60s)","Inquiries","$3,280.00","$3,960","6205"
"South America","Brazil","Team Sports","102","Tailored for You","Inquiries","6","Active",42,4090,"$9,140","23.47%",25,"$19,323","TV","Gen Z (2000s - now)","Inquiries","$5,050.00","$4,443","10183"
"Europe","Spain","Exercise","105","Be Unique","Inquiries","6","Qualified",11,2564,"$9,761","180.69%",70,"$13,831","Social","Gen Y (80 – 2000s)","Inquiries","$7,197.00","$5,208","4070"
"South America","Brazil","Décor","106","Enjoy the Moment","Inquiries","6","Accepted",36,1950,"$15,719","606.10%",24,"$8,723","Social","Gen Y (80 – 2000s)","Inquiries","$13,769.00","$4,110","-6996"
"North & Central America","Canada","Décor","11","Be Unique","Inquiries","6","Accepted",38,760,"$9,192","1009.47%",24,"$6,179","Email","Baby Boomers (45 – 60s)","Inquiries","$8,432.00","$2,732","-3013"
"North & Central America","USA","Electronics","112","Enjoy the Moment","Inquiries","5","Accepted",22,8130,"$15,148","-13.68%",80,"$19,098","Email","Gen Z (2000s - now)","Awareness","$7,018.00","$6,947","3950"
"Europe","Italy","Pillows & Cushions","113","Tailored for You","Inquiries","6","Active",35,9707,"$5,846","-139.78%",22,"$8,447","Social","Gen Z (2000s - now)","Inquiries","($3,861.00)","$1,536","2601"
"Europe","Italy","Lighting","117","Tailored for You","Inquiries","6","Accepted",48,3830,"$14,992","191.44%",10,"$15,699","Social","Gen Y (80 – 2000s)","Inquiries","$11,162.00","$2,329","707"
"Europe","Italy","Apparel and Footwear","12","Enjoy the Moment","Inquiries","6","Accepted",19,9551,"$15,740","-35.20%",72,"$7,685","Social","Gen Z (2000s - now)","Inquiries","$6,189.00","$3,866","-8055"
"Asia Pacific","Indonesia","Electronics","120","Be Unique","Inquiries","6","Qualified",24,8547,"$14,778","-27.10%",37,"$13,122","Email","Baby Boomers (45 – 60s)","Awareness","$6,231.00","$4,305","-1656"
"Europe","Spain","Pillows & Cushions","123","Tailored for You","Inquiries","6","Accepted",14,11424,"$14,328","-74.58%",37,"$15,577","Email","Gen Z (2000s - now)","Awareness","$2,904.00","$6,267","1249"
"Asia Pacific","Australia","Team Sports","13","Fun with Colors","Inquiries","6","Qualified",34,1195,"$6,738","363.85%",52,"$11,176","Event","Gen Y (80 – 2000s)","Inquiries","$5,543.00","$1,398","4438"
"South America","Brazil","Lighting","130","Spring into Summer","Inquiries","5","Qualified",12,6897,"$10,934","-41.47%",75,"$19,723","Email","Gen X (60 – 80s)","Inquiries","$4,037.00","$4,316","8789"
"Asia Pacific","India","Team Sports","131","Be Unique","Inquiries","6","Qualified",47,5390,"$9,963","-15.16%",11,"$18,377","Email","Baby Boomers (45 – 60s)","Inquiries","$4,573.00","$6,159","8414"
"North & Central America","USA","Décor","132","Enjoy the Moment","Inquiries","6","Qualified",14,1973,"$10,344","324.28%",53,"$15,220","Social","Gen X (60 – 80s)","Inquiries","$8,371.00","$1,928","4876"
"North & Central America","Canada","Exercise","134","Fun with Colors","Inquiries","5","Active",27,1291,"$13,735","863.90%",69,"$16,671","Event","Baby Boomers (45 – 60s)","Inquiries","$12,444.00","$3,750","2936"
"Europe","Germany","Pillows & Cushions","135","Fun with Colors","Inquiries","6","Qualified",43,9470,"$14,290","-49.10%",19,"$10,487","Email","Gen Z (2000s - now)","Awareness","$4,820.00","$4,947","-3803"
"Europe","Germany","Exercise","137","Enjoy the Moment","Inquiries","5","Active",25,3952,"$19,503","293.50%",24,"$14,609","Social","Gen Y (80 – 2000s)","Inquiries","$15,551.00","$2,234","-4894"
"North & Central America","USA","Electronics","139","Enjoy the Moment","Inquiries","5","Active",39,8156,"$11,441","-59.72%",65,"$6,741","Social","Gen Y (80 – 2000s)","Inquiries","$3,285.00","$6,972","-4700"
"South America","Brazil","Décor","141","Be Unique","Inquiries","6","Active",45,12404,"$21,637","-25.56%",28,"$5,666","Email","Gen Y (80 – 2000s)","Awareness","$9,233.00","$1,147","-15971"
"Asia Pacific","Japan","Electronics","143","Spring into Summer","Inquiries","5","Accepted",43,3462,"$9,781","82.52%",47,"$19,592","In Store Displays","Gen X (60 – 80s)","Inquiries","$6,319.00","$2,003","9811"
"Europe","Germany","Exercise","145","Fall into Winter","Inquiries","6","Active",37,5453,"$14,764","70.75%",50,"$5,876","TV","Gen X (60 – 80s)","Inquiries","$9,311.00","$6,212","-8888"
"Asia Pacific","Japan","Team Sports","146","Enjoy the Moment","Inquiries","5","Active",40,5495,"$16,523","100.69%",15,"$17,741","Email","Gen Y (80 – 2000s)","Inquiries","$11,028.00","$5,743","1218"
"North & Central America","Canada","Pillows & Cushions","151","Be Unique","Inquiries","5","Qualified",29,4729,"$13,873","93.36%",74,"$10,617","Email","Gen Z (2000s - now)","Inquiries","$9,144.00","$6,921","-3256"
"North & Central America","USA","Pillows & Cushions","153","Spring into Summer","Inquiries","6","Accepted",44,2951,"$12,174","212.54%",77,"$6,996","TV","Baby Boomers (45 – 60s)","Inquiries","$9,223.00","$4,288","-5178"
"South America","Brazil","Pillows & Cushions","157","Be Unique","Inquiries","6","Accepted",17,3602,"$14,691","207.86%",33,"$14,601","Email","Gen Z (2000s - now)","Inquiries","$11,089.00","$6,409","-90"
"South America","Mexico","Team Sports","161","Be Unique","Inquiries","6","Active",43,3471,"$17,488","303.83%",45,"$9,941","Email","Gen Z (2000s - now)","Inquiries","$14,017.00","$2,845","-7547"
"Europe","Germany","Lighting","164","Get Sporty","Inquiries","5","Accepted",25,1178,"$10,027","651.19%",77,"$10,643","TV","Baby Boomers (45 – 60s)","Inquiries","$8,849.00","$1,360","616"
"Europe","Italy","Apparel and Footwear","17","Tailored for You","Inquiries","5","Active",47,587,"$7,131","1014.82%",27,"$7,453","TV","Gen Y (80 – 2000s)","Inquiries","$6,544.00","$5,769","322"
"Europe","Turkey","Electronics","172","Enjoy the Moment","Inquiries","4","Qualified",26,4905,"$17,101","148.64%",36,"$13,212","Event","Gen Y (80 – 2000s)","Inquiries","$12,196.00","$4,268","-3889"
"South America","Brazil","Décor","32","Fun with Colors","Inquiries","4","Qualified",39,3312,"$15,142","257.19%",28,"$7,147","Event","Gen Y (80 – 2000s)","Awareness","$11,830.00","$2,553","-7995"
"Europe","Spain","Furniture","36","Enjoy the Moment","Inquiries","6","Active",48,1510,"$12,488","627.02%",74,"$18,299","In Store Displays","Gen Z (2000s - now)","Inquiries","$10,978.00","$3,866","5811"
"Europe","Italy","Lighting","40","Get Sporty","Inquiries","5","Active",34,3493,"$9,486","71.57%",67,"$8,891","TV","Gen Z (2000s - now)","Inquiries","$5,993.00","$2,064","-595"
"Europe","Turkey","Pillows & Cushions","42","Tailored for You","Inquiries","6","Accepted",32,1920,"$10,269","334.84%",50,"$11,191","Event","Gen Z (2000s - now)","Inquiries","$8,349.00","$1,633","922"
"South America","Mexico","Furniture","44","Tailored for You","Inquiries","6","Active",14,2802,"$12,882","259.74%",32,"$19,806","Event","Baby Boomers (45 – 60s)","Inquiries","$10,080.00","$2,091","6924"
"Europe","Germany","Apparel and Footwear","45","Get Sporty","Inquiries","6","Qualified",45,4327,"$16,810","188.49%",77,"$10,178","TV","Gen X (60 – 80s)","Inquiries","$12,483.00","$2,119","-6632"
"Asia Pacific","Australia","Exercise","48","Be Unique","Inquiries","5","Accepted",32,1854,"$6,580","154.91%",38,"$5,490","Social","Gen Y (80 – 2000s)","Inquiries","$4,726.00","$4,462","-1090"
"North & Central America","USA","Team Sports","49","Tailored for You","Inquiries","5","Qualified",27,1968,"$10,225","319.56%",71,"$12,472","Event","Baby Boomers (45 – 60s)","Inquiries","$8,257.00","$4,541","2247"
"Europe","Italy","Pillows & Cushions","51","Tailored for You","Inquiries","6","Qualified",46,1710,"$13,681","600.06%",60,"$13,003","TV","Gen X (60 – 80s)","Inquiries","$11,971.00","$3,299","-678"
"Asia Pacific","India","Apparel and Footwear","55","Get Sporty","Inquiries","6","Accepted",15,2113,"$11,231","331.52%",68,"$18,669","In Store Displays","Gen X (60 – 80s)","Inquiries","$9,118.00","$6,993","7438"
"South America","Brazil","Electronics","56","Fun with Colors","Inquiries","5","Active",35,1430,"$9,864","489.79%",49,"$5,802","TV","Gen Y (80 – 2000s)","Inquiries","$8,434.00","$2,139","-4062"
"Europe","UK","Team Sports","6","Tailored for You","Inquiries","6","Qualified",38,3201,"$7,001","18.71%",71,"$10,528","Event","Gen Z (2000s - now)","Inquiries","$3,800.00","$1,677","3527"
"North & Central America","USA","Apparel and Footwear","60","Be Unique","Inquiries","6","Accepted",48,1100,"$13,174","997.64%",46,"$14,329","In Store Displays","Gen X (60 – 80s)","Inquiries","$12,074.00","$5,639","1155"
"Europe","UK","Team Sports","61","Be Unique","Inquiries","5","Active",38,5941,"$11,564","-5.35%",19,"$19,306","Event","Baby Boomers (45 – 60s)","Inquiries","$5,623.00","$2,858","7742"
"Europe","Italy","Exercise","63","Enjoy the Moment","Inquiries","2","Qualified",46,2533,"$11,838","267.35%",46,"$13,538","Email","Gen X (60 – 80s)","Awareness","$9,305.00","$2,544","1700"
"Asia Pacific","Indonesia","Electronics","65","Enjoy the Moment","Inquiries","5","Accepted",10,8936,"$11,290","-73.66%",18,"$12,495","TV","Baby Boomers (45 – 60s)","Inquiries","$2,354.00","$4,844","1205"
"Europe","UK","Furniture","66","Tailored for You","Inquiries","2","Active",18,7642,"$13,789","-19.56%",70,"$13,596","In Store Displays","Gen Y (80 – 2000s)","Inquiries","$6,147.00","$6,701","-193"
"South America","Mexico","Exercise","69","Tailored for You","Inquiries","5","Accepted",28,5927,"$9,253","-43.88%",32,"$14,347","TV","Gen Z (2000s - now)","Inquiries","$3,326.00","$3,121","5094"
"Asia Pacific","Australia","Lighting","7","Fall into Winter","Inquiries","6","Accepted",47,3753,"$13,512","160.03%",31,"$18,877","In Store Displays","Gen Z (2000s - now)","Inquiries","$9,759.00","$1,792","5365"
"Europe","France","Furniture","70","Get Sporty","Inquiries","6","Active",16,4693,"$13,124","79.65%",71,"$14,955","Event","Gen X (60 – 80s)","Inquiries","$8,431.00","$1,762","1831"
"Asia Pacific","Australia","Apparel and Footwear","73","Get Sporty","Inquiries","6","Qualified",30,4975,"$17,384","149.43%",68,"$8,018","Event","Gen Z (2000s - now)","Inquiries","$12,409.00","$5,289","-9366"
"Europe","Italy","Apparel and Footwear","79","Be Unique","Inquiries","6","Accepted",44,1699,"$12,366","527.84%",13,"$11,187","Social","Gen Z (2000s - now)","Inquiries","$10,667.00","$4,837","-1179"
"South America","Mexico","Electronics","82","Fall into Winter","Inquiries","6","Accepted",44,16728,"$12,503","-125.26%",60,"$9,977","Email","Gen Y (80 – 2000s)","Awareness","($4,225.00)","$5,822","-2526"
"North & Central America","USA","Apparel and Footwear","89","Enjoy the Moment","Inquiries","5","Accepted",40,2823,"$19,142","478.07%",48,"$19,858","Email","Gen Y (80 – 2000s)","Inquiries","$16,319.00","$6,606","716"
"Asia Pacific","China","Apparel and Footwear","183","Fall into Winter","Inquiries","6","Active",18,2936,"$11,145","179.60%",59,"$12,957","Event","Gen Y (80 – 2000s)","Inquiries","$8,209.00","$1,280","1812"
"Europe","UK","Décor","188","Enjoy the Moment","Inquiries","5","Active",44,5068,"$13,732","70.96%",23,"$5,799","Event","Gen Z (2000s - now)","Inquiries","$8,664.00","$1,163","-7933"
"North & Central America","USA","Exercise","189","Tailored for You","Inquiries","6","Accepted",22,6263,"$5,515","-111.94%",36,"$18,229","TV","Baby Boomers (45 – 60s)","Inquiries","($748.00)","$1,586","12714"
"South America","Brazil","Apparel and Footwear","191","Tailored for You","Inquiries","6","Accepted",35,10465,"$5,233","-150.00%",23,"$12,227","Email","Gen Z (2000s - now)","Awareness","($5,232.00)","$4,550","6994"
"North & Central America","USA","Furniture","192","Spring into Summer","Inquiries","5","Accepted",30,2218,"$7,014","116.23%",76,"$16,466","Event","Gen X (60 – 80s)","Inquiries","$4,796.00","$6,936","9452"
"Europe","Spain","Apparel and Footwear","194","Be Unique","Inquiries","6","Qualified",13,1592,"$8,871","357.22%",12,"$13,868","Email","Gen Z (2000s - now)","Inquiries","$7,279.00","$4,062","4997"
"Europe","Turkey","Lighting","196","Tailored for You","Inquiries","5","Active",20,9995,"$12,965","-70.29%",45,"$12,220","Social","Gen Y (80 – 2000s)","Inquiries","$2,970.00","$5,656","-745"
"Asia Pacific","Japan","Pillows & Cushions","197","Fun with Colors","Inquiries","4","Accepted",20,8957,"$9,952","-88.89%",79,"$13,231","Email","Baby Boomers (45 – 60s)","Awareness","$995.00","$6,145","3279"
"Europe","Spain","Furniture","198","Be Unique","Inquiries","5","Active",50,4713,"$12,191","58.67%",73,"$14,106","In Store Displays","Gen Y (80 – 2000s)","Inquiries","$7,478.00","$4,773","1915"
"North & Central America","USA","Pillows & Cushions","20","Enjoy the Moment","Inquiries","6","Qualified",37,6307,"$10,414","-34.88%",27,"$9,245","Email","Gen Z (2000s - now)","Inquiries","$4,107.00","$1,005","-1169"
"North & Central America","Canada","Apparel and Footwear","21","Be Unique","Inquiries","6","Active",48,5726,"$8,556","-50.58%",51,"$18,352","Social","Gen Z (2000s - now)","Inquiries","$2,830.00","$2,977","9796"
"Asia Pacific","China","Exercise","24","Get Sporty","Inquiries","5","Active",29,4113,"$5,484","-66.67%",56,"$11,469","In Store Displays","Gen Z (2000s - now)","Inquiries","$1,371.00","$1,180","5985"
"North & Central America","Canada","Furniture","25","Enjoy the Moment","Inquiries","5","Qualified",43,9577,"$10,113","-94.40%",45,"$9,976","Social","Gen Y (80 – 2000s)","Inquiries","$536.00","$3,791","-137"
"Asia Pacific","China","Electronics","91","Be Unique","Inquiries","6","Qualified",22,1339,"$14,944","916.06%",56,"$6,089","Event","Gen X (60 – 80s)","Inquiries","$13,605.00","$1,475","-8855"
"Asia Pacific","Korea","Team Sports","94","Spring into Summer","Inquiries","5","Accepted",25,15654,"$10,182","-134.96%",23,"$13,630","Email","Gen X (60 – 80s)","Awareness","($5,472.00)","$3,940","3448"
"Europe","Italy","Team Sports","1","Fall into Winter","Impressions","2","Qualified",42,4220,"$7,264","-27.87%",35,"$9,868","Event","Gen Y (80 – 2000s)","Awareness","$3,044.00","$5,181","2604"
"South America","Mexico","Lighting","10","Fall into Winter","Clicks","1","Active",27,13216,"$16,062","-78.47%",58,"$7,721","Event","Baby Boomers (45 – 60s)","Consideration","$2,846.00","$5,920","-8341"
