Date,Gaming,Kids,Mens,Phone_and_GPS,Womens,Accessories,Entertainment
"November 17","6","63","3","3","114","108","66"
"November 18","15","75","36","21","102","99","123"
"November 19","27","54","129","9","21","84","180"
"November 20","15","90","96","3","60","129","243"
"November 21","0","9","90","0","105","51","159"
"November 22","0","60","54","6","135","144","132"
"November 23","21","72","117","21","126","147","54"
"November 24","0","27","57","3","15","72","9"
"November 25","6","36","75","9","75","96","75"
"November 26","12","54","93","12","96","114","162"
"November 27","18","60","117","6","117","132","192"
"November 28","24","75","120","9","126","156","285"
"November 29","15","63","105","15","96","135","294"
"November 30","18","60","114","6","105","138","309"
"December 1","21","66","117","3","123","141","324"
"December 2","33","63","126","6","162","147","339"
