CustomerId,InstitutionId,Country,City,Domain,FirstName,LastName,LatestCreditScore,Age,AgeGroup,AccountOpeningTime,Tenure,IsActive,DateTime,MonthNumber,Month,Year
7,8,United Arab Emirates,Dubai,Retail Banking,FirstName,LastName,692,39,Gen Y/Millennial,31.3,3,0,24:34.0,1,January,2020
71,17,Brazil,Rio,Retail Banking,FirstName,LastName,835,35,Gen Y/Millennial,21.02,2,1,24:35.0,9,September,2020
57,6,Thailand,Bangkok,Retail Banking,FirstName,LastName,528,55,Gen X,24.87,5,1,24:34.0,12,December,2019
20,14,United Kingdom,London,Retail Banking,FirstName,LastName,899,31,Gen Y/Millennial,31.27,5,1,24:35.0,7,July,2020
119,1,Japan,Tokyo,Retail Banking,FirstName,LastName,535,29,Gen Y/Millennial,24.6,5,1,24:35.0,9,September,2020
32,8,United Arab Emirates,Dubai,Retail Banking,FirstName,LastName,322,71,Baby Boomers,21.73,3,1,24:35.0,9,September,2020
82,5,Singapore,Singapore,Retail Banking,FirstName,LastName,706,18,Gen Y/Millennial,23.91,4,1,24:35.0,9,September,2020
22,13,France,Paris,Retail Banking,FirstName,LastName,599,52,Gen X,33.37,4,1,24:34.0,6,June,2020
21,6,Thailand,Bangkok,Retail Banking,FirstName,LastName,459,18,Gen Y/Millennial,24.05,3,1,24:35.0,9,September,2020
45,19,Argentina,Buenos Aires,Retail Banking,FirstName,LastName,616,64,Gen X,43.27,3,1,24:34.0,4,April,2020
18,4,Australia,Melbourne,Retail Banking,FirstName,LastName,540,80,Baby Boomers,37.18,4,1,24:34.0,5,May,2020
17,17,Brazil,Rio,Retail Banking,FirstName,LastName,340,78,Baby Boomers,38.87,3,0,24:34.0,5,May,2020
44,1,Japan,Tokyo,Retail Banking,FirstName,LastName,827,41,Gen X,32.25,1,1,24:34.0,6,June,2020
112,19,Argentina,Buenos Aires,Retail Banking,FirstName,LastName,716,18,Gen Y/Millennial,34.28,4,0,24:34.0,6,June,2020
21,3,Australia,Sydney,Retail Banking,FirstName,LastName,386,38,Gen Y/Millennial,32.34,5,1,24:34.0,7,July,2020
107,18,Brazil,Sao Paulo,Retail Banking,FirstName,LastName,522,38,Gen Y/Millennial,21.03,2,0,24:34.0,11,November,2019
83,6,Thailand,Bangkok,Retail Banking,FirstName,LastName,687,51,Gen X,38.95,2,1,24:34.0,2,February,2020
61,6,Thailand,Bangkok,Retail Banking,FirstName,LastName,658,24,Gen Y/Millennial,40.96,1,1,24:34.0,5,May,2020
36,12,Switzerland,Geneva,Retail Banking,FirstName,LastName,830,78,Baby Boomers,34.56,5,1,24:34.0,1,January,2020
65,17,Brazil,Rio,Retail Banking,FirstName,LastName,406,44,Gen X,24.87,4,1,24:34.0,11,November,2019
23,17,Brazil,Rio,Retail Banking,FirstName,LastName,468,68,Baby Boomers,28.65,3,1,24:34.0,12,December,2019
37,10,Italy,Milano,Retail Banking,FirstName,LastName,623,62,Gen X,19.08,5,0,24:35.0,9,September,2020
8,14,United Kingdom,London,Retail Banking,FirstName,LastName,531,55,Gen X,50.57,2,1,24:34.0,3,March,2020
22,4,Australia,Melbourne,Retail Banking,FirstName,LastName,761,23,Gen Y/Millennial,49.03,4,1,24:34.0,3,March,2020
12,8,United Arab Emirates,Dubai,Retail Banking,FirstName,LastName,633,24,Gen Y/Millennial,39.01,4,1,24:34.0,2,February,2020
39,7,India,Mumbai,Retail Banking,FirstName,LastName,318,21,Gen Y/Millennial,39.9,2,1,24:34.0,2,February,2020
20,7,India,Mumbai,Retail Banking,FirstName,LastName,641,70,Baby Boomers,27.85,4,1,24:35.0,8,August,2020
46,5,Singapore,Singapore,Retail Banking,FirstName,LastName,524,44,Gen X,23.38,3,1,24:35.0,9,September,2020
35,7,India,Mumbai,Retail Banking,FirstName,LastName,378,64,Gen X,23.65,1,1,24:34.0,11,November,2019
25,19,Argentina,Buenos Aires,Retail Banking,FirstName,LastName,621,81,Baby Boomers,32.3,5,1,24:35.0,7,July,2020
127,6,Thailand,Bangkok,Retail Banking,FirstName,LastName,356,71,Baby Boomers,20.87,4,1,24:35.0,9,September,2020
113,18,Brazil,Sao Paulo,Retail Banking,FirstName,LastName,347,43,Gen X,21.56,4,1,24:34.0,10,October,2019
37,16,Finland,Helsinki,Retail Banking,FirstName,LastName,491,67,Baby Boomers,23.75,4,1,24:35.0,9,September,2020
107,19,Argentina,Buenos Aires,Retail Banking,FirstName,LastName,488,57,Gen X,18.54,4,1,24:34.0,10,October,2019
48,14,United Kingdom,London,Retail Banking,FirstName,LastName,872,61,Gen X,24.3,2,1,24:35.0,8,August,2020
73,20,Columbia,Bogota,Retail Banking,FirstName,LastName,554,52,Gen X,24.6,3,1,24:35.0,8,August,2020
57,19,Argentina,Buenos Aires,Retail Banking,FirstName,LastName,500,59,Gen X,29.27,3,1,24:35.0,7,July,2020
54,5,Singapore,Singapore,Retail Banking,FirstName,LastName,302,33,Gen Y/Millennial,23.55,4,0,24:35.0,9,September,2020
136,18,Brazil,Sao Paulo,Retail Banking,FirstName,LastName,641,63,Gen X,47.73,2,1,24:34.0,3,March,2020
40,7,India,Mumbai,Retail Banking,FirstName,LastName,532,20,Gen Y/Millennial,47.71,1,0,24:34.0,3,March,2020
16,19,Argentina,Buenos Aires,Retail Banking,FirstName,LastName,312,53,Gen X,20.53,2,1,24:34.0,10,October,2019
