Fiscal Year,Fiscal Quarter,Fiscal Month,Country,Region,Customer Segment,Channel,Product,ProductCategory,Gross Sales,Budget,Forecast,Discount,Net Sales,COGS,Gross Profit,Half Yearly,VTB ($),VTB (%),link,description,Dates
FY20,Q4,11,Turkey,Europe,Non-Loyalty,Wholesale,Unbreakable wineglass,Cocktail Glasses,0,0,0,0,0,0,0,H2 Forecast,0,0,NULL,NULL,00:00.0
FY20,Q2,6,Switzerland,Europe,Loyalty,Television,Orange SurfBoard,Surf Board,2250,2370,2490,-30,-1350,-810,-540,H1 Actual,-4,0,NULL,NULL,00:00.0
FY20,Q1,2,Canada,North & Central America,Loyalty,Wholesale,Orange SurfBoard,Surf Board,7950,11220,8550,-2430,-58170,-34920,-23280,H1 Actual,-109,0,NULL,NULL,00:00.0
FY20,Q1,1,Brazil,South America,Non-Loyalty,Retail Store,Blue Shoes,Running Shoes,0,0,0,0,0,0,0,H1 Actual,0,0,NULL,NULL,00:00.0
FY20,Q4,12,Australia,Asia Pacific,Non-Loyalty,Online,Black Shoes,Running Shoes,12030,0,14040,0,0,0,0,H2 Forecast,401,0,NULL,NULL,00:00.0
FY20,Q4,10,Korea,Asia Pacific,Loyalty,Television,White Shoes,Running Shoes,0,0,0,0,0,0,0,H2 Forecast,0,0,NULL,NULL,00:00.0
FY20,Q4,10,Italy,Europe,Non-Loyalty,Online,Gray with white sole shoes,Running Shoes,0,30,0,0,0,0,0,H2 Forecast,-1,-1,NULL,NULL,00:00.0
FY20,Q3,9,India,Asia Pacific,Non-Loyalty,Retail Store,Brown Shoes,Running Shoes,0,6090,0,0,0,0,0,H2 Forecast,-203,-1,NULL,NULL,00:00.0
FY20,Q2,5,Brazil,South America,Loyalty,Television,Cheese circle,Cheese,0,0,0,0,0,0,0,H1 Actual,0,0,NULL,NULL,00:00.0
FY20,Q1,2,Mexico,North & Central America,Loyalty,Retail Store,Blue Surf Board,Surf Board,90,0,90,0,0,0,0,H1 Actual,3,0,NULL,NULL,00:00.0
FY20,Q4,11,Spain,Europe,Loyalty,Retail Store,White Shoes,Running Shoes,0,0,0,0,0,0,0,H2 Forecast,0,0,NULL,NULL,00:00.0
FY20,Q2,4,India,Asia Pacific,Loyalty,Wholesale,Black Shoes,Running Shoes,0,0,0,30,420,210,210,H1 Actual,0,0,NULL,NULL,00:00.0
FY20,Q4,11,Korea,Asia Pacific,Non-Loyalty,Retail Store,White Shoes,Running Shoes,0,0,0,0,0,0,0,H2 Forecast,0,0,NULL,NULL,00:00.0
FY20,Q1,1,USA,North & Central America,Non-Loyalty,Wholesale,Black with red sole shoes,Running Shoes,0,0,0,2850,65010,45510,19500,H1 Actual,0,0,NULL,NULL,00:00.0
FY20,Q4,12,Australia,Asia Pacific,Non-Loyalty,Television,Orange SurfBoard,Surf Board,0,0,0,0,0,0,0,H2 Forecast,0,0,NULL,NULL,00:00.0
