Region,Country,ProductCategory,Campaign_ID,Campaign_Name,Qualification,Qualification_Number,Response_Status,Responses,Cost,Revenue,ROI,Lead_Generation,Revenue_Target,Campaign_Tactic,Customer_Segment,Status,Profit,Marketing_Cost,CampaignID,Date
North & Central America,USA,NULL,11,GoEco,NA,NA,Active,201,191,1251.15,5940,NA,1681.84,Baby Boomers (45 ? 60s),Social,Inquiries,-455.46,420.7,11,00:00.0
North & Central America,USA,NULL,11,GoEco,NA,NA,Active,620,191,51360.41,9900,NA,1929.43,Gen X (60 ? 80s),Media Placements,Inquiries,83.28,617.068,11,00:00.0
Europe,Germany,NULL,25,EnjoyTheMoment,NA,NA,Qualified,749,230,11180.56,1980,NA,267410,Boomer; GenX; GenY; GenZ,Social,Awareness,1037.34,53.992,25,00:00.0
Asia Pacific,Japan,NULL,11,GoEco,NA,NA,Qualified,411,174,23813.6,19800,NA,237711,Baby Boomers (45 ? 60s),Social,Intent,1160.93,52.836,11,00:00.0
North & Central America,USA,NULL,11,GoEco,NA,NA,Active,807,97,39537.51,5940,NA,224604,Gen Z (2000s - now),Event,Inquiries,2073.32,72.556,11,00:00.0
North & Central America,USA,NULL,50,LetsGoSurf,NA,NA,Active,483,56,9525.25,15840,NA,-3232.75,Baby Boomers (45 ? 60s),Event,Consideration,751.47,910.655,50,00:00.0
North & Central America,USA,NULL,25,EnjoyTheMoment,NA,NA,Active,1104,156,68131.48,7920,NA,5486.2,Gen Y (80 ? 2000s),TV,Inquiries,-542.96,119.544,25,00:00.0
North & Central America,USA,NULL,50,LetsGoSurf,NA,NA,Active,72,174,64596.53,3960,NA,-3020.71,Boomer; GenX; GenY; GenZ,Media Placements,Consideration,-22.55,991.862,50,00:00.0
North & Central America,USA,NULL,11,GoEco,NA,NA,Active,620,191,28872.26,7920,NA,311083,Gen Y (80 ? 2000s),Media Placements,Inquiries,1781.26,65.722,11,00:00.0
North & Central America,USA,NULL,11,GoEco,NA,NA,Active,807,97,39537.51,5940,NA,224604,Gen Z (2000s - now),Event,Inquiries,2073.32,72.556,11,00:00.0
