Fiscal Year,Fiscal Quarter,Fiscal Month,Country,Region,Customer Segment,Channel,Product,Product Category,Gross Sales,Budget,Forecast,Discount,Net Sales,COGS,Gross Profit,Half Yearly,VTB ($),VTB (%)
FY15,Q4,11,Australia,Asia Pacific,Gen Y,Retail Store,Highball Glass,Cocktail Glasses,0,0,0,0,0,0,0,H2 Forecast,0,0
FY15,Q1,3,UK,Europe,Gen X,Television,Trainers,Sport Shoes,0,0,0,0,0,0,0,H1 Actual,0,0
FY15,Q4,10,Japan,Asia Pacific,Gen Y,Retail Store,Cocktail Glass,Cocktail Glasses,0,0,0,0,0,0,0,H2 Forecast,0,0
FY15,Q4,12,Italy,Europe,Gen X,Wholesale,Treadmill,Exercise,0,0,0,0,0,0,0,H2 Forecast,0,0
FY15,Q3,8,Australia,Asia Pacific,Gen X,Online,Resistance Bands,Exercise,0,0,0,0,0,0,0,H2 Forecast,0,0
FY15,Q4,10,Turkey,Europe,Gen X,Online,Cocktail Glass,Cocktail Glasses,0,0,0,0,0,0,0,H2 Forecast,0,0
FY15,Q2,5,Switzerland,Europe,Gen Y,Wholesale,Washing Machine,Electronics,0,0,0,0,0,0,0,H1 Actual,0,0
FY15,Q4,11,China,Asia Pacific,Gen Y,Television,Highball Glass,Cocktail Glasses,0,0,0,0,0,0,0,H2 Forecast,0,0
FY15,Q1,2,USA,North America,Gen Y,Retail Store,Highball Glass,Cocktail Glasses,0,0,0,0,0,0,0,H1 Actual,0,0
FY15,Q4,11,Mexico,North & Central America,Gen X,Retail Store,Wine Glass,Cocktail Glasses,0,0,0,0,0,0,0,H2 Forecast,0,0
FY15,Q1,1,Australia,Asia Pacific,Gen X,Retail Store,Bathroom Furniture,Furniture,0,0,0,0,0,0,0,H1 Actual,0,0
FY15,Q2,5,USA,North America,Gen X,Retail Store,Treadmill,Exercise,0,0,0,0,0,0,0,H1 Actual,0,0
FY15,Q4,10,Australia,Asia Pacific,Gen Y,Retail Store,Resistance Bands,Exercise,0,0,0,0,0,0,0,H2 Forecast,0,0
FY15,Q4,11,Germany,Europe,Gen X,Online,Champagne Glass,Cocktail Glasses,0,0,0,0,0,0,0,H2 Forecast,0,0
FY15,Q3,7,Korea,Asia Pacific,Gen X,Television,Cocktail Glass,Cocktail Glasses,0,0,0,0,0,0,0,H2 Forecast,0,0
FY15,Q2,6,Spain,Europe,Gen X,Wholesale,Computers,Electronics,0,0,0,0,0,0,0,H1 Actual,0,0
FY15,Q1,1,China,Asia Pacific,Gen Y,Wholesale,Wine Glass,Cocktail Glasses,0,0,0,0,0,0,0,H1 Actual,0,0
FY15,Q4,12,Australia,Asia Pacific,Gen X,Wholesale,Cocktail Glass,Cocktail Glasses,0,0,0,0,0,0,0,H2 Forecast,0,0
FY15,Q2,4,Canada,North & Central America,Gen X,Wholesale,Skipping Rope,Exercise,0,0,0,0,0,0,0,H1 Actual,0,0
FY15,Q3,8,China,Asia Pacific,Gen Y,Wholesale,Trainers,Sport Shoes,0,0,0,0,0,0,0,H2 Forecast,0,0
FY15,Q3,8,Turkey,Europe,Gen X,Online,Weights,Exercise,0,0,0,0,0,0,0,H2 Forecast,0,0
FY15,Q2,4,India,Asia Pacific,Gen Y,Retail Store,Champagne Glass,Cocktail Glasses,0,0,0,0,0,0,0,H1 Actual,0,0
FY15,Q1,3,USA,North America,Gen Y,Wholesale,Highball Glass,Cocktail Glasses,0,0,0,0,0,0,0,H1 Actual,0,0
FY15,Q4,10,Germany,Europe,Gen Y,Online,Cocktail Glass,Cocktail Glasses,0,0,0,0,0,0,0,H2 Forecast,0,0
FY15,Q1,1,USA,North America,Gen Y,Wholesale,Skipping Rope,Exercise,0,0,0,0,0,0,0,H1 Actual,0,0
FY15,Q3,8,Australia,Asia Pacific,Gen X,Wholesale,Cocktail Glass,Cocktail Glasses,0,0,0,0,0,0,0,H2 Forecast,0,0
FY15,Q4,12,Germany,Europe,Gen X,Television,Highball Glass,Cocktail Glasses,0,0,0,0,0,0,0,H2 Forecast,0,0
FY15,Q4,10,Germany,Europe,Gen X,Retail Store,Weights,Exercise,0,0,0,0,0,0,0,H2 Forecast,0,0
FY15,Q4,10,Brazil,South America,Gen X,Online,Weights,Exercise,0,0,0,0,0,0,0,H2 Forecast,0,0
FY15,Q4,10,China,Asia Pacific,Gen X,Retail Store,Highball Glass,Cocktail Glasses,0,0,0,0,0,0,0,H2 Forecast,0,0
FY15,Q2,5,USA,North America,Gen X,Wholesale,Trainers,Sport Shoes,0,0,0,0,0,0,0,H1 Actual,0,0
FY15,Q3,7,Canada,North & Central America,Gen Y,Retail Store,Skipping Rope,Exercise,0,0,0,0,0,0,0,H2 Forecast,0,0
FY15,Q2,4,Canada,North & Central America,Gen Y,Retail Store,Skipping Rope,Exercise,0,0,0,0,0,0,0,H1 Actual,0,0
FY15,Q4,10,Japan,Asia Pacific,Gen X,Online,Highball Glass,Cocktail Glasses,0,0,0,0,0,0,0,H2 Forecast,0,0
FY15,Q1,2,USA,North America,Gen Y,Wholesale,Skipping Rope,Exercise,0,0,0,0,0,0,0,H1 Actual,0,0
FY15,Q4,12,Canada,North & Central America,Gen X,Wholesale,Resistance Bands,Exercise,0,0,0,0,0,0,0,H2 Forecast,0,0
