Month/year,Service Due Vehicle,MPG,Before,Mid,After
2020-01-01 00:00:00.0000000,0.89,47173.28,0.85,0.89,0.89
2020-02-01 00:00:00.0000000,0.86,47173.28,0.86,0.86,0.86
2020-03-01 00:00:00.0000000,0.89,47173.28,0.89,0.85,0.85
2020-04-01 00:00:00.0000000,0.91,47173.28,0,0.84,0.84
2020-05-01 00:00:00.0000000,0.92,47173.28,0,0.82,0.82
2020-06-01 00:00:00.0000000,0.93,47173.28,0,0.84,0.84
2020-07-01 00:00:00.0000000,0.93,47173.28,0,0.86,0.86
2020-08-01 00:00:00.0000000,0.93,47173.28,0,0.87,0.87
2020-09-01 00:00:00.0000000,0.93,47173.28,0,0.885,0.885
2020-10-01 00:00:00.0000000,0.93,47173.28,0,0.89,0.89
2020-11-01 00:00:00.0000000,0.93,47173.28,0,0.9,0.9
2020-12-01 00:00:00.0000000,0.93,47173.28,0,0.91,0.91
2021-01-01 00:00:00.0000000,0.93,47173.28,0,0,0.912
2021-02-01 00:00:00.0000000,0.93,47173.28,0,0,0.916
2021-03-01 00:00:00.0000000,0.93,47173.28,0,0,0.918
2021-04-01 00:00:00.0000000,0.93,47173.28,0,0,0.92
2021-05-01 00:00:00.0000000,0.93,47173.28,0,0,0.923
2021-06-01 00:00:00.0000000,0.93,47173.28,0,0,0.926
2021-07-01 00:00:00.0000000,0.93,47173.28,0,0,0.928
2021-08-01 00:00:00.0000000,0.93,47173.28,0,0,0.931
2021-09-01 00:00:00.0000000,0.93,47173.28,0,0,0.934
2021-10-01 00:00:00.0000000,0.94,47173.28,0,0,0.937
2021-11-01 00:00:00.0000000,0.94,47173.28,0,0,0.939
2021-12-01 00:00:00.0000000,0.94,47173.28,0,0,0.94
2022-01-01 00:00:00.0000000,0.94,0,0,0,0
2022-02-01 00:00:00.0000000,0.94,0,0,0,0
2022-03-01 00:00:00.0000000,0.94,0,0,0,0
2022-04-01 00:00:00.0000000,0.94,0,0,0,0
