DateOfManufacturing,Dept,fueltype,manufacturer,Recommended Service,VehicleID,Vehicle Type
"2001","EMS","Diesel","Daimler","10000","AMB055","Ambulance"
"2003","Public Transport","Diesel","Ayats","7650","MBUS094","Mini Bus"
"2005","Public Transport","Diesel","Alsa","14560","BUS018","Bus"
"2007","EMS","Diesel","Daimler","9500","AMB030","Ambulance"
"2009","Public Transport","Electricity","Irizar","15600","EBUS137","Electric Bus"
"2011","Public Transport","Diesel","Alsa","13465","BUS216","Bus"
"2011","Public Transport","Diesel","Avanza","13502","BUS206","Bus"
"2011","Public Transport","Diesel","Damas","13118","BUS309","Bus"
"2012","Public Transport","Diesel","Indcar","7125","MBUS401","Mini Bus"
"2014","Public Transport","Diesel","Indcar","7425","MBUS138","Mini Bus"
"2017","Public Transport","Diesel","Indcar","7575","MBUS606","Mini Bus"
"2018","Public Transport","Diesel","Ayats","7650","MBUS582","Mini Bus"
"2021","EMS","Diesel","Lafuncar","9500","AMB045","Ambulance"
"2001","EMS","Diesel","Lafuncar","9800","AMB021","Ambulance"
"2003","Public Transport","Diesel","Ayats","7725","MBUS100","Mini Bus"
"2005","Public Transport","Diesel","Alsa","13580","BUS029","Bus"
"2007","EMS","Diesel","Daimler","10200","AMB039","Ambulance"
"2009","Public Transport","Electricity","Irizar","14250","EBUS154","Electric Bus"
"2011","Public Transport","Diesel","Alsa","13461","BUS217","Bus"
"2011","Public Transport","Diesel","Avanza","13476","BUS213","Bus"
"2011","Public Transport","Diesel","Damas","13103","BUS313","Bus"
"2012","Public Transport","Diesel","Indcar","7650","MBUS420","Mini Bus"
"2014","Public Transport","Diesel","Indcar","7200","MBUS141","Mini Bus"
"2017","Public Transport","Diesel","Indcar","7350","MBUS609","Mini Bus"
"2018","Public Transport","Diesel","Ayats","7800","MBUS586","Mini Bus"
"2021","EMS","Diesel","Lafuncar","10500","AMB054","Ambulance"
"2001","EMS","Diesel","Mercedez-Benz","9700","AMB004","Ambulance"
"2003","Public Transport","Diesel","Ayats","7650","MBUS124","Mini Bus"
"2005","Public Transport","Diesel","Alsa","14420","BUS086","Bus"
"2007","EMS","Diesel","Lafuncar","10300","AMB058","Ambulance"
"2009","Public Transport","Electricity","Irizar","14250","EBUS156","Electric Bus"
"2011","Public Transport","Diesel","Alsa","13450","BUS220","Bus"
"2011","Public Transport","Diesel","Avanza","13442","BUS222","Bus"
"2011","Public Transport","Diesel","Damas","13099","BUS314","Bus"
"2012","Public Transport","Diesel","Indcar","7125","MBUS431","Mini Bus"
"2014","Public Transport","Diesel","Indcar","7425","MBUS168","Mini Bus"
"2017","Public Transport","Diesel","Indcar","7575","MBUS636","Mini Bus"
"2018","Public Transport","Diesel","Ayats","7650","MBUS612","Mini Bus"
"2021","EMS","Petrol","BMW","8160","SUV006","SUV"
"2001","EMS","Petrol","SEAT","7600","SUV001","SUV"
"2003","Public Transport","Diesel","Ayats","7725","MBUS130","Mini Bus"
"2005","Public Transport","Diesel","Alsa","13860","BUS091","Bus"
"2007","Fire","Diesel","Rosenbauer","12000","FRT006","Fire Truck"
"2009","Public Transport","Electricity","Irizar","14700","EBUS157","Electric Bus"
"2011","Public Transport","Diesel","Alsa","13424","BUS227","Bus"
"2011","Public Transport","Diesel","Avanza","13431","BUS225","Bus"
"2011","Public Transport","Diesel","Damas","13084","BUS318","Bus"
"2012","Public Transport","Diesel","Indcar","7650","MBUS450","Mini Bus"
"2014","Public Transport","Diesel","Indcar","7200","MBUS171","Mini Bus"
"2017","Public Transport","Diesel","Indcar","7350","MBUS639","Mini Bus"
"2018","Public Transport","Diesel","Ayats","7800","MBUS616","Mini Bus"
"2021","EMS","Petrol","SEAT","8400","SUV028","SUV"
"2001","Fire","Diesel","MORITA","11640","FRT016","Fire Truck"
"2003","Public Transport","Diesel","Ayats","7650","MBUS154","Mini Bus"
"2005","Public Transport","Diesel","Ayats","7500","MBUS003","Mini Bus"
"2007","Police","Petrol","Ford","5150","POL008","Police Car"
"2009","Public Transport","Electricity","Irizar","14850","EBUS159","Electric Bus"
"2011","Public Transport","Diesel","Alsa","13413","BUS230","Bus"
"2011","Public Transport","Diesel","Avanza","13420","BUS228","Bus"
"2011","Public Transport","Diesel","Damas","13077","BUS320","Bus"
"2012","Public Transport","Diesel","Indcar","7125","MBUS461","Mini Bus"
"2014","Public Transport","Diesel","Indcar","7425","MBUS198","Mini Bus"
"2017","Public Transport","Diesel","Indcar","7575","MBUS666","Mini Bus"
"2018","Public Transport","Diesel","Ayats","7650","MBUS642","Mini Bus"
"2021","Fire","Diesel","Rosenbauer","12000","FRT011","Fire Truck"
"2001","Public Transport","Diesel","Alsa","14280","BUS008","Bus"
"2003","Public Transport","Diesel","Ayats","7725","MBUS160","Mini Bus"
"2005","Public Transport","Diesel","Ayats","7800","MBUS013","Mini Bus"
"2007","Public Transport","Diesel","Alsa","14280","BUS033","Bus"
"2009","Public Transport","Electricity","Irizar","14700","EBUS164","Electric Bus"
"2011","Public Transport","Diesel","Alsa","13405","BUS232","Bus"
"2011","Public Transport","Diesel","Avanza","13409","BUS231","Bus"
