Months,Service Cost,Mini Bus,Bus,e Bus,BudgetServiceCost
"2020-01-01","1630000","489000","733500","407500",1581100.0000
"2020-01-02","1670000","501000","751500","417500",1619900.0000
"2020-01-03","1787000","536100","804150","446750",1733390.0000
"2020-01-04","1570789","471236.7","706855.05","392697.25",1523665.3300
"2020-01-05","1959000","587700","881550","489750",1900230.0000
"2020-01-06","1798556","539566.8","809350.2","449639",1744599.3200
"2020-01-07","2200000","660000","990000","550000",2134000.0000
"2020-01-08","2085700","625710","938565","521425",2023129.0000
"2020-01-09","1885000","565500","848250","471250",1828450.0000
"2020-01-10","1700899","510269.7","765404.55","425224.75",1649872.0300
"2020-01-11","1908570","572571","858856.5","477142.5",1851312.9000
"2020-01-12","2095690","628707","943060.5","523922.5",2032819.3000
"2021-01-01","1548500","464550","696825","387125",1579470.0000
"2021-01-02","1586500","475950","713925","396625",1618230.0000
"2021-01-03","1697650","509295","763942.5","424412.5",1731603.0000
"2021-01-04","1492249.55","447674.865","671512.2975","373062.3875",1522094.5410
"2021-01-05","1861050","558315","837472.5","465262.5",1898271.0000
"2021-01-06","1708628.2","512588.46","768882.69","427157.05",1742800.7640
"2021-01-07","2090000","627000","940500","522500",2131800.0000
"2021-01-08","1981415","594424.5","891636.75","495353.75",2021043.3000
"2021-01-09","1790750","537225","805837.5","447687.5",1826565.0000
"2021-01-10","1615854.05","484756.215","727134.3225","403963.5125",1648171.1310
"2021-01-11","1813141.5","543942.45","815913.675","453285.375",1849404.3300
"2021-01-12","1990905.5","597271.65","895907.475","497726.375",2030723.6100
