Month,Vehicle Maintenance Sentiment,Air Quality Sentiment,Articles published,Sentiment Transport,OpenServiceRequest,ClosedServiceRequest,Falling behind Service compliance
"2021-01-01","0.404","0.527489987235003","2","0.4","121","85","36"
"2021-02-01","0.412","0.634979974470005","0","0.41","113","91","22"
"2021-03-01","0.413","0.742469961705007","2","0.414","95","87","8"
"2021-04-01","0.42","0.84995994894001","1","0.43","81","78","3"
"2021-05-01","0.42","0.87145794638701","1","0.44","76","75","1"
"2021-06-01","0.43","0.892955943834011","2","0.457","53","53","0"
"2021-07-01","0.44","0.914453941281012","1","0.465","41","43","-2"
"2021-08-01","0.446","0.935951938728012","0","0.473","33","35","-2"
"2021-09-01","0.46","0.957449936175013","0","0.48","29","32","-3"
"2021-10-01","0.473","0.978947933622013","1","0.483","21","25","-4"
"2021-11-01","0.48","0.978947933622013","0","0.488","15","21","-6"
"2021-12-01","0.48","0.978947933622013","0","0.4897983015068","10","15","-5"
"2020-01-01","0.41","0.687861294466953","1","0.403930647233477","65","41","24"
"2020-02-01","0.4","0.783256601899682","0","0.392577940984001","68","45","23"
"2020-03-01","0.39","-0.0989278344888531","6","0.390156798010513","76","51","25"
"2020-04-01","0.39","0.238240842912008","4","0.388647036512711","81","62","19"
"2020-05-01","0.38","-0.110278323836423","8","0.386412288547098","93","71","22"
"2020-06-01","0.38","-0.129667489024967","6","0.371098195449434","101","77","24"
"2020-07-01","0.37","0.228193020219356","4","0.367939627954082","107","80","27"
"2020-08-01","0.365","-0.0344243551676461","5","0.369212832732174","111","87","24"
"2020-09-01","0.35","0.243533681357797","3","0.354203394164793","118","93","25"
"2020-10-01","0.35","-0.120872539607566","8","0.35381560843999","125","100","25"
"2020-11-01","0.35","0.341533681357797","3","0.349097177613814","132","107","25"
"2020-12-01","0.35","0.42","2","0.344251878243774","141","114","27"
