CityID,Year,Day,Ridership
"B1","2020","Mon","509821"
"B1","2020","Tue","511625"
"B1","2020","Wed","530116"
"B1","2020","Thu","520017"
"B1","2020","Fri","519312"
"B1","2020","Sat","494526"
"B1","2020","Sun","484330"
"B1","2021","Mon","535312"
"B1","2021","Tue","550330"
"B1","2021","Wed","570017"
"B1","2021","Thu","560625"
"B1","2021","Fri","554116"
"B1","2021","Sat","514526"
"B1","2021","Sun","500821"
"C1","2020","Mon","509821"
"C1","2020","Tue","511625"
"C1","2020","Wed","530116"
"C1","2020","Thu","520017"
"C1","2020","Fri","519312"
"C1","2020","Sat","494526"
"C1","2020","Sun","484330"
"C1","2021","Mon","535312"
"C1","2021","Tue","550330"
"C1","2021","Wed","570017"
"C1","2021","Thu","560625"
"C1","2021","Fri","554116"
"C1","2021","Sat","514526"
"C1","2021","Sun","500821"
