1,guess m blue,"Default Category/Collections/Performance Fabrics,Default Category",new-Default-simple-guess m blue-L-SaddleBrown,guess m blue Short Description,guess m blue Description,guess,Contoso-1
2,polo x blue,"Default Category/Collections/Performance Fabrics,Default Category",new-Default-simple-polo x blue-L-DarkCyan,polo x blue Short Description,polo x blue Description,polo,Contoso-2
3,guess xl black,"Default Category/Collections/Performance Fabrics,Default Category",new-Default-configurable-guess xl black-XL-LightSteelBlue,guess xl black Short Description,guess xl black Description,guess,Contoso-3
4,polo m black,"Default Category/Collections/Performance Fabrics,Default Category",new-Default-simple-polo m black-XL-Sienna,polo m black Short Description,polo m black Description,polo,Contoso-4
5,tommy m black,"Default Category/Collections/Performance Fabrics,Default Category",new-Default-simple-tommy m black-X-DarkGreen,tommy m black Short Description,tommy m black Description,tommy,Contoso-5
6,nike xl pink,"Default Category/Collections/Performance Fabrics,Default Category",new-Default-simple-nike xl pink-L-LightCyan,nike xl pink Short Description,nike xl pink Description,nike,Contoso-6
7,tommy x green,"Default Category/Collections/Performance Fabrics,Default Category",new-Default-simple-tommy x green-S-OrangeRed,tommy x green Short Description,tommy x green Description,tommy,Contoso-7
8,ck xl pink,"Default Category/Collections/Performance Fabrics,Default Category",new-Default-simple-ck xl pink-S-BurlyWood,ck xl pink Short Description,ck xl pink Description,ck,Contoso-8
9,tommy x gray,"Default Category/Collections/Performance Fabrics,Default Category",new-Default-simple-tommy x gray-M-SteelBlue,tommy x gray Short Description,tommy x gray Description,tommy,Contoso-9
10,tommy x blue,"Default Category/Collections/Performance Fabrics,Default Category",new-Default-simple-tommy x blue-XS-DarkGrey,tommy x blue Short Description,tommy x blue Description,tommy,Contoso-10
11,tommy xl pink,"Default Category/Collections/Performance Fabrics,Default Category",new-Default-simple-tommy xl pink-L-Yellow,tommy xl pink Short Description,tommy xl pink Description,tommy,Contoso-11
12,nike x pink,"Default Category/Collections/Performance Fabrics,Default Category",new-Default-simple-nike x pink-L-Azure,nike x pink Short Description,nike x pink Description,nike,Contoso-12
13,guess x pink,"Default Category/Collections/Performance Fabrics,Default Category",new-Default-simple-guess x pink-XL-WhiteSmoke,guess x pink Short Description,guess x pink Description,guess,Contoso-13
14,guess m gray,"Default Category/Collections/Performance Fabrics,Default Category",new-Default-simple-guess m gray-X-Gray,guess m gray Short Description,guess m gray Description,guess,Contoso-14
15,tommy xl green,"Default Category/Collections/Performance Fabrics,Default Category",new-Default-simple-tommy xl green-XXL-Navy,tommy xl green Short Description,tommy xl green Description,tommy,Contoso-15
16,tommy m gray,"Default Category/Collections/Performance Fabrics,Default Category",new-Default-configurable-tommy m gray-XS-Grey,tommy m gray Short Description,tommy m gray Description,tommy,Contoso-16
17,puma m pink,"Default Category/Collections/Performance Fabrics,Default Category",new-Default-simple-puma m pink-X-Green,puma m pink Short Description,puma m pink Description,puma,Contoso-17
18,nike xl white,"Default Category/Collections/Performance Fabrics,Default Category",new-Default-simple-nike xl white-X-ForestGreen,nike xl white Short Description,nike xl white Description,nike,Contoso-18
19,levis x green,"Default Category/Collections/Performance Fabrics,Default Category",new-Default-simple-levis x green-XXL-LightPink,levis x green Short Description,levis x green Description,levis,Contoso-19
20,guess m gray,"Default Category/Collections/Performance Fabrics,Default Category",new-Default-simple-guess m gray-XS-Chocolate,guess m gray Short Description,guess m gray Description,guess,Contoso-20
21,polo xl pink,"Default Category/Collections/Performance Fabrics,Default Category",new-Default-simple-polo xl pink-XS-Fuchsia,polo xl pink Short Description,polo xl pink Description,polo,Contoso-21
22,tommy m blue,"Default Category/Collections/Performance Fabrics,Default Category",new-Default-simple-tommy m blue-XS-DarkSalmon,tommy m blue Short Description,tommy m blue Description,tommy,Contoso-22
23,nike x white,"Default Category/Collections/Performance Fabrics,Default Category",new-Default-simple-nike x white-XL-LightCoral,nike x white Short Description,nike x white Description,nike,Contoso-23
24,nike xl green,"Default Category/Collections/Performance Fabrics,Default Category",new-Default-simple-nike xl green-L-LightSalmon,nike xl green Short Description,nike xl green Description,nike,Contoso-24
25,puma xl blue,"Default Category/Collections/Performance Fabrics,Default Category",new-Default-simple-puma xl blue-L-White,puma xl blue Short Description,puma xl blue Description,puma,Contoso-25
