Date,Accessories_count,Entertainment_count,Gaming,Kids,Mens,Phone_and_GPS,Womens
08-06-2015,309,37,67,74,46,12,73
26-01-2020,367,20,32,73,56,88,98
21-10-2019,419,64,68,41,97,88,61
04-02-2019,481,46,91,96,75,92,81
16-04-2017,162,25,20,30,29,32,26
30-11-2015,283,53,81,14,47,87,1
02-12-2016,280,51,54,46,42,73,14
29-09-2018,295,67,52,66,8,82,20
15-12-2020,256,28,5,96,71,10,46
16-05-2017,336,40,71,92,35,5,93
26-12-2019,217,39,6,49,45,53,25
11-11-2019,267,3,75,72,26,82,9
09-02-2017,381,95,76,99,32,27,52
20-11-2016,294,28,84,26,43,63,50
20-04-2016,319,57,57,35,67,68,35
29-05-2019,153,34,10,50,48,10,1
17-03-2017,214,86,11,24,1,16,76
01-07-2015,380,76,39,76,60,91,38
20-05-2017,185,43,18,31,0,36,57
29-07-2020,316,15,78,94,25,79,25
25-09-2017,254,45,59,4,25,60,61
17-05-2018,322,9,47,21,85,87,73
30-10-2017,326,9,30,99,89,78,21
25-08-2020,181,76,16,35,34,2,18
08-06-2017,182,31,5,16,21,34,75
20-05-2017,353,76,93,23,74,17,70
29-03-2018,349,45,99,79,4,30,92
08-04-2019,229,7,13,87,84,11,27
06-09-2015,368,99,88,59,2,61,59
21-11-2019,288,88,31,36,39,36,58
12-05-2018,286,45,19,92,58,16,56
05-06-2020,250,2,57,27,61,64,39
14-06-2018,251,13,38,53,57,48,42
13-02-2020,182,38,15,16,45,2,66
21-02-2019,236,21,88,28,22,23,54
25-11-2015,409,94,66,68,99,38,44
19-04-2017,292,25,72,65,41,28,61
21-08-2018,283,10,82,52,27,37,75
08-01-2016,221,61,40,24,43,3,50
07-07-2015,372,78,52,12,89,61,80
16-05-2016,409,74,39,90,70,88,48
20-04-2019,226,60,5,29,82,0,50
10-10-2018,326,34,67,26,63,57,79
26-06-2019,322,60,83,73,6,60,40
30-04-2015,243,80,0,57,94,9,3
07-07-2019,324,68,35,64,79,76,2
02-11-2019,287,64,44,60,43,5,71
20-07-2020,254,41,28,61,4,51,69
19-01-2020,193,31,35,30,3,60,34
10-08-2015,342,44,61,69,40,82,46
14-08-2018,274,87,8,5,99,14,61
05-03-2016,263,27,7,3,88,67,71
18-01-2016,446,92,87,99,16,57,95
02-10-2016,201,20,58,82,19,18,4
24-04-2020,371,76,33,94,31,90,47
19-03-2015,265,8,69,65,24,10,89
18-04-2020,236,8,27,45,50,66,40
26-09-2016,371,95,65,92,21,36,62
03-06-2020,334,32,90,95,43,39,35
15-07-2019,240,24,28,49,77,24,38
08-12-2016,287,49,8,51,37,78,64
27-01-2018,291,7,66,71,86,30,31
13-08-2018,264,37,57,43,63,42,22
21-08-2017,324,92,21,28,90,74,19
22-07-2019,401,92,28,61,97,82,41
10-12-2016,360,62,99,26,80,37,56
21-07-2017,278,22,37,48,37,95,39
08-06-2017,289,88,39,51,26,40,45
29-04-2018,261,16,60,97,32,34,22
24-08-2019,290,59,54,64,88,12,13
26-09-2016,451,85,76,27,90,86,87
24-02-2015,380,93,55,86,46,32,68
04-07-2017,262,28,43,39,18,96,38
26-04-2015,395,72,99,34,31,87,72
11-12-2018,380,27,44,91,43,94,81
27-02-2020,244,63,13,32,89,22,25
01-03-2015,327,27,52,70,73,32,73
09-11-2020,327,39,49,13,97,36,93
04-04-2019,386,19,82,60,69,88,68
06-08-2015,288,17,57,50,47,46,71
14-11-2020,350,85,26,70,75,17,77
17-01-2020,313,80,10,96,42,35,50
11-06-2015,369,55,83,39,87,69,36
16-02-2018,424,30,81,93,92,59,69
12-09-2020,269,43,6,33,53,47,87
16-09-2019,363,64,36,56,89,98,20
25-04-2020,361,20,99,84,16,84,58
09-01-2016,277,37,57,26,33,75,49
25-11-2019,321,22,49,91,51,31,77
13-09-2020,296,5,71,78,83,40,19
17-04-2020,327,93,13,61,17,85,58
11-06-2016,347,24,90,70,29,51,83
26-10-2015,416,49,68,87,83,30,99
14-08-2019,329,76,62,19,10,80,82
27-03-2015,431,8,85,96,80,95,67
29-04-2016,222,68,72,13,38,7,24
16-09-2015,295,9,21,68,69,74,54
23-10-2015,324,54,21,18,78,97,56
19-04-2016,174,9,24,41,9,0,91
03-10-2017,242,67,53,16,0,55,51
18-10-2016,419,89,45,24,88,84,89
17-10-2018,289,81,42,61,0,71,34
03-01-2017,296,37,95,1,35,50,78
26-07-2018,412,87,58,61,59,51,96
17-05-2015,207,92,5,22,15,11,62
14-10-2019,394,72,46,54,86,52,84
02-08-2018,285,58,5,42,51,86,43
17-04-2016,267,65,95,69,18,15,5
10-07-2020,182,17,79,8,10,14,54
21-12-2016,425,96,37,52,74,93,73
22-07-2019,306,40,99,25,58,4,80
16-05-2019,273,47,89,60,24,38,15
28-07-2020,283,96,7,58,4,36,82
11-06-2016,221,3,12,50,32,78,46
20-08-2019,354,97,25,28,76,67,61
12-09-2015,289,7,53,75,17,93,44
25-03-2017,247,23,95,5,46,69,9
02-11-2018,304,63,67,56,34,45,39
29-06-2019,391,33,54,97,42,88,77
26-12-2019,226,41,13,3,89,18,62
21-11-2020,305,67,23,98,23,17,77
04-09-2019,410,69,62,69,84,57,69
29-08-2018,310,98,25,18,4,85,80
05-08-2017,351,73,69,19,41,70,79
25-02-2019,309,19,91,19,96,25,59
23-03-2015,298,26,93,41,44,13,81
31-10-2017,304,15,38,60,7,93,91
27-12-2020,215,15,13,48,77,11,51
16-07-2020,358,53,28,71,61,66,79
15-08-2020,392,88,99,66,2,58,79
28-02-2015,400,86,69,53,76,36,80
02-03-2019,221,57,6,57,11,67,23
18-08-2019,320,0,68,87,78,51,36
07-02-2016,269,1,88,69,0,54,57
07-12-2019,220,60,2,37,60,25,36
09-09-2016,181,22,12,50,23,22,52
18-04-2020,417,65,95,45,43,83,86
24-11-2020,360,30,47,85,94,33,71
05-02-2019,219,14,2,50,83,53,17
09-01-2017,306,63,84,40,21,85,13
13-11-2019,299,33,12,54,19,84,97
01-09-2020,241,36,27,96,60,15,7
12-02-2020,382,79,26,43,95,43,96
12-03-2018,348,70,87,29,81,76,5
27-07-2020,320,98,42,17,93,67,3
30-12-2015,366,84,83,5,56,76,62
16-07-2015,281,36,91,83,43,9,19
12-04-2016,308,48,30,74,68,76,12
01-05-2016,361,98,80,60,79,18,26
19-08-2015,214,55,38,62,43,14,2
07-06-2015,379,63,47,65,73,92,39
03-12-2020,257,85,13,11,87,19,42
09-09-2017,304,14,44,88,29,98,31
29-06-2018,235,51,59,2,81,30,12
16-02-2016,234,28,60,16,35,6,89
06-08-2017,373,4,74,99,83,78,35
19-04-2018,372,74,73,82,31,25,87
04-10-2018,267,64,27,86,14,27,49
23-08-2019,346,98,31,11,59,53,94
28-01-2016,220,25,30,19,75,10,61
26-05-2017,278,9,55,48,68,45,53
22-06-2017,268,9,72,33,46,48,60
18-08-2019,428,95,15,90,80,82,66
15-01-2017,294,79,90,7,42,1,75
03-06-2020,293,45,73,55,48,62,10
14-06-2016,263,50,70,13,44,26,60
05-08-2018,424,94,83,89,89,23,46
02-04-2019,285,56,19,55,46,55,54
17-02-2018,330,55,81,72,64,51,7
05-06-2015,131,46,11,0,2,8,64
12-12-2016,262,58,19,60,4,33,88
19-08-2020,396,99,64,78,7,51,97
30-12-2020,288,65,2,99,37,9,76
29-11-2015,259,91,4,86,16,3,59
02-06-2020,381,60,74,63,25,82,77
22-03-2018,261,2,69,66,37,6,81
13-10-2018,355,23,66,49,94,32,91
03-07-2017,173,59,8,1,2,99,4
31-10-2015,281,50,42,55,80,37,17
18-09-2020,290,32,28,47,90,73,20
18-06-2017,317,91,84,84,39,6,13
04-01-2015,238,0,17,42,88,83,8
16-10-2015,233,5,43,21,25,68,71
14-08-2015,362,38,99,95,16,19,95
29-02-2020,401,85,86,34,90,16,90
30-03-2015,368,48,96,37,18,87,82
02-06-2018,420,94,76,61,89,94,6
23-03-2019,398,55,87,96,33,41,86
10-05-2017,249,40,24,52,47,21,65
01-11-2017,263,44,30,85,10,46,48
21-01-2015,338,77,23,71,87,59,21
31-10-2015,225,39,31,56,52,1,46
03-04-2017,376,67,9,93,51,71,85
14-03-2018,304,73,53,55,74,4,45
16-11-2015,328,50,70,59,58,31,60
04-08-2016,311,84,70,44,37,73,3
07-02-2016,264,99,20,14,77,28,26
08-10-2016,282,34,8,29,42,98,71
26-10-2017,282,20,10,92,78,0,82
21-06-2016,213,73,16,44,18,8,54
10-02-2016,353,67,32,91,26,58,79
08-12-2017,265,57,52,87,28,24,17
27-12-2020,207,93,15,31,41,23,4
23-09-2019,327,72,91,55,56,20,33
14-01-2015,329,54,34,40,66,39,96
07-11-2019,110,1,8,9,51,30,11
02-04-2015,292,10,80,17,96,28,61
17-11-2017,436,72,82,95,39,62,86
21-10-2015,302,22,8,72,67,36,97
28-09-2017,400,43,95,42,59,98,63
12-06-2015,408,71,53,96,71,39,78
08-09-2016,413,59,23,72,96,64,99
21-11-2019,290,14,73,7,56,44,96
02-06-2016,420,79,10,99,94,44,94
20-01-2019,308,51,79,36,6,64,72
07-09-2017,325,33,69,70,6,98,49
16-12-2019,253,20,83,1,89,29,31
05-11-2017,300,49,29,62,45,95,20
26-11-2016,351,23,64,27,98,86,53
20-02-2019,244,24,53,57,15,79,16
06-05-2016,227,69,13,24,36,81,4
09-04-2019,183,25,24,14,90,28,2
16-02-2018,308,52,90,45,62,59,0
20-03-2018,340,23,91,47,31,93,55
01-09-2017,459,98,20,87,80,92,82
24-04-2017,213,12,26,69,16,20,70
05-10-2020,353,69,67,44,49,64,60
09-01-2019,217,50,74,10,35,7,41
15-06-2018,261,1,25,57,33,94,51
09-10-2015,142,1,70,15,18,38,0
17-03-2016,300,17,56,55,77,5,90
27-10-2016,159,6,25,91,13,8,16
26-07-2016,226,11,36,51,75,26,27
03-03-2016,379,38,81,71,76,71,42
28-07-2015,224,53,8,34,60,28,41
06-05-2019,251,1,32,31,75,86,26
28-05-2017,324,85,98,42,28,12,59
28-06-2016,187,32,27,29,35,63,1
24-08-2015,194,8,25,6,76,31,48
29-10-2016,321,56,47,64,66,2,86
22-02-2020,378,86,87,71,3,61,70
02-04-2016,275,4,78,40,85,27,41
03-07-2015,303,48,51,13,81,97,13
30-09-2017,400,63,74,30,58,83,92
16-07-2017,272,82,20,42,61,36,31
17-11-2019,381,46,65,11,87,86,86
14-01-2019,329,58,77,56,33,9,96
04-10-2019,303,69,79,35,36,33,51
21-09-2017,286,30,25,63,59,83,26
16-02-2017,210,8,32,34,38,52,46
23-06-2017,320,25,2,76,98,82,37
20-04-2019,230,58,8,25,41,13,85
30-12-2016,321,89,63,10,81,44,34
30-04-2018,340,7,74,90,74,87,8
17-10-2020,293,87,33,12,11,85,65
14-02-2016,277,74,11,85,28,46,33
20-07-2020,196,52,46,1,37,34,26
09-08-2019,249,22,63,29,89,10,36
01-05-2018,421,71,51,57,89,65,88
23-05-2019,357,67,88,30,24,49,99
11-11-2018,274,62,27,45,84,21,35
15-06-2020,356,75,85,31,72,55,38
05-02-2015,312,41,90,21,8,90,62
06-06-2016,373,38,95,45,83,85,27
31-03-2020,156,46,15,37,22,25,11
06-09-2020,243,9,42,63,92,7,30
25-04-2017,382,78,84,56,4,90,70
12-09-2018,184,27,21,23,32,71,10
09-12-2018,215,21,44,44,92,7,7
06-05-2016,231,73,21,20,7,84,26
04-09-2018,357,14,63,98,68,76,38
30-01-2016,214,67,58,5,65,13,6
01-11-2019,300,54,68,5,73,91,9
17-10-2016,188,44,62,7,29,13,33
21-10-2015,300,61,82,34,99,12,12
16-06-2020,270,97,29,57,14,37,36
28-04-2015,308,25,87,41,49,96,10
27-01-2019,275,64,33,89,26,62,1
15-05-2018,435,85,73,76,63,51,87
22-09-2018,321,96,0,39,99,16,71
26-07-2016,310,63,28,33,58,52,76
30-06-2016,328,60,90,35,72,61,10
16-04-2019,308,9,54,60,94,71,20
22-03-2019,384,98,48,73,83,47,35
21-11-2017,231,9,48,16,97,21,40
29-01-2017,289,19,73,67,78,10,42
06-09-2016,220,20,43,34,7,29,87
29-06-2019,307,22,80,1,69,94,41
23-04-2015,352,84,54,71,37,51,55
21-02-2019,300,5,5,84,97,55,54
25-09-2020,346,98,73,83,5,52,35
18-01-2020,172,0,86,3,14,19,50
02-03-2019,406,60,61,50,90,85,60
03-05-2017,263,55,9,18,81,94,6
06-08-2018,323,29,1,62,97,44,90
02-05-2016,256,82,43,5,47,0,79
29-05-2015,471,74,69,69,83,85,91
19-09-2015,290,17,45,23,57,77,71
05-11-2019,160,32,7,19,27,23,52
09-06-2020,178,52,64,1,40,16,5
24-07-2019,289,49,48,86,67,24,15
02-08-2019,280,71,47,17,47,17,81
03-12-2019,251,15,63,6,55,19,93
15-04-2020,245,75,17,33,36,39,45
11-01-2018,418,98,97,73,26,83,41
07-02-2017,240,47,62,13,49,66,3
13-03-2018,374,71,22,99,50,76,56
06-05-2016,227,14,84,0,17,57,55
08-10-2016,399,83,49,64,50,66,87
29-04-2019,322,42,23,91,28,84,54
10-12-2016,391,74,61,30,92,38,96
28-08-2015,346,3,70,89,89,20,75
26-08-2016,323,64,29,16,45,92,77
31-01-2020,244,16,16,67,15,75,55
29-07-2019,385,90,43,96,91,8,57
21-01-2020,294,1,49,16,96,38,94
07-05-2016,252,33,6,84,22,70,37
25-11-2016,208,1,34,31,34,65,43
01-01-2016,398,91,64,77,95,32,39
12-11-2017,335,26,81,68,85,68,7
17-10-2016,339,80,58,51,9,45,96
11-02-2019,244,61,76,2,52,9,44
09-06-2015,364,57,56,64,18,72,97
30-11-2019,201,26,9,71,25,1,69
04-02-2017,347,39,25,71,46,82,84
11-04-2016,349,96,87,15,71,55,25
03-11-2019,473,89,97,90,72,84,41
24-07-2018,303,99,6,43,61,26,68
08-01-2020,283,11,29,83,33,56,71
05-12-2016,173,11,20,52,66,16,8
03-07-2019,342,87,31,67,63,0,94
23-10-2015,350,50,92,60,3,83,62
19-01-2018,303,29,0,86,88,1,99
27-01-2016,282,45,39,54,66,15,63
08-06-2018,266,11,8,91,11,61,84
17-09-2018,323,3,80,84,52,26,78
03-10-2015,383,28,42,83,76,81,73
08-12-2015,288,16,91,52,18,48,63
06-07-2015,310,81,11,19,79,89,31
21-08-2020,346,6,81,95,62,63,39
01-07-2017,204,34,30,81,10,38,11
24-09-2017,418,66,23,84,83,84,78
21-02-2018,384,97,69,74,40,17,87
08-03-2015,268,94,31,68,9,1,65
21-07-2015,184,26,16,9,26,83,24
25-06-2018,394,86,87,92,1,86,42
22-03-2016,278,51,29,68,69,40,21
25-08-2015,265,44,47,13,36,92,33
25-07-2015,457,81,96,26,81,90,83
06-06-2017,391,71,98,82,54,0,86
14-04-2015,293,37,91,32,12,97,24
04-12-2016,395,69,92,99,99,15,21
26-02-2016,364,32,69,66,77,92,28
31-07-2015,357,92,24,92,34,28,87
15-04-2020,326,55,50,81,48,72,20
15-08-2018,283,49,44,81,74,32,3
18-04-2017,255,44,78,35,23,62,13
30-03-2016,295,14,20,92,28,63,78
30-01-2019,241,21,7,43,36,48,86
17-09-2016,228,14,97,72,0,36,9
05-01-2019,336,72,73,21,46,28,96
11-08-2020,209,2,21,67,54,3,62
26-02-2016,309,13,94,61,95,0,46
03-01-2015,317,9,95,70,1,71,71
30-04-2020,205,58,73,56,9,3,6
07-06-2016,280,50,15,35,96,16,68
08-05-2019,317,59,60,64,64,37,33
26-03-2020,254,17,83,34,36,46,38
10-03-2015,195,37,4,53,20,10,71
21-12-2016,376,79,68,70,72,51,36
02-01-2016,317,2,70,17,61,77,90
04-08-2017,235,67,3,36,57,69,3
22-02-2019,336,60,17,32,77,60,90
17-06-2020,212,9,40,36,72,50,5
20-02-2017,254,6,45,9,59,56,79
28-07-2016,358,74,68,63,38,17,98
24-01-2016,382,53,0,98,85,50,96
29-09-2020,244,27,40,47,25,24,81
09-08-2018,359,59,16,44,84,83,73
