time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-01-30 00:00:00+00:00,8,6,84,26
2025-01-31 00:00:00+00:00,15,10,101,14
2025-02-01 00:00:00+00:00,8,6,8,3
2025-02-02 00:00:00+00:00,10,6,39,3
2025-02-03 00:00:00+00:00,15,9,158,21
2025-02-04 00:00:00+00:00,10,6,84,22
2025-02-05 00:00:00+00:00,12,8,124,19
2025-02-06 00:00:00+00:00,8,6,99,24
2025-02-07 00:00:00+00:00,14,9,215,29
2025-02-08 00:00:00+00:00,8,7,3,3
2025-02-09 00:00:00+00:00,19,9,24,4
2025-02-10 00:00:00+00:00,12,9,75,22
2025-02-11 00:00:00+00:00,7,6,97,33
2025-02-12 00:00:00+00:00,4,4,96,38
