url_path,views_total,views_unique
/microsoft/Azure-Analytics-and-AI-Engagement,139,93
/microsoft/Azure-Analytics-and-AI-Engagement/blob/microsoftfabric2.0/fabric/Readme-shell.md,111,33
/microsoft/Azure-Analytics-and-AI-Engagement/blob/main/README.md,97,62
/microsoft/Azure-Analytics-and-AI-Engagement/blob/microsoftfabric/fabric/Readme-shell.md,43,21
/microsoft/Azure-Analytics-and-AI-Engagement/blob/sustainability2.0/sustainability/Readme-Shell.md,31,10
/microsoft/Azure-Analytics-and-AI-Engagement/tree/main/microsoft/Azure-Analytics-and-AI-Engagement,28,17
/microsoft/Azure-Analytics-and-AI-Engagement/blob/microsoftfabric2.0/fabric/fabricSetup.ps1,28,8
/microsoft/Azure-Analytics-and-AI-Engagement/tree/microsoftfabric2.0/fabric,27,10
/microsoft/Azure-Analytics-and-AI-Engagement/tree/main/Manufacturing,23,8
/microsoft/Azure-Analytics-and-AI-Engagement/tree/main,17,13
