time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-10-16 00:00:00+00:00,11,7,254,36
2024-10-17 00:00:00+00:00,2,2,150,29
2024-10-18 00:00:00+00:00,6,3,117,28
2024-10-19 00:00:00+00:00,5,2,27,11
2024-10-20 00:00:00+00:00,3,3,9,5
2024-10-21 00:00:00+00:00,3,3,188,23
2024-10-22 00:00:00+00:00,1,1,89,24
2024-10-23 00:00:00+00:00,2,2,94,21
2024-10-24 00:00:00+00:00,7,4,78,22
2024-10-25 00:00:00+00:00,1,1,130,25
2024-10-26 00:00:00+00:00,3,2,14,6
2024-10-27 00:00:00+00:00,4,3,10,7
2024-10-28 00:00:00+00:00,3,3,178,27
2024-10-29 00:00:00+00:00,1,1,85,23
