url_path,views_total,views_unique
/microsoft/Azure-Analytics-and-AI-Engagement,100,54
/microsoft/Azure-Analytics-and-AI-Engagement/blob/microsoftfabric2.0/fabric/Readme-shell.md,53,38
/microsoft/Azure-Analytics-and-AI-Engagement/blob/microsoftfabric/fabric/Readme-shell.md,30,18
/microsoft/Azure-Analytics-and-AI-Engagement/tree/main/CDP-Retail,21,13
/microsoft/Azure-Analytics-and-AI-Engagement/tree/ignite-lab-2024/lab24,21,8
/microsoft/Azure-Analytics-and-AI-Engagement/tree/main/Manufacturing,11,6
/microsoft/Azure-Analytics-and-AI-Engagement/tree/ignite-lab-2024,11,4
/microsoft/Azure-Analytics-and-AI-Engagement/blob/ignite-lab-2024/lab24/Readme-Shell.md,11,3
/microsoft/Azure-Analytics-and-AI-Engagement/tree/main,10,6
/microsoft/Azure-Analytics-and-AI-Engagement/blob/main/Manufacturing/Readme-shell.md,8,8
