time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-06-15 00:00:00+00:00,5,5,17,5
2024-06-16 00:00:00+00:00,1,1,19,6
2024-06-17 00:00:00+00:00,10,6,44,10
2024-06-18 00:00:00+00:00,4,4,56,15
2024-06-19 00:00:00+00:00,4,4,21,9
2024-06-20 00:00:00+00:00,5,5,95,23
2024-06-21 00:00:00+00:00,4,2,59,9
2024-06-22 00:00:00+00:00,9,7,20,7
2024-06-23 00:00:00+00:00,3,3,30,6
2024-06-24 00:00:00+00:00,2,2,40,12
2024-06-25 00:00:00+00:00,6,6,205,20
2024-06-26 00:00:00+00:00,4,3,31,8
2024-06-27 00:00:00+00:00,4,3,102,31
2024-06-28 00:00:00+00:00,1,1,20,9
