url_path,views_total,views_unique
/microsoft/Azure-Analytics-and-AI-Engagement,96,59
/microsoft/Azure-Analytics-and-AI-Engagement/blob/microsoftfabric2.0/fabric/Readme-shell.md,54,19
/microsoft/Azure-Analytics-and-AI-Engagement/blob/microsoftfabric/fabric/Readme-shell.md,51,22
/microsoft/Azure-Analytics-and-AI-Engagement/tree/main/Manufacturing,34,15
/microsoft/Azure-Analytics-and-AI-Engagement/tree/main/microsoft/Azure-Analytics-and-AI-Engagement,21,12
/microsoft/Azure-Analytics-and-AI-Engagement/blob/microsoftfabric/fabric/PowerBI%20Copilot/Copilot%20TDM%20Demonstration.md,18,5
/microsoft/Azure-Analytics-and-AI-Engagement/blob/main/Manufacturing/Readme-shell.md,16,12
/microsoft/Azure-Analytics-and-AI-Engagement/tree/main,16,9
/microsoft/Azure-Analytics-and-AI-Engagement/tree/main/CDP-Retail,14,10
/microsoft/Azure-Analytics-and-AI-Engagement/blob/main/Manufacturing/Power%20BI%20Embedding.md,13,9
