time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-04-26 00:00:00+00:00,11,5,127,19
2024-04-27 00:00:00+00:00,14,8,72,3
2024-04-28 00:00:00+00:00,8,7,39,11
2024-04-29 00:00:00+00:00,11,8,204,19
2024-04-30 00:00:00+00:00,4,3,126,16
2024-05-01 00:00:00+00:00,8,7,65,14
2024-05-02 00:00:00+00:00,11,7,159,22
2024-05-03 00:00:00+00:00,12,8,84,13
2024-05-04 00:00:00+00:00,7,6,147,10
2024-05-05 00:00:00+00:00,9,5,20,6
2024-05-06 00:00:00+00:00,18,13,143,19
2024-05-07 00:00:00+00:00,7,6,84,24
2024-05-08 00:00:00+00:00,4,4,120,19
2024-05-09 00:00:00+00:00,7,7,115,15
