url_path,views_total,views_unique
/microsoft/Azure-Analytics-and-AI-Engagement/blob/microsoftfabric/fabric/Readme-shell.md,155,31
/microsoft/Azure-Analytics-and-AI-Engagement,61,31
/microsoft/Azure-Analytics-and-AI-Engagement/tree/publicfinance/fintaxdemo/artifacts/reports,43,2
/microsoft/Azure-Analytics-and-AI-Engagement/tree/microsoftfabric/fabric,42,5
/microsoft/Azure-Analytics-and-AI-Engagement/tree/main/microsoft/Azure-Analytics-and-AI-Engagement,39,12
/microsoft/Azure-Analytics-and-AI-Engagement/tree/main,39,9
/microsoft/Azure-Analytics-and-AI-Engagement/blob/ignite-lab/ignite/Readme-Shell.md,27,8
/microsoft/Azure-Analytics-and-AI-Engagement/blob/e1a37c335105d679096fc9c780b03c46cf4ab625/retail/artifacts/amlnotebooks/Config.py,26,10
/microsoft/Azure-Analytics-and-AI-Engagement/tree/microsoftfabric/fabric/artifacts,26,4
/microsoft/Azure-Analytics-and-AI-Engagement/blob/microsoftfabric2.0/fabric/Readme-shell.md,22,8
