time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-09-21 00:00:00+00:00,1,1,4,2
2024-09-22 00:00:00+00:00,2,2,23,7
2024-09-23 00:00:00+00:00,2,2,36,10
2024-09-24 00:00:00+00:00,2,2,112,16
2024-09-25 00:00:00+00:00,3,3,145,18
2024-09-26 00:00:00+00:00,2,2,31,13
2024-09-27 00:00:00+00:00,3,3,50,9
2024-09-28 00:00:00+00:00,8,5,68,6
2024-09-29 00:00:00+00:00,2,2,14,7
2024-09-30 00:00:00+00:00,2,2,127,21
2024-10-01 00:00:00+00:00,5,4,130,23
2024-10-02 00:00:00+00:00,4,3,54,21
2024-10-03 00:00:00+00:00,6,4,76,18
2024-10-04 00:00:00+00:00,3,1,51,18
