time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-06-02 00:00:00+00:00,7,5,14,7
2024-06-03 00:00:00+00:00,15,9,111,19
2024-06-04 00:00:00+00:00,5,4,97,15
2024-06-05 00:00:00+00:00,7,3,168,11
2024-06-06 00:00:00+00:00,9,5,36,12
2024-06-07 00:00:00+00:00,5,3,31,8
2024-06-08 00:00:00+00:00,7,6,9,4
2024-06-09 00:00:00+00:00,4,3,34,6
2024-06-10 00:00:00+00:00,13,8,93,13
2024-06-11 00:00:00+00:00,10,6,90,14
2024-06-12 00:00:00+00:00,13,10,158,56
2024-06-13 00:00:00+00:00,1,1,123,29
2024-06-14 00:00:00+00:00,4,4,153,14
2024-06-15 00:00:00+00:00,2,2,15,4
