url_path,views_total,views_unique
/microsoft/Azure-Analytics-and-AI-Engagement,77,49
/microsoft/Azure-Analytics-and-AI-Engagement/blob/microsoftfabric/fabric/Readme-shell.md,73,26
/microsoft/Azure-Analytics-and-AI-Engagement/blob/microsoftfabric2.0/fabric/Readme-shell.md,65,18
/microsoft/Azure-Analytics-and-AI-Engagement/tree/main/Manufacturing,27,12
/microsoft/Azure-Analytics-and-AI-Engagement/blob/microsoftfabric2.0/fabric/artifacts/warehousescripts/01%20Stored%20Procedure%20-%20Top%2010%20Most%20Valuable%20Customer.sql,21,5
/microsoft/Azure-Analytics-and-AI-Engagement/tree/microsoftfabric/fabric/artifacts/warehousescripts,21,3
/microsoft/Azure-Analytics-and-AI-Engagement/blob/microsoftfabric2.0/fabric/artifacts/warehousescripts/00%20Ingest%20Data%20In%20DW%20Using%20COPY%20INTO%20Command.sql,16,4
/microsoft/Azure-Analytics-and-AI-Engagement/tree/main/microsoft/Azure-Analytics-and-AI-Engagement,15,9
/microsoft/Azure-Analytics-and-AI-Engagement/blob/main/Manufacturing/Readme-shell.md,13,12
/microsoft/Azure-Analytics-and-AI-Engagement/tree/main,13,8
