time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-07-26 00:00:00+00:00,2,2,159,17
2024-07-27 00:00:00+00:00,1,1,7,5
2024-07-28 00:00:00+00:00,2,2,33,2
2024-07-29 00:00:00+00:00,6,5,86,10
2024-07-30 00:00:00+00:00,3,3,315,24
2024-07-31 00:00:00+00:00,6,4,394,35
2024-08-01 00:00:00+00:00,1,1,164,22
2024-08-02 00:00:00+00:00,5,3,98,16
2024-08-03 00:00:00+00:00,1,1,19,8
2024-08-04 00:00:00+00:00,3,3,15,5
2024-08-05 00:00:00+00:00,3,2,269,23
2024-08-06 00:00:00+00:00,2,2,174,33
2024-08-07 00:00:00+00:00,4,4,147,20
2024-08-08 00:00:00+00:00,2,2,91,21
