url_path,views_total,views_unique
/microsoft/Azure-Analytics-and-AI-Engagement/blob/microsoftfabric/fabric/Readme-shell.md,155,53
/microsoft/Azure-Analytics-and-AI-Engagement,60,37
/microsoft/Azure-Analytics-and-AI-Engagement/blob/microsoftfabric2.0/fabric/Readme-shell.md,60,25
/microsoft/Azure-Analytics-and-AI-Engagement/tree/main/microsoft/Azure-Analytics-and-AI-Engagement,32,8
/microsoft/Azure-Analytics-and-AI-Engagement/tree/microsoftfabric/fabric,28,10
/microsoft/Azure-Analytics-and-AI-Engagement/blob/main/Manufacturing/Readme-shell.md,25,10
/microsoft/Azure-Analytics-and-AI-Engagement/blob/main/CDP-Retail/HOL-step-by-step.md,22,6
/microsoft/Azure-Analytics-and-AI-Engagement/issues/117,21,21
/microsoft/Azure-Analytics-and-AI-Engagement/blob/healthcare2/healthcare2/Readme-shell.md,16,7
/microsoft/Azure-Analytics-and-AI-Engagement/tree/healthcare/HealthCare,16,4
