time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-01-10 00:00:00+00:00,3,3,29,16
2025-01-11 00:00:00+00:00,1,1,6,3
2025-01-12 00:00:00+00:00,1,1,15,6
2025-01-13 00:00:00+00:00,1,1,41,14
2025-01-14 00:00:00+00:00,2,2,112,33
2025-01-15 00:00:00+00:00,1,1,104,19
2025-01-16 00:00:00+00:00,1,1,93,23
2025-01-17 00:00:00+00:00,8,6,204,20
2025-01-18 00:00:00+00:00,5,4,115,7
2025-01-19 00:00:00+00:00,5,5,42,10
2025-01-20 00:00:00+00:00,2,2,76,19
2025-01-21 00:00:00+00:00,1,1,87,15
2025-01-22 00:00:00+00:00,1,1,49,14
2025-01-23 00:00:00+00:00,1,1,86,17
